,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,86159.000,89419.000,93142.000,98761.000,101013.000,124237.000,134219.000,142751.000,111068.000,118411.000,195446.000,1784446.000,1946036.000,,,2635216.000,2788836.000
AccountsPayableRelatedPartiesCurrent,283173.000,505589.000,0.000,3178.000,5019.000,26019.000,22519.000,43519.000,55544.000,68544.000,63955.000,180205.000,272455.000,,,481752.000,509677.000
AccountsReceivableNetCurrent,,,,,,,,,5147.000,12381.000,,664831.000,882686.000,,,115127.000,148197.000
AccruedSalariesCurrent,,,,,,,19341.000,,,,,,,,,,
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,,,-1752.000,-3505.000,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,-129800.000,-141548.000,,,173849.000,173849.000
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,,,,,,,,-2981.000,-19294.000,,,,
AdditionalPaidInCapital,977740.000,2720677.000,3681262.000,3737836.000,3949059.000,4209941.000,4377884.000,5677349.000,5980294.000,10178691.000,16839811.000,19692285.000,21410712.000,,,26206133.000,27199543.000
AdvancesForGasExplorationDevelopmentAndProductionAmount,,,,,,,15000.000,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,0.000,191721.000,,
Assets,716748.000,715500.000,0.000,0.000,1050.000,26419.000,139625.000,100522.000,85154.000,456160.000,1011586.000,2617550.000,2727038.000,,,1595551.000,1574519.000
AssetsCurrent,1248.000,0.000,0.000,0.000,,919.000,124625.000,85522.000,40154.000,411160.000,906586.000,1358150.000,1507656.000,,,393519.000,341313.000
AssetsFairValueDisclosure,,,0.000,0.000,0.000,,,,,0.000,0.000,,1219381.000,1463.000,0.000,0.000,0.000
AvailableForSaleSecurities,,,,,,,,,,,,,6938.000,,,,
CapitalLeaseObligationsCurrent,,,,,,,,,,,,61892.000,49102.000,,,7899.000,5169.000
CapitalLeaseObligationsNoncurrent,,,,,,,426075.000,,,,,7900.000,5169.000,,,0.000,0.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,69792.000,57021.000,57565.000,23838.000,7790.000,5011.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,45954.000,33183.000,,22080.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,1757.000,1757.000,1670.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,22081.000,22081.000,22712.000,1758.000,1670.000,1670.000
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,,,33183.000,,6120.000,3341.000
Cash,1248.000,0.000,0.000,0.000,1050.000,919.000,123710.000,85522.000,24579.000,291162.000,304104.000,58330.000,137656.000,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,281.000,345.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,0.001,0.001
CommonStockSharesAuthorized,1175000000.000,1175000000.000,1175000000.000,1175000000.000,1175000000.000,2500000000.000,2500000000.000,2500000000.000,2500000000.000,2500000000.000,2500000000.000,3500000000.000,3500000000.000,,,250000000.000,250000000.000
CommonStockSharesIssued,779861026.000,69492863.000,87051824.000,126083502.000,259875068.000,670246929.000,1185426462.000,1509182173.000,1794147406.000,2237138550.000,2443428123.000,2828775598.000,,,,,
CommonStockSharesOutstanding,779861026.000,69492863.000,87051824.000,126083502.000,259875068.000,670246929.000,1185426462.000,1509182173.000,1794147406.000,2237138550.000,2443428123.000,2828775598.000,2828775598.000,,,40725268.000,62146225.000
CommonStockValue,779861.000,69493.000,87052.000,126083.000,259873.000,670205.000,1185426.000,1509180.000,1794147.000,2237138.000,2443428.000,2828776.000,3275806.000,,,40724.000,62147.000
