,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,244.000,422.000,603.000,854.000,396.000,85.000,,,,,,,,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,,,,,,144419.000,158299.000,128453.000,121756.000,82818.000,115677.000,119828.000,116108.000,151471.000
AccountsPayableCurrent,8850.000,43498.000,15080.000,11092.000,18862.000,18318.000,19851.000,20083.000,24115.000,70467.000,63218.000,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,23270.000,23970.000,20270.000,20270.000,20270.000,20270.000,70705.000,69985.000,69957.000,,,,,,,,,
AccruedLiabilitiesCurrent,,8822.000,23156.000,30104.000,134266.000,222050.000,308228.000,527849.000,681761.000,816673.000,317338.000,324278.000,326035.000,332160.000,337628.000,348123.000,351874.000,360250.000,364469.000,373325.000
AccruedSalariesCurrent,,218450.000,260045.000,279466.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,1042.000,2084.000
AdditionalPaidInCapital,2612717.000,3191660.000,3249660.000,3005303.000,3306110.000,3411872.000,3411872.000,3607406.000,3709946.000,3843386.000,5143252.000,5298517.000,5414588.000,5560637.000,8690600.000,8860647.000,10400286.000,10455018.000,10520016.000,10520016.000
Assets,26.000,355222.000,350000.000,346874.000,,0.000,0.000,0.000,2713.000,623.000,12428.000,103280.000,115355.000,39180.000,9759.000,2534.000,80.000,26336.000,136588.000,49789.000
AssetsCurrent,26.000,5222.000,0.000,1860.000,,,,,,,,,,,,,80.000,4206.000,115500.000,29743.000
BankOverdrafts,,,2.000,,2.000,9.000,12.000,24.000,,,,,,,,,,,,
Cash,26.000,5222.000,0.000,1860.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,26.000,5222.000,0.000,1860.000,,,,,2713.000,623.000,12428.000,20038.000,13855.000,37680.000,9759.000,34.000,80.000,6.000,9800.000,24993.000
CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,90038.000,81980.000,37680.000,9759.000,34.000,80.000,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,-70365.000,-70365.000,0.000,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,485000000.000,2000000000.000,2000000000.000,485000000.000,485000000.000,485000000.000,6000000000.000
CommonStockSharesIssued,23545991.000,24120991.000,24120991.000,24570991.000,29286375.000,39183670.000,39183670.000,53963670.000,62313670.000,72913670.000,88438670.000,88488670.000,94292866.000,113392866.000,1680892866.000,788523.000,67398079.000,323475577.000,323474377.000,323474377.000
CommonStockSharesOutstanding,,,,,29286375.000,39183670.000,39183670.000,53963670.000,62313670.000,72913670.000,88438670.000,88488670.000,94292866.000,113392866.000,1680892866.000,788523.000,67398079.000,323475577.000,323474377.000,323474377.000
CommonStockSharesSubscriptions,,,,,751650.000,684010.000,686777.000,684010.000,684010.000,684010.000,38000.000,38000.000,38000.000,38000.000,38000.000,38000.000,61470.000,38000.000,38000.000,38000.000
CommonStockValue,2355.000,2412.000,2412.000,2457.000,2929.000,3918.000,3918.000,5396.000,6231.000,7291.000,8843.000,8848.000,9429.000,11339.000,16809.000,8.000,674.000,3234.000,3234.000,3234.000
ConvertibleDebtCurrent,,88225.000,187762.000,,759073.000,821665.000,883972.000,915600.000,915600.000,915600.000,86050.000,86050.000,86146.000,117947.000,71502.000,157185.000,,,,
ConvertibleNotesPayable,,,,,,,,,,,,,,,,,205695.000,192260.000,488510.000,
