,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,4499.000,6297.000,6909.000,7297.000,9094.000,10099.000,16896.000,13099.000,15146.000,18943.000,24146.000
AdditionalPaidInCapital,,,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000
Assets,26322.000,12791.000,25109.000,10960.000,5363.000,270.000,5225.000,3997.000,1994.000,4299.000,1653.000
AssetsCurrent,26322.000,12791.000,25109.000,10960.000,5363.000,270.000,5225.000,3997.000,1994.000,4299.000,1653.000
Cash,,,,,,,,3997.000,1994.000,4299.000,
CashAndCashEquivalentsAtCarryingValue,17586.000,3542.000,23335.000,10661.000,5363.000,270.000,5225.000,3997.000,,,1653.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,7500000.000,7500000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockSharesOutstanding,,7500000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockValue,750.000,750.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
DeferredOfferingCosts,4000.000,6000.000,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,11273.000,,,,,,,,,,
DueToOfficersOrStockholdersCurrent,,,,,,,,,,,31571.000
DueToRelatedPartiesCurrent,32346.000,25130.000,3664.000,11664.000,11664.000,11664.000,18564.000,27314.000,27934.000,31064.000,
LiabilitiesAndStockholdersEquity,26322.000,12791.000,25109.000,10960.000,5363.000,270.000,5225.000,3997.000,1994.000,4299.000,1653.000
LiabilitiesCurrent,36845.000,31427.000,10573.000,18961.000,20758.000,21763.000,35460.000,40413.000,43080.000,50007.000,55717.000
OperatingLossCarryforwards,,19386.000,30214.000,52751.000,60000.000,66000.000,75000.000,81000.000,86000.000,90458.000,99000.000
PrepaidExpenseCurrent,4736.000,3249.000,1774.000,299.000,,,,,,,
RetainedEarningsAccumulatedDeficit,,-19386.000,-30214.000,-52751.000,-60145.000,-66243.000,-74985.000,-81166.000,-85836.000,-90458.000,-98814.000
StockholdersEquity,-10523.000,-18636.000,14536.000,-8001.000,-15395.000,-21493.000,-30235.000,-36416.000,-41086.000,-45708.000,-54064.000
