,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,,,,,,,,,,,,-558000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,2461000.000,,,,1011000.000,,,,609000.000,,,,
AllocatedShareBasedCompensationExpense,600000.000,,,,,,,,,,,,,
AmortizationOfAboveAndBelowMarketLeases,,-34000.000,,,,-34000.000,,,,-34000.000,,,,-34000.000
AmortizationOfFinancingCostsAndDiscounts,,,,,,2551000.000,,,,11121000.000,,,,2025000.000
AmortizationOfIntangibleAssets,,343000.000,,,,343000.000,,,,335000.000,,,,335000.000
BusinessCombinationAcquisitionRelatedCosts,,,0.000,0.000,,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,3000000.000,,,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,7200000.000,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,25238000.000,,,,11577000.000,,,,14751000.000,,,,15719000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-44980000.000,,,,-49436000.000,,,,-200809000.000,,,,-19349000.000
CommonStockDividendsPerShareCashPaid,,,,,,,0.020,0.020,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,0.020,,,,0.040
ComprehensiveIncomeNetOfTax,46296000.000,10617000.000,44561000.000,42332000.000,-59656000.000,20481000.000,58660000.000,35085000.000,-4130000.000,19068000.000,60025000.000,45921000.000,-51943000.000,23073000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,407000.000,5297000.000,3778000.000,15391000.000,85506000.000,4814000.000,7096000.000,18968000.000,135727000.000,-957000.000,675000.000,9857000.000,86301000.000,-7061000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,46703000.000,15914000.000,48339000.000,57723000.000,25850000.000,25295000.000,65756000.000,54053000.000,131597000.000,18111000.000,60700000.000,55778000.000,34358000.000,16012000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,1020000.000,,,,0.000
DeferredIncomeTaxExpenseBenefit,,-312000.000,,,,-2426000.000,,,,-18399000.000,,,,4572000.000
DefinedContributionPlanCostRecognized,,,,,,400000.000,400000.000,600000.000,300000.000,1000000.000,800000.000,800000.000,100000.000,
DefinedContributionPlanEmployerMatchingContributionPercent,,0.060,,,,0.060,,,,,,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,0.500,,,,0.500,,,,,,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,17500.000,,,,18000.000,,,,18000.000,,,,
