,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,740000000.000,786000000.000,713000000.000,673000000.000,758000000.000,688000000.000,685000000.000,649000000.000,659000000.000,716000000.000,739000000.000,799000000.000,790000000.000,839000000.000,816000000.000,757000000.000,664000000.000,736000000.000,608000000.000,587000000.000,574000000.000,551000000.000,591000000.000,625000000.000,615000000.000,666000000.000
AccountsPayableRelatedPartiesCurrent,,,,4000000.000,,,,9000000.000,,,,24000000.000,,,,39000000.000,,,,34000000.000,,,,45000000.000,,
AccountsReceivableGrossCurrent,,,,880000000.000,,,,836000000.000,,,,876000000.000,,,,810000000.000,,,,712000000.000,,,,807000000.000,,
AccountsReceivableNetCurrent,950000000.000,1027000000.000,978000000.000,871000000.000,928000000.000,957000000.000,932000000.000,827000000.000,916000000.000,929000000.000,949000000.000,867000000.000,986000000.000,1045000000.000,1016000000.000,801000000.000,804000000.000,873000000.000,793000000.000,706000000.000,830000000.000,792000000.000,791000000.000,801000000.000,886000000.000,985000000.000
AccountsReceivableRelatedPartiesCurrent,,,,0.000,,,,,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingencies,,103000000.000,99000000.000,96000000.000,96000000.000,93000000.000,102000000.000,99000000.000,94000000.000,93000000.000,91000000.000,97000000.000,95000000.000,92000000.000,91000000.000,84000000.000,78000000.000,79000000.000,76000000.000,72000000.000,71000000.000,67000000.000,69000000.000,64000000.000,63000000.000,69000000.000
AccruedEnvironmentalLossContingenciesCurrent,20000000.000,22000000.000,20000000.000,25000000.000,20000000.000,20000000.000,19000000.000,21000000.000,21000000.000,20000000.000,24000000.000,30000000.000,29000000.000,26000000.000,20000000.000,21000000.000,17000000.000,18000000.000,16000000.000,11000000.000,13000000.000,14000000.000,15000000.000,14000000.000,13000000.000,17000000.000
AccruedEnvironmentalLossContingenciesNoncurrent,84000000.000,81000000.000,79000000.000,71000000.000,76000000.000,73000000.000,83000000.000,78000000.000,73000000.000,73000000.000,67000000.000,67000000.000,66000000.000,66000000.000,71000000.000,63000000.000,61000000.000,61000000.000,60000000.000,61000000.000,58000000.000,53000000.000,54000000.000,50000000.000,50000000.000,52000000.000
AccruedIncomeTaxesCurrent,68000000.000,95000000.000,129000000.000,12000000.000,22000000.000,37000000.000,43000000.000,38000000.000,96000000.000,140000000.000,152000000.000,18000000.000,74000000.000,64000000.000,115000000.000,5000000.000,55000000.000,105000000.000,107000000.000,90000000.000,125000000.000,116000000.000,116000000.000,12000000.000,31000000.000,42000000.000
AccruedIncomeTaxesNoncurrent,4000000.000,5000000.000,4000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,2000000.000,20000000.000,20000000.000,21000000.000,20000000.000,13000000.000,12000000.000,12000000.000,11000000.000,7000000.000,7000000.000,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000
AccruedMarketingCostsCurrent,,,,,,,,44000000.000,38000000.000,37000000.000,37000000.000,48000000.000,41000000.000,38000000.000,45000000.000,53000000.000,34000000.000,33000000.000,38000000.000,45000000.000,27000000.000,31000000.000,40000000.000,51000000.000,31000000.000,46000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1203000000.000,1261000000.000,1284000000.000,1316000000.000,1375000000.000,1403000000.000,1454000000.000,1506000000.000,1536000000.000,1610000000.000,1665000000.000,1672000000.000,1712000000.000,1770000000.000,1785000000.000,1816000000.000,1810000000.000,1930000000.000,1990000000.000,2039000000.000,2132000000.000,2164000000.000,2228000000.000,2239000000.000,2307000000.000,2419000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,-1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-75000000.000,-70000000.000,-57000000.000,-56000000.000,-56000000.000,-58000000.000,-50000000.000,,,,,,,,,,,,,,,,,,
