,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,,,,,,,,,-1545000.000,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,,,,,,22000.000,,,,56000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,9000.000,,,,9000.000,,,,7000.000,,,,7000.000,,,,1000.000,,,,1000.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,-119000.000,,,,-1806000.000,,,,-353000.000,,,,-2275000.000,,,,-1377000.000,,,,-1377000.000
AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,,,,,,,,,,,,,,,,,,,28000.000,,,,51000.000
AllocatedShareBasedCompensationExpense,,,,11000.000,10000.000,,,,,,,,,,,,,,,,,,
AmortizationMethodQualifiedAffordableHousingProjectInvestmentsAmortization,,,,,,,,,,,,,,,,,,,20000.000,,,,41000.000
AmortizationOfIntangibleAssets,14000.000,15000.000,,,,,,,,,,,,,146000.000,175000.000,189000.000,190000.000,187000.000,188000.000,189000.000,189000.000,185000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,,,0.000,169000.000,,111000.000,234000.000,0.000,282000.000,371000.000,300000.000,307000.000,125000.000,0.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,,,0.000,72000.000,,0.000,13000.000,0.000,119000.000,0.000,21000.000,0.000,0.000,0.000
BankOwnedLifeInsuranceIncome,148000.000,153000.000,148000.000,139000.000,145000.000,146000.000,172000.000,172000.000,168000.000,166000.000,172000.000,170000.000,165000.000,164000.000,159000.000,155000.000,156000.000,155000.000,169000.000,191000.000,193000.000,193000.000,189000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,1292000.000,70000.000,4000.000,34000.000,70000.000,522000.000,49000.000,2000.000,0.000,0.000,0.000,0.000,
BusinessCombinationIntegrationRelatedCosts,,,,,,,1055000.000,,,,,,,,,,,,,,,,
CashAcquiredFromAcquisition,,,,,,,9771000.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,5743000.000,,,,14838000.000,,,,18735000.000,,,,1794000.000,,,,6102000.000,,,,14409000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,,,,,47000.000,,,,199000.000,,,,237000.000,,,,113000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,,,,2153000.000,,,,,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,,,,,,,,,,,,,,,1000.000,,,,3000.000,,,,170000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,,,,,,,,,,,,17000.000,,,,75000.000,,,,99000.000
CommonStockDividendsPerShareDeclared,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160
ComprehensiveIncomeNetOfTax,3707000.000,4304000.000,1528000.000,2897000.000,2654000.000,884000.000,1007000.000,-2890000.000,3087000.000,1133000.000,2284000.000,4210000.000,1971000.000,3911000.000,4269000.000,1378000.000,4633000.000,645000.000,5834000.000,4251000.000,2029000.000,-2485000.000,3774000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,,,-5000.000,-5000.000,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,,7000.000,7000.000,,,,,,,,,,,,,,,,,,
