,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-06-30,2016-09-30,2017-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,1500.000,-2600.000,,,,,136.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-7019.000,-8815.000,,,307.000,298.000,-995.000
DebtInstrumentIncreaseAccruedInterest,,,,,,,136.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.007,0.003,-0.002,-0.002,-0.009
GeneralAndAdministrativeExpense,2019.000,803.000,535.000,522.000,793.000,803.000,4067.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-8519.000,-6215.000,-6785.000,-2522.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1500.000,-1500.000,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,26.000,35.000,
IncreaseDecreaseInReceivables,,-1100.000,,,,,
InterestAndDebtExpense,,,,,-26.000,-34.000,
InterestIncomeExpenseNet,,,,,,,-136.000
NetCashProvidedByUsedInFinancingActivities,,,,,2500.000,2500.000,8000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,2500.000,2500.000,8000.000
NetCashProvidedByUsedInOperatingActivities,-7019.000,-8815.000,,,-2193.000,-2202.000,-8995.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-7019.000,-8815.000,,,-2193.000,-2202.000,-8995.000
NetIncomeLoss,-8519.000,-6215.000,-6785.000,-2522.000,-2219.000,-2237.000,-9131.000
NonoperatingIncomeExpense,,,,,-26.000,-34.000,
OperatingExpenses,8519.000,6215.000,6785.000,2522.000,2193.000,2203.000,8995.000
OperatingIncomeLoss,-8519.000,-6215.000,-6785.000,-2522.000,-2193.000,-2203.000,-8995.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,2500.000,2500.000,8000.000
ProfessionalFees,6500.000,5412.000,6250.000,2000.000,1400.000,1400.000,4928.000
ProfitLoss,-8519.000,-6215.000,,,-2219.000,-2237.000,-9131.000
SalesRevenueGoodsNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1000000.000,1000000.000,1000000.000,-2000000.000,1000000.000,1000000.000,1000000.000
