,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableCurrent,133837000.000,146178000.000,140792000.000,155921000.000,138639000.000,120632000.000,137232000.000,162147000.000
AccountsPayableRelatedPartiesCurrent,,,,,10824000.000,,,18875000.000
AccountsReceivableNetCurrent,97528000.000,112641000.000,108339000.000,119193000.000,131013000.000,95105000.000,112165000.000,126909000.000
AccountsReceivableRelatedPartiesCurrent,,,,,599000.000,,,5341000.000
AccruedLiabilitiesCurrent,8790000.000,8037000.000,19945000.000,8686000.000,24754000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,278367000.000,,,,324885000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-37623000.000,-27689000.000,-9913000.000,-16279000.000,-16324000.000,7203000.000,2109000.000,2206000.000
AssetRetirementObligation,,,,1068000.000,,,,927000.000
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,0.000,,,,
Assets,1970779000.000,2078907000.000,2017900000.000,2064597000.000,1972109000.000,2063285000.000,2165858000.000,2200164000.000
AssetsCurrent,175040000.000,182062000.000,182285000.000,185591000.000,197574000.000,170477000.000,185323000.000,203565000.000
CashAndCashEquivalentsAtCarryingValue,69388000.000,61556000.000,53534000.000,56962000.000,58337000.000,50996000.000,53484000.000,54918000.000
CommonStockParOrStatedValuePerShare,,,,0.000,,,,
CommonStockSharesIssued,,,,66341458.000,72228365.000,,,
CommonStockSharesOutstanding,,,,66341458.000,72228365.000,,,
CommonStockValue,,1164083000.000,1164399000.000,1164853000.000,1353334000.000,,,
DebtInstrumentUnamortizedPremium,524000.000,0.000,0.000,0.000,3330000.000,3263000.000,3194000.000,3124000.000
DeferredTaxLiabilitiesNoncurrent,2485000.000,2051000.000,2135000.000,2199000.000,2472000.000,2385000.000,2440000.000,2494000.000
DerivativeFairValueOfDerivativeAsset,,17528000.000,29229000.000,10774000.000,9011000.000,32440000.000,23361000.000,18064000.000
DerivativeFairValueOfDerivativeLiability,,10825000.000,7461000.000,3565000.000,2736000.000,1833000.000,1570000.000,
DerivativeFairValueOfDerivativeNet,,,,,,27264000.000,21212000.000,17366000.000
DerivativeInstrumentsAndHedges,3875000.000,4616000.000,12101000.000,4322000.000,4564000.000,21995000.000,16420000.000,16183000.000
DerivativeInstrumentsAndHedgesLiabilities,10638000.000,9784000.000,7285000.000,3565000.000,2736000.000,1833000.000,1512000.000,
DerivativeInstrumentsAndHedgesNoncurrent,12256000.000,12912000.000,17128000.000,6452000.000,4447000.000,10445000.000,6941000.000,1881000.000
DueFromRelatedPartiesCurrent,,0.000,0.000,0.000,,,,
EscrowDeposit,1850000.000,1850000.000,1850000.000,1848000.000,1848000.000,1848000.000,1848000.000,1848000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,12327000.000,26499000.000,10774000.000,9011000.000,32440000.000,22715000.000,18064000.000
FinancingReceivableAllowanceForCreditLosses,,,,927000.000,,,,127000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,63505000.000,66453000.000,58678000.000,61529000.000,63258000.000,66359000.000
