,2012-03-31,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,,,,,,,346000.000,,,,377000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,362000.000,,
AllocatedShareBasedCompensationExpense,,,,668000.000,,,,673000.000,,,,788000.000,849000.000,598000.000,704000.000,739000.000,2053000.000,451000.000
AllowanceForDoubtfulAccountsReceivableRecoveries,,,,,,,,,,992000.000,,541000.000,714000.000,976000.000,391000.000,685000.000,257000.000,827000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,,,,1667000.000,,803000.000,849000.000,1192000.000,860000.000,1026000.000,222000.000,716000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,1555500.000,1585500.000,,1495500.000,1493100.000,1450100.000,-2990700.000,40000.000,,56500.000,,46500.000,0.000,60500.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,-67000.000,,,,-34000.000,,,,876000.000,,,,-387000.000,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,42000.000,,,74.000,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,,2123000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,32000.000,,,13.000,,,,,,,,,
BankOwnedLifeInsuranceIncome,,,,,,,,,,,,509000.000,,,,586000.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,1996000.000,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,21767000.000,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,18600000.000,,,,,,,,,,
BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,,,,,,449000.000,,1421000.000,2310000.000,1686000.000,0.000,0.000,0.000,0.000,0.000,307000.000,27000.000,7401000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-32795000.000,,,,-13607000.000,,,,-65930000.000,,,,7967000.000,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldPeriodIncreaseDecrease,,,,,,,,,,,,-111000.000,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,,,,,,,,,366000.000,,,,,,
Communication,357000.000,452000.000,468000.000,382000.000,483000.000,403000.000,531000.000,678000.000,759000.000,912000.000,792000.000,830000.000,842000.000,859000.000,622000.000,612000.000,574000.000,728000.000
ComprehensiveIncomeNetOfTax,2012000.000,2183000.000,2571000.000,3260000.000,2619000.000,2899000.000,1838000.000,2222000.000,2859000.000,1965000.000,1604000.000,3440000.000,1333000.000,4434000.000,3722000.000,3437000.000,1033000.000,267000.000
DeferredFederalIncomeTaxExpenseBenefit,,,,,,,,18000.000,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,2000.000,,,2686000.000,,,,668000.000,-397000.000,413000.000,1602000.000,451000.000,-575000.000,,,,,
Depreciation,,,,556000.000,,,,760000.000,,,,1046000.000,,,,868000.000,,
DepreciationAmortizationAndAccretionNet,,,,-129000.000,,,,-491000.000,,,,-1442000.000,,,,-2180000.000,,
EarningsPerShareBasic,,0.110,0.130,0.170,0.150,0.140,0.080,0.120,0.100,0.060,0.140,0.140,0.140,0.180,0.190,0.220,0.170,0.010
EarningsPerShareDiluted,,0.110,0.130,0.170,0.150,0.140,0.080,0.120,0.100,0.060,0.140,0.140,0.140,0.180,0.190,0.220,0.170,0.010
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,292000.000,288000.000,221000.000,286000.000,274000.000,698000.000,167000.000
EmployeeStockOwnershipPlanESOPCompensationExpense,,175000.000,,217000.000,214000.000,209000.000,204000.000,201000.000,,,,235000.000,,,,249000.000,,
FederalDepositInsuranceCorporationPremiumExpense,510000.000,331000.000,216000.000,335000.000,332000.000,321000.000,324000.000,430000.000,415000.000,608000.000,469000.000,525000.000,523000.000,459000.000,478000.000,279000.000,203000.000,404000.000
FeesAndCommissionsDepositorAccounts,646000.000,650000.000,621000.000,679000.000,654000.000,620000.000,830000.000,1062000.000,1318000.000,1732000.000,1818000.000,1699000.000,1618000.000,1614000.000,1749000.000,1749000.000,1712000.000,1718000.000
FeesAndCommissionsMortgageBanking,1090000.000,1509000.000,1239000.000,998000.000,788000.000,632000.000,800000.000,846000.000,713000.000,672000.000,758000.000,728000.000,590000.000,690000.000,1061000.000,976000.000,937000.000,781000.000
FinancingReceivableAllowanceForCreditLossesRecovery,,,,,,,,-250000.000,,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,,3401000.000,,,3682000.000,1389000.000,,227000.000,746000.000,3122000.000
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,,3520000.000,,,3684000.000,1385000.000,,227000.000,746000.000,3435000.000
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,,,,,,,,,,437000.000,,1437000.000,1277000.000,927000.000
ForeclosedRealEstateExpense,,,,454000.000,367000.000,333000.000,,356000.000,433000.000,390000.000,,355000.000,327000.000,305000.000,278000.000,144000.000,378000.000,447000.000
GainLossOnSaleOfMortgageLoans,,,,-613000.000,,,,-430000.000,,,,455000.000,,,,382000.000,,
GainLossOnSaleOfPropertyPlantEquipment,-1231000.000,,,,,,,,,,,,,,,385000.000,0.000,0.000
GainLossOnSaleOfSecuritiesNet,,,,,,,,,61000.000,0.000,,,0.000,0.000,,,,
GainsLossesOnSalesOfOtherRealEstate,710000.000,288000.000,315000.000,-271000.000,476000.000,468000.000,,-36000.000,,,,,,,,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,,,,,,60965000.000,,54262000.000,52237000.000,52125000.000,-107897000.000,43868000.000,44960000.000,43837000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,,,,,,736000.000,,506000.000,579000.000,564000.000,889000.000,549000.000,476000.000,509000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1717000.000,2749000.000,3105000.000,5993000.000,3482000.000,3573000.000,1807000.000,3122000.000,2874000.000,1476000.000,3111000.000,4105000.000,3313000.000,4231000.000,4708000.000,6248000.000,3876000.000,-51000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,0.060,,0.140,0.140,0.180,,0.220,0.170,0.010
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,0.060,,0.140,0.140,0.180,,0.220,0.170,0.010
IncomeTaxExpenseBenefit,-299000.000,481000.000,490000.000,2666000.000,606000.000,967000.000,274000.000,866000.000,825000.000,314000.000,553000.000,1541000.000,864000.000,1090000.000,1406000.000,2424000.000,893000.000,-325000.000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,,,,35000.000,,,,,,,,,,,,,,
IncomeTaxesPaid,,,,13000.000,,,,120000.000,,,,100000.000,,,,100000.000,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,,,,,,,-3031000.000,,,,-4320000.000,,
IncreaseDecreaseInDeposits,,,,-370000.000,,,,-17669000.000,,,,-52176000.000,,,,-9168000.000,,
IncreaseDecreaseInLoansDeferredIncome,,,,,,,,,,,,-153000.000,,,,5000.000,,
IncreaseDecreaseInOtherLoans,,,,,,,,,,,,-1000000.000,,,,-45500000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,-2499000.000,,,,-5566000.000,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,-969000.000,,,,-854000.000,,,,-7544000.000,,,,1232000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,79315.000,,213042.000,331834.000,185977.000,-541210.000,242613.000,656200.000,675365.000
InformationTechnologyAndDataProcessing,497000.000,601000.000,594000.000,889000.000,935000.000,828000.000,1038000.000,1353000.000,1250000.000,1763000.000,1606000.000,1584000.000,1406000.000,1418000.000,1405000.000,1427000.000,1648000.000,1721000.000
InterestAndDividendIncomeOperating,16648000.000,15481000.000,14683000.000,14843000.000,15265000.000,14392000.000,15781000.000,19865000.000,21559000.000,21536000.000,22196000.000,22009000.000,21566000.000,21797000.000,22375000.000,22791000.000,22063000.000,27291000.000
