,2016-05-31,2016-08-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-483.000
EarningsPerShareBasic,0.000,0.000,-0.000
GeneralAndAdministrativeExpense,12223.000,25245.000,31568.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,-2410.000
IncreaseDecreaseInPrepaidExpense,,,20000.000
NetCashProvidedByUsedInOperatingActivities,,,-483.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-483.000
NetIncomeLoss,-12223.000,-25245.000,-31568.000
OperatingExpenses,-12223.000,-25245.000,-31568.000
WeightedAverageNumberOfSharesOutstandingBasic,105000000.000,105000000.000,105000000.000
