,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,,,,,,,,,,,3126000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,155100000.000,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,,,,,,,14061000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,38390000.000,1228000.000,,2015000.000,2023000.000,1982000.000,,4757000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,50.000,,,,55000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,63.000,,,,132000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,13.000,,,,77000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,111000.000,,,,67000.000,,86000.000,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,63000.000,,,,132000.000,,1068000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-13800377.000,,,,-2152352.000,,,,84343311.000,,,,16463000.000,,,,23275000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,-39333158.000,-48451000.000,-51611000.000,,-125547000.000,-77333000.000,-90579000.000,,
CostOfRevenue,,,,,,,,,,,,,,,,,97000.000
CostsAndExpenses,7229410.000,8023476.000,11507723.000,14312737.000,31580810.000,22874093.000,36516926.000,23940003.000,41103450.000,49269000.000,52229000.000,89336550.000,127845000.000,83615000.000,,,
DeferredRevenueRevenueRecognized1,,,,,,,,,,,,,,2700000.000,,,400000.000
Depreciation,22650.000,,,,61661.000,,,,250359.000,,,,684000.000,,,,802000.000
DepreciationAndAmortization,23000.000,30000.000,27000.000,26000.000,,,,,,,,,,,,,
EarningsPerShareBasic,,,,,,1.600,,,,-1.990,,,,,,,
EarningsPerShareBasicAndDiluted,-0.620,-0.790,-1.650,-0.700,-13.210,,-1.690,,-1.780,,-2.100,,-5.170,-3.140,-3.590,-4.840,-3.610
EarningsPerShareDiluted,,,,,,1.510,,,,-1.990,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,0.000,,,,,,,,-162023.000,,,,-447000.000,,,,205000.000
FairValueAdjustmentOfWarrants,,,,,226626668.000,-55794796.000,,,,,,,,,,,
GainLossOnDispositionOfProperty,0.000,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,2396854.000,2890505.000,3115095.000,4729385.000,5651127.000,7954903.000,9135968.000,11859299.000,13137816.000,20974000.000,24742000.000,44891184.000,90432000.000,42275000.000,,,
IncomeTaxExpenseBenefit,,,,,,,,,,,,,0.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-520024.000,,,,1504194.000,,,,2911569.000,,,,-3121000.000,,,,-2628000.000
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,1499000.000
IncreaseDecreaseInDeferredRevenue,-405405.000,,,,-405402.000,,,,-445405.000,,,,-445000.000,,,,-119000.000
IncreaseDecreaseInDepositsOutstanding,,,,,,,,,,,,,,,,,-1414000.000
IncreaseDecreaseInInterestPayableNet,0.000,,,,,,,,,,,,,,,,-3529000.000
IncreaseDecreaseInInventories,,,,,,,,,,,,,,,,,-163000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,,,,,6268000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-187568.000,,,,2064234.000,,,,3545725.000,,,,7088000.000,,,,6994000.000
InterestExpense,,,,,,,,,,,,,,,7065000.000,,7207000.000
InterestPaid,0.000,,,,,,,,,,,,,,,,
InvestmentIncomeAmortizationOfPremium,0.000,,,,551913.000,,,,883651.000,,,,1543000.000,,,,1022000.000
LicensesRevenue,405405.000,405407.000,405407.000,405408.000,405403.000,445405.000,445405.000,445405.000,1445405.000,445000.000,445000.000,446595.000,445000.000,5445000.000,445000.000,447000.000,445000.000
NetCashProvidedByUsedInFinancingActivities,87428.000,,,,2459612.000,,,,194622682.000,,,,1486000.000,,,,556000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,87428.000,,,,2459612.000,,,,194622682.000,,,,1486000.000,,,,556000.000
NetCashProvidedByUsedInInvestingActivities,-8252132.000,,,,7706412.000,,,,-80523770.000,,,,85281000.000,,,,100014000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-8252132.000,,,,7706412.000,,,,-80523770.000,,,,85281000.000,,,,100014000.000
NetCashProvidedByUsedInOperatingActivities,-5635673.000,,,,-12318376.000,,,,-29593578.000,,,,-69857000.000,,,,-77500000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5635673.000,,,,-12318376.000,,,,-29593578.000,,,,-69857000.000,,,,-77500000.000
NetIncomeLoss,-10210148.000,-13476917.000,-31737073.000,-12368272.000,-257665818.000,33470225.000,-35843274.000,-23187087.000,-39386120.000,-47894000.000,-50896000.000,-88252880.000,-126674000.000,-77299000.000,-88815000.000,-120042000.000,-89930000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-10210148.000,-13476917.000,-31737073.000,-12368272.000,-257665818.000,33470000.000,-35843000.000,-23187136.000,-39386000.000,-47894000.000,-50896000.000,-88253000.000,-126674000.000,-77299000.000,-88815000.000,-120042000.000,-89930000.000
NonoperatingIncomeExpense,,,,,-226490411.000,55898913.000,228247.000,307511.000,271925.000,930000.000,889000.000,636075.000,726000.000,796000.000,-5779000.000,-6035000.000,-5967000.000
