,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccountsPayable,1500.000,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,6676.000,2246.000,109004.000,123585.000,133561.000,128306.000,147480.000,174053.000,182874.000,144344.000
AccountsPayableCurrent,,,472.000,27601.000,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,10186.000,,1658.000,607.000,17496.000,9306.000,4306.000,,,,
AdditionalPaidInCapital,2160.000,18180.000,-44646.000,1317.000,350417.000,704567.000,882937.000,1461841.000,1701382.000,1770882.000,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,1770882.000,-188921.000,861679.000,1025612.000
Assets,5494.000,7401.000,4874.000,4615.000,189378.000,447516.000,7419.000,2550.000,89087.000,53641.000,1848.000,76111.000,79087.000,134791.000
AssetsCurrent,5494.000,7401.000,4874.000,4615.000,14378.000,41146.000,7419.000,0.000,86771.000,51559.000,,76111.000,79087.000,134791.000
AssetsNoncurrent,,,,,175000.000,406370.000,0.000,2550.000,2316.000,2082.000,1848.000,,,
Cash,5494.000,1010.000,447.000,188.000,6289.000,,7419.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,6289.000,29084.000,,0.000,76771.000,41559.000,,1111.000,4087.000,59791.000
CashEquivalentsAtCarryingValue,5494.000,1010.000,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,675000000.000,675000000.000,675000000.000
CommonStockSharesIssued,,,72160000.000,34560000.000,34560000.000,35810000.000,35940000.000,37036000.000,37494889.000,37994889.000,37994889.000,37994889.000,58594889.000,69109291.000
CommonStockSharesOutstanding,,,72160000.000,34560000.000,34560000.000,35810000.000,35940000.000,37036000.000,37494889.000,37994889.000,37994889.000,37994889.000,58594889.000,69109291.000
CommonStockValue,7240.000,9020.000,72160.000,34560.000,35460.000,35810.000,35940.000,37036.000,37495.000,37995.000,37995.000,37995.000,58595.000,69109.000
ConvertibleNotesPayable,,,,,,,,,,,,17199.000,68791.000,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,68791.000,159757.000
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,189171.000,137579.000,371588.000
DeferredTaxAssetsCapitalLossCarryforwards,,,31236.000,98336.000,233347.000,316456.000,409787.000,504089.000,645810.000,741000.000,,,,
DeferredTaxAssetsGross,,,,,,,,,,,496640.000,72598.000,98077.000,198774.000
DeferredTaxAssetsGrossCurrent,,,10933.000,34418.000,81671.000,110760.000,143425.000,176431.000,226034.000,259350.000,,,,
