,2011-09-30,2012-03-31,2012-06-30,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDeferredLoanOriginationFeesNet,,,,,,,,,,,,,,,,-47369.000,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,,-537708.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,461223.000,,,,94055.000,,,,93103.000,,,,371026.000,,,,-77203.000
ComprehensiveIncomeNetOfTax,-377467.000,-682752.000,-840838.000,-637517.000,-441430.000,,,,,,,,,,,,,
CostOfRevenue,0.000,0.000,960983.000,23995.000,18460.000,1851.000,36167.000,113472.000,8049.000,0.000,0.000,1334311.000,956334.000,2282.000,0.000,1375734.000,9283225.000,500526.000
DebtInstrumentRedemptionPricePercentageOfPrincipalAmountRedeemed,,,,,,,,,,,,,,,,,,0.100
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,0.000,,0.000,,,,,,,,,,,,,,,
DeconsolidationGainOrLossAmount,,293730.000,0.000,,,,,,,,,,,,,,,
DecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,1250000.000
Depreciation,,1008.000,,,,2900.000,,,,6995.000,,,,5658.000,,,,4635.000
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,4635.000
DevelopmentCosts,,0.000,0.000,,,,,,,,,,,,,,,
DividendsPreferredStock,,,,,,,,,,,,,,,,,,0.000
EarningsPerShareBasic,,,,,,,,,,,,,,,,,,0.340
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,0.010,-0.010,-0.010,-0.000,-0.030,-1.850,-1.630,-1.080,-0.270,
EarningsPerShareDiluted,,,,,,,,,,,,,,,,,,0.050
EmployeeBenefitsAndShareBasedCompensation,,,,,,,,,,,,,,,,,,791210.000
FairValueAdjustmentOfWarrants,,,,,,,,,,,,,,,,,,-6823325.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,-1191358.000,-4652443.000,0.000,-31439023.000,0.000
GeneralAndAdministrativeExpense,342353.000,909388.000,851651.000,769907.000,492076.000,396085.000,454347.000,351794.000,330985.000,554794.000,520984.000,793359.000,609657.000,268000.000,523014.000,370984.000,83691.000,192409.000
GrossProfit,0.000,0.000,37599.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,,,,,,,0.340
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,,,,,,0.050
IncreaseDecreaseInAccountsPayable,,-146947.000,,,,-103404.000,,,,91524.000,,,,-1413545.000,,,,530690.000
IncreaseDecreaseInDeferredRevenue,,720000.000,,,,500000.000,,,,750000.000,,,,0.000,,,,-20253.000
IncreaseDecreaseInDemandDeposits,,,,,,,,,,-40000.000,,,,0.000,,,,105149.000
IncreaseDecreaseInDeposits,,2225.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,,62500.000,,,,62500.000,,,,-2500.000,,,,62500.000
IncreaseDecreaseInInventories,,15.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,22018.000,,,,-1276.000,,,,-479868.000,,,,-970552.000,,,,-1952427.000
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,,,,,,180134.000,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentLiabilities,,337777.000,,,,,,,,959316.000,,,,2074950.000,,,,282674.000
IncreaseDecreaseInOtherReceivables,,,,,,,,,,,,,,,,,,-2283026.000
IncreaseDecreaseInPrepaidExpense,,,,,,5411.000,,,,1520.000,,,,-49167.000,,,,0.000
InterestAndDebtExpense,,,,,,,,,,,,,,,,,,7397.000
InterestAndOtherIncome,,147.000,138.000,22.000,61.000,34.000,18.000,19.000,,,,,,,,,,
InterestCostsCapitalized,,,,,,,,,,3888.000,,,,,,,,
InterestExpense,35114.000,67241.000,75842.000,153864.000,156656.000,153559.000,152473.000,172151.000,182397.000,188992.000,204466.000,263784.000,283156.000,1281965.000,1778111.000,613651.000,568114.000,452137.000
InterestExpenseDebt,,,2369.000,9161.000,8885.000,,,,,,,,,,,,,
InterestExpenseOther,,,,,,,,,,,,,,,,,,0.000
InterestExpenseRelatedParty,,,,,,,,,,43664.000,45708.000,47780.000,202898.000,50382.000,,54081.000,,23287.000
InterestPaid,,0.000,,,,5588.000,,,,70282.000,,,,191322.000,,,,0.000
InterestRevenueExpenseNet,,,55118.000,,,,,,,,,,,,,,,
InventoryWriteDown,,,,,,0.000,,,,,,,,,,,,
LeaseAndRentalExpense,,,,,,,,,,,,,,,,,,138531.000
MarketingExpense,,,,,,,,,,,,,,,,9237873.000,,
NetCashProvidedByUsedInFinancingActivities,,850000.000,,,,-95000.000,,,,186000.000,,,,941795.000,,,,-5092057.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,850000.000,,,,-95000.000,,,,186000.000,,,,941795.000,,,,-5092057.000
NetCashProvidedByUsedInInvestingActivities,,-11620.000,,,,0.000,,,,-3137.000,,,,0.000,,,,1263626.000
