,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,160776.000,295151.000,245665.000,236009.000,229830.000,186847.000,292429.000,375295.000,478687.000,470030.000,489248.000,442711.000,480231.000,685689.000,996235.000
AccountsReceivableNet,,,,,,,,,,,,,,72598.000,24473.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,-1445.000,-15881.000,-17315.000,-19243.000,-21171.000,-23173.000,-25609.000,-52765.000,-92183.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-10215660.000,-10552595.000,-10964758.000,,,,,-18575623.000,-21792170.000,-20391397.000,-26314083.000,-31627643.000,-36181363.000,-38611947.000,-40910616.000
AdditionalPaidInCapital,,,,9995692.000,12089671.000,14308183.000,16918126.000,,18297073.000,17900676.000,23841467.000,,32707028.000,33896010.000,34391114.000
AdditionalPaidInCapitalCommonStock,9214014.000,9356846.000,9589438.000,,,,,18221881.000,,,,29445945.000,,,
Assets,894758.000,848197.000,880877.000,947237.000,1653067.000,2099130.000,2162746.000,3597831.000,3710828.000,1842015.000,2481171.000,895952.000,853227.000,874332.000,758396.000
AssetsCurrent,51061.000,4500.000,34139.000,100660.000,792054.000,1036251.000,341668.000,1734387.000,1737904.000,479466.000,941571.000,189160.000,132399.000,158471.000,81953.000
Cash,,,,53632.000,760936.000,987729.000,332123.000,1262615.000,970303.000,47474.000,804070.000,87910.000,43413.000,4575.000,1003.000
CashAndCashEquivalentsAtCarryingValue,21322.000,1756.000,32888.000,53632.000,760936.000,987729.000,332123.000,1262615.000,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,,4653982.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,500000000.000,500000000.000
CommonStockSharesIssued,42423875.000,42923875.000,44469262.000,48653530.000,84562303.000,129546882.000,144671882.000,154111882.000,162316106.000,170446550.000,8965705.000,16041143.000,24075114.000,61044915.000,402331051.000
CommonStockSharesOutstanding,42423875.000,42923875.000,44469262.000,48653530.000,84562303.000,48653530.000,144671882.000,154111882.000,162316106.000,170446550.000,8965705.000,16041143.000,24075114.000,61044915.000,402331051.000
CommonStockSharesSubscribedButUnissued,,,,,10000.000,,3050.000,,,,,,,,
CommonStockSharesSubscriptions,,,,640000.000,640000.000,,,,,,,,,,
CommonStockValue,4242.000,4292.000,4447.000,4865.000,8456.000,12954.000,14467.000,15411.000,16232.000,17045.000,897.000,1604.000,2408.000,6104.000,40233.000
ConvertibleDebt,,,,,,,,,2405000.000,2305000.000,4085000.000,,2959792.000,,
ConvertibleDebtCurrent,,,,,,,,1795000.000,,,,1271984.000,,,
ConvertibleDebtNoncurrent,,,,,,,,,,,,150000.000,,,
ConvertibleLongTermNotesPayable,,,,,,,,116042.000,750401.000,1390265.000,2963629.000,1421984.000,2199685.000,2786732.000,2822335.000
ConvertibleNotesPayable,,,,,,,,,,,,,257625.000,218135.000,127050.000
ConvertibleNotesPayableCurrent,,,,,,,,,750401.000,1390265.000,2963629.000,,1942060.000,2568598.000,2695285.000
DeferredFinanceCostsCurrentNet,,,,,,,0.000,,,,,,,,
DeferredFinanceCostsGross,,,,,3333.000,3333.000,3333.000,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,55914.000,,60405.000,64945.000,69485.000,,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,7470147.000,,,,10732493.000,,,
DeferredTaxAssetsGross,,,,,,,,-8515359.000,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,55914.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,-11900351.000,,,
DeferredTaxLiabilities,,,,,,,,55914.000,60405.000,64945.000,69485.000,0.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,,,,,55914.000,,,,,,,
DepositAssets,,,,,,,-600000.000,,-600000.000,,,,,,
Deposits,,,,,,,,,,,,,,21500.000,21500.000
DepositsAssetsNoncurrent,,,,,,,,600000.000,,,,,,,
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,5801826.000,2294077.000,1417195.000,1198018.000,1519753.000,2013742.000,3171587.000
DerivativeLiabilityFairValueGrossAsset,,,,,,,,,,,,1138477.000,,,
DerivativeLiabilityFairValueNet1,,,,,,,83313.000,3181537.000,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,,,13805.000,,,,,,,,,,
DisposalGroupLiabilitiesOfBusinessTransferredUnderContractualArrangement,978053.000,945047.000,951519.000,905950.000,175899.000,161955.000,165696.000,194041.000,85041.000,83041.000,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,80522.000,,40262.000,60393.000,,,,,,,,
Goodwill,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,843697.000,,,,
Liabilities,1892162.000,2039655.000,2251750.000,2570292.000,1259062.000,362135.000,700685.000,3936162.000,7189693.000,4315691.000,4952890.000,3076046.000,4258669.000,5545164.000,7050157.000
LiabilitiesAndStockholdersEquity,894758.000,848197.000,880877.000,947237.000,1653067.000,2099130.000,2162746.000,3597831.000,3710828.000,1842015.000,2481171.000,895952.000,853227.000,874332.000,758396.000
LiabilitiesCurrent,1892162.000,2039655.000,2251750.000,2570292.000,1259062.000,362135.000,644771.000,3880248.000,7129288.000,4250746.000,4883405.000,2926046.000,4001044.000,5327029.000,6923107.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,13805.000,,,194041.000,,,,,,,
LongTermDebtOfRegistrantMaturitiesRepaymentsOfPrincipalInRemainderOfFiscalYear,,,,,,,,,,,,,2702167.000,2950412.000,2859514.000
LongTermDebtOfRegistrantMaturitiesRepaymentsOfPrincipalInRollingYearTwo,,,,,,,,,,,,,257625.000,218135.000,127050.000
