,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsAndOtherReceivablesNetCurrent,1901.000,2427.000,6029.000,95142.000,26517.000,28385.000,49502.000,52567.000,30581.000,58382.000,64725.000,74804.000
AccountsPayableCurrent,1010610.000,1215285.000,1255577.000,1955023.000,1068104.000,1257332.000,1993188.000,2190245.000,2290540.000,2113679.000,2171654.000,2383599.000
AccountsPayableOtherCurrent,82002.000,125599.000,146109.000,110817.000,64541.000,84685.000,106254.000,122597.000,96494.000,101448.000,202802.000,147345.000
AccountsReceivableGrossCurrent,,,,699262.000,602688.000,689455.000,423700.000,465281.000,314853.000,318278.000,14520.000,44371.000
AccountsReceivableNetCurrent,42417.000,270276.000,328757.000,699262.000,541246.000,603820.000,340459.000,450043.000,527521.000,621210.000,626401.000,622937.000
AccountsReceivableRelatedParties,,,,,,154898.000,157444.000,,,,,
AccountsReceivableRelatedPartiesCurrent,,,,,154052.000,154898.000,157444.000,225447.000,523024.000,613288.000,611881.000,578566.000
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,59255.000,59422.000,59749.000,61582.000,61704.000,,,,
AccruedLiabilitiesCurrent,343310.000,352964.000,321950.000,492661.000,336130.000,405764.000,396202.000,459189.000,138805.000,206677.000,320504.000,358298.000
AccruedRentCurrent,,,,,,,,,866.000,,,
AccruedSalariesCurrentAndNoncurrent,,,,80691.000,98532.000,86549.000,54997.000,55326.000,56435.000,54191.000,88588.000,46883.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-4712020.000,-4821423.000,-4938481.000,-5106340.000,5232319.000,5368472.000,5486767.000,5586742.000,5725420.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-923565.000,-821700.000,-762047.000,-776368.000,-767180.000,-709988.000,-525761.000,-486646.000,-436436.000,-566659.000,-548586.000,-543500.000
AdditionalPaidInCapitalCommonStock,15624182.000,27385386.000,27385386.000,27385386.000,27385386.000,27385386.000,27385386.000,27385386.000,26593393.000,26593393.000,26593393.000,26593393.000
AdvancesReceivedOnGovernmentContractsNotNettedAgainstAccountsReceivable,,,,,,,,195078.000,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,-215494.000,-240533.000,-240685.000,240685.000,310356.000,310356.000,,
Assets,14756866.000,15626040.000,15844038.000,18872097.000,17608341.000,17997974.000,18488895.000,18834795.000,21036597.000,20516003.000,20692847.000,20734406.000
AssetsCurrent,6403247.000,7254737.000,7536553.000,10681480.000,9456149.000,9763126.000,10198606.000,10579295.000,10020259.000,9719473.000,9940263.000,9848281.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,109332.000,36057.000,37248.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,,,24576.000,,,
BuildingsAndImprovementsGross,,,,3176739.000,3185704.000,3258918.000,3308112.000,3327897.000,5888332.000,5840182.000,5846538.000,5854262.000
CapitalLeaseObligationsCurrent,124395.000,123087.000,120836.000,114611.000,83926.000,82000.000,80815.000,78861.000,76892.000,74349.000,72514.000,46266.000
CapitalLeaseObligationsNoncurrent,873103.000,847420.000,824843.000,767849.000,770016.000,748502.000,733669.000,711771.000,689677.000,659720.000,636094.000,636270.000
CapitalLeasedAssetsGross,,,,2513618.000,2561674.000,2597211.000,2656494.000,2692781.000,2800301.000,2797265.000,2831256.000,2869520.000
Cash,937721.000,968370.000,946072.000,1025420.000,681702.000,406174.000,81542.000,370349.000,573546.000,230480.000,274727.000,124638.000
CashAndCashEquivalentsAtCarryingValue,,968370.000,,,,,,,,,274727.000,124638.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,100113791.000,100113791.000,100113791.000,100113774.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000
CommonStockSharesOutstanding,100113791.000,100113791.000,100113791.000,100113774.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000,100113791.000
CommonStockValue,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000,100114.000
ConstructionInProgressGross,,,,391368.000,385744.000,395120.000,405678.000,408104.000,631068.000,648944.000,652499.000,872203.000
DeferredRevenue,,,,,2498357.000,2102633.000,1941119.000,2104372.000,,,134044.000,613651.000
DeferredRevenueCurrent,2577703.000,2785391.000,2558359.000,4393946.000,4174197.000,3793004.000,3549968.000,3388386.000,297544.000,92886.000,1308060.000,1775603.000
DeferredRevenueNoncurrent,,,,,,4174197.000,3549968.000,3388386.000,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,1334892.000,,,,788118.000,,,
DeferredTaxAssetsValuationAllowance,,,,,-1334892.000,,,,-788118.000,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,115755.000,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableCurrent,,,,,,,,,,110920.000,91947.000,92498.000
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,,,,,,,,,1379.000,70359.000,21610.000,7997.000
DisposalGroupIncludingDiscontinuedOperationDeferredRevenueCurrent,,,,,,,,,1930284.000,1935167.000,1878860.000,1875877.000
DisposalGroupIncludingDiscontinuedOperationOtherCurrentAssets,,,,,,,,,16922.000,30247.000,6402.000,6446.000
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,,,,,,,668624.000,695008.000,679926.000,686271.000
DisposalGroupIncludingDiscontinuedOperationOtherLiabilities,,,,,,,,,,92327.000,93727.000,105666.000
DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssets,,,,,,,,,,,,15458.000
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,,,,,,,6275.000,8726.000,8045.000,7347.000
DueFromOtherRelatedPartiesNoncurrent,,,,,,,,,1617625.000,1274756.000,1174016.000,1161952.000
DueFromRelatedParties,,,,4547.000,,,,225447.000,523024.000,613288.000,611881.000,578566.000
DueToOtherRelatedPartiesClassifiedCurrent,,,,,,,,,,1274756.000,,
DueToRelatedPartiesCurrent,16648943.000,,,,,,,1284014.000,1617625.000,,,
EmployeeRelatedLiabilitiesCurrentAndNoncurrent,,,,492661.000,336130.000,405764.000,396202.000,459189.000,138805.000,206677.000,320504.000,358298.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,-180752.000,-191769.000,-203387.000,-217181.000,-229268.000,-226907.000,-235493.000,-246200.000,-256722.000
FiniteLivedIntangibleAssetsGross,,,,2192570.000,2198758.000,2210834.000,2244203.000,2257628.000,2205888.000,2187853.000,2190233.000,2190233.000
FiniteLivedIntangibleAssetsNet,2033455.000,2034235.000,2035956.000,2011818.000,2006989.000,2007447.000,2027022.000,2028360.000,1978981.000,1952360.000,1944033.000,1934116.000
FurnitureAndFixturesGross,,,,199619.000,281718.000,285437.000,216997.000,219738.000,269815.000,267609.000,268560.000,195041.000
InventoryFinishedGoods,,,,2669544.000,2982436.000,3054228.000,3332622.000,3578092.000,4048070.000,4014263.000,3787817.000,3517652.000
InventoryGross,,,,6343864.000,6962485.000,7398363.000,8256671.000,8214246.000,8385491.000,8213628.000,8326250.000,8417266.000
InventoryNet,4484714.000,5335136.000,5328559.000,6343864.000,6962485.000,7398363.000,8256671.000,8214246.000,8385490.000,8213628.000,8326250.000,8417266.000
InventoryRawMaterials,,,,308134.000,65565.000,184712.000,117432.000,59405.000,278595.000,219731.000,220664.000,161640.000
InventoryWorkInProcess,,,,2743411.000,3001300.000,3204999.000,3921744.000,3689394.000,3451217.000,3408455.000,3398202.000,3284165.000
Liabilities,22303818.000,6156606.000,5949595.000,8671690.000,7240447.000,7204087.000,7572839.000,7944174.000,5308510.000,4695718.000,4885925.000,5393913.000
LiabilitiesAndStockholdersEquity,14756866.000,15626040.000,15844038.000,18872097.000,17608341.000,17997974.000,18488895.000,18834795.000,21036597.000,20516003.000,20692847.000,20734406.000
LiabilitiesCurrent,21430715.000,5309186.000,5124752.000,7903841.000,6470431.000,6455585.000,6839170.000,7232403.000,4618833.000,4035998.000,4249831.000,4757643.000
LiabilitiesNoncurrent,873103.000,847420.000,824843.000,767849.000,770016.000,748502.000,733669.000,711771.000,689677.000,659720.000,636094.000,636270.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,2891961.000,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,2833422.000,2744460.000,2760312.000
LongTermInvestments,1874473.000,1885399.000,1897323.000,1894560.000,1899907.000,1910341.000,1939175.000,1950775.000,2013641.000,1997177.000,1999350.000,1999902.000
MachineryAndEquipmentGross,,,,2342235.000,2278147.000,2343071.000,2452520.000,2467194.000,2407299.000,2387618.000,2390921.000,2480218.000
MinorityInterest,154761.000,5097980.000,5138533.000,5123194.000,4994867.000,5040514.000,5010491.000,4988986.000,10559228.000,10632727.000,10659948.000,10484171.000
NotesReceivableNet,,,,,,,,32513.000,32712.000,48667.000,9744.000,
OperatingLossCarryforwards,,,,,5339569.000,,,,3152472.000,,,
OtherEmployeeRelatedLiabilitiesCurrentAndNoncurrent,,,,183230.000,140892.000,198460.000,143707.000,144929.000,61598.000,59223.000,188610.000,57314.000
OtherInventorySupplies,,,,622775.000,1046624.000,1121599.000,1062727.000,1106005.000,899721.000,883237.000,919567.000,1453809.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,936494.000,678528.000,927136.000,2517792.000,1244199.000,1326384.000,1470432.000,1459577.000,470409.000,547106.000,638416.000,608636.000
PrepaidExpenseCurrentAndNoncurrent,,,,,,,,1459577.000,470409.000,547106.000,638416.000,608636.000
PrepaidTaxes,,,,,,,95082.000,62563.000,39952.000,19030.000,18829.000,14657.000
PropertyPlantAndEquipmentGross,,,,8604891.000,8680975.000,8860421.000,9024754.000,9100580.000,11761120.000,11684816.000,11743444.000,11805324.000
PropertyPlantAndEquipmentNet,4445691.000,4451669.000,4374206.000,4284239.000,4245296.000,4317060.000,4324092.000,4276365.000,7023716.000,6846993.000,6809201.000,6952107.000
RetainedEarningsAccumulatedDeficit,-22502444.000,-22292346.000,-21967543.000,-21631919.000,-21345293.000,-21022139.000,-21054174.000,-21097219.000,-21088319.000,-20939397.000,-20997947.000,-21293686.000
SalesAndExciseTaxPayableCurrentAndNoncurrent,,,,151080.000,142687.000,149074.000,125878.000,121748.000,5814.000,9279.000,,
SecurityDepositLiability,45298.000,45564.000,45854.000,45785.000,81695.000,82147.000,83386.000,83884.000,31946.000,35430.000,41970.000,39157.000
StockholdersEquity,-7701713.000,9469434.000,4755910.000,5077213.000,10367894.000,10793887.000,10916056.000,10890621.000,5168752.000,15820285.000,15806922.000,15340493.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-7546952.000,4371454.000,9894443.000,10200407.000,10367894.000,10793887.000,10916056.000,10890621.000,15728087.000,15820285.000,15806922.000,15340493.000
TaxesPayableCurrent,598454.000,661296.000,676067.000,790998.000,661838.000,750653.000,629357.000,714163.000,68987.000,136773.000,132327.000,7375.000
TaxesPayableCurrentAndNoncurrent,,,,790998.000,661838.000,750653.000,629357.000,714163.000,68987.000,136773.000,132327.000,7375.000
