,2016-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,15000000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,48000000.000
AdvertisingExpense,439000000.000
AllocatedShareBasedCompensationExpense,47000000.000
AmortizationOfIntangibleAssets,453000000.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,2005000000.000
CashAcquiredFromAcquisition,1725000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1849000000.000
ComprehensiveIncomeNetOfTax,2292000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-412000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1880000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,303000000.000
CostOfServices,223000000.000
CostsAndExpenses,1444000000.000
CurrentFederalTaxExpenseBenefit,-16000000.000
CurrentForeignTaxExpenseBenefit,31000000.000
CurrentIncomeTaxExpenseBenefit,18000000.000
CurrentStateAndLocalTaxExpenseBenefit,3000000.000
DeferredFederalIncomeTaxExpenseBenefit,-401000000.000
DeferredForeignIncomeTaxExpenseBenefit,-17000000.000
DeferredIncomeTaxExpenseBenefit,-469000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-51000000.000
DefinedContributionPlanCostRecognized,10000000.000
DefinedContributionPlanEmployerMatchingContributionPercent,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,1.000
Depreciation,28000000.000
DepreciationAndAmortization,481000000.000
EarningsPerShareBasic,40.210
EarningsPerShareDiluted,39.520
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-33000000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350
EmployeeBenefitsAndShareBasedCompensation,-2000000.000
GainLossOnSaleOfDerivatives,10000000.000
GainLossOnSaleOfPreviouslyUnissuedStockBySubsidiaryOrEquityInvesteeNonoperatingIncome,-2000000.000
GeneralAndAdministrativeExpense,157000000.000
GrossProfit,1055000000.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,0.000
ImpairmentOfLongLivedAssetsHeldForUse,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1621000000.000
IncomeLossFromEquityMethodInvestments,26000000.000
IncomeTaxExpenseBenefit,-451000000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,1000000.000
IncomeTaxReconciliationDeductionsDividends,6000000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,8000000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,567000000.000
IncomeTaxReconciliationOtherAdjustments,4000000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,-32000000.000
IncomeTaxReconciliationTaxCredits,1000000.000
IncomeTaxesPaid,21000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-137000000.000
IncreaseDecreaseInOperatingAssets,-169000000.000
InformationTechnologyAndDataProcessing,150000000.000
InterestExpenseDebt,19000000.000
InterestPaid,3000000.000
MinorityInterestChangeInRedemptionValue,88000000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,32000000.000
MinorityInterestDecreaseFromRedemptions,89000000.000
NetCashProvidedByUsedInFinancingActivities,123000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,123000000.000
NetCashProvidedByUsedInInvestingActivities,1593000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,1593000000.000
NetCashProvidedByUsedInOperatingActivities,166000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,166000000.000
NetIncomeLossAttributableToNoncontrollingInterest,-220000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,2292000000.000
NoncontrollingInterestIncreaseFromBusinessCombination,16362000000.000
NonoperatingIncomeExpense,2010000000.000
OperatingIncomeLoss,-389000000.000
OperatingLeasesRentExpenseNet,26000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-225000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,-34000000.000
OtherComprehensiveIncomeLossNetOfTax,-192000000.000
OtherNoncashIncomeExpense,-17000000.000
PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,10000000.000
PaymentsForProceedsFromOtherInvestingActivities,-3000000.000
PaymentsOfDividendsMinorityInterest,32000000.000
PaymentsToAcquireProductiveAssets,125000000.000
ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,214000000.000
ProceedsFromIssuanceOfLongTermDebt,743000000.000
ProceedsFromPaymentsForOtherFinancingActivities,3000000.000
ProfitLoss,2072000000.000
RelatedPartyTransactionAmountsOfTransaction,1000000.000
RepaymentsOfLongTermDebt,415000000.000
RestructuringCharges,9000000.000
Revenues,1581000000.000
SaleOfStockConsiderationReceivedPerTransaction,15000000.000
SalesReturnsGoods,5000000.000
SalesRevenueGoodsNet,411000000.000
SalesRevenueNet,1581000000.000
SalesRevenueServicesNet,1170000000.000
SellingAndMarketingExpense,619000000.000
ShareBasedCompensation,47000000.000
StockholdersEquityOther,-3000000.000
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition,220000000.000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,1000000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,1000000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,1000000.000
WeightedAverageNumberOfDilutedSharesOutstanding,58000000.000
WeightedAverageNumberOfSharesOutstandingBasic,57000000.000
