,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3656000.000,6227000.000,2098000.000,1452000.000
AdvertisingRevenue,20409000.000,,,
AdvertisingRevenueCost,4906000.000,,,
AllocatedShareBasedCompensationExpense,,1421000.000,2070000.000,1445000.000
AmortizationOfIntangibleAssets,83000.000,,,100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,545000.000,134000.000,176000.000
AssetImpairmentCharges,8000.000,0.000,0.000,
BusinessCombinationAcquisitionRelatedCosts,,,,264000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,106000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1577000.000,20384000.000,-4210000.000,1663000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,-1066000.000,0.000,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0.000,2395000.000,-39000.000,0.000
ComprehensiveIncomeNetOfTax,,13924000.000,-234000.000,-8272000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1201000.000,17000.000,0.000,
CostOfGoodsSold,83277000.000,97848000.000,111145000.000,116437000.000
CostOfRevenue,88183000.000,,,
CurrentFederalTaxExpenseBenefit,,6000.000,0.000,0.000
CurrentIncomeTaxExpenseBenefit,,6000.000,0.000,2000.000
CurrentStateAndLocalTaxExpenseBenefit,,0.000,0.000,2000.000
DeferredFederalIncomeTaxExpenseBenefit,,,,9000.000
DeferredIncomeTaxExpenseBenefit,,,,10000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,1000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,200000.000,200000.000
DepreciationAndAmortization,1922000.000,1394000.000,1258000.000,1383000.000
DepreciationDepletionAndAmortization,,1400000.000,1300000.000,1300000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,0.000,,,
EarningsPerShareBasic,-0.190,2.150,-0.040,-1.240
EarningsPerShareDiluted,-0.190,2.120,-0.040,-1.240
EffectOfExchangeRateOnCashAndCashEquivalents,-11000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,-0.003,0.000,0.001
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.359,-2.493,-0.438
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.000,0.017,0.000
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.013,-0.085,-0.001
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.009,-0.618,0.033
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,,0.000,2.878,0.060
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,300000.000,
GainLossOnDispositionOfAssets,65000.000,,-16000.000,-4000.000
GainLossOnDispositionOfProperty,,-53000.000,,
GainLossOnSaleOfOtherAssets,65000.000,,,
GainLossOnSaleOfOtherInvestments,,4021000.000,0.000,0.000
GeneralAndAdministrativeExpense,11565000.000,10001000.000,9296000.000,8039000.000
GoodwillAcquiredDuringPeriod,,0.000,,1973000.000
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,1675000.000,,
GrossProfit,31283000.000,21065000.000,27117000.000,24268000.000
IncomeLossFromContinuingOperations,-1190000.000,1805000.000,-167000.000,-8272000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,1811000.000,-167000.000,-8260000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1273000.000,1811000.000,-167000.000,-8260000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.190,0.280,-0.030,-1.240
IncomeLossFromContinuingOperationsPerDilutedShare,-0.190,0.280,-0.030,-1.240
IncomeLossFromDiscontinuedOperationsNetOfTax,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,12102000.000,-67000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,1.870,-0.010,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,1.850,-0.010,0.000
IncomeTaxExpenseBenefit,-83000.000,6000.000,0.000,12000.000
IncomeTaxesPaidNet,,100000.000,,
IncreaseDecreaseInAccountsPayable,-7054000.000,5608000.000,58000.000,2154000.000
IncreaseDecreaseInAccountsReceivable,1213000.000,322000.000,8739000.000,-2127000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-483000.000,-721000.000,2396000.000,96000.000
IncreaseDecreaseInDeferredRevenue,1664000.000,744000.000,525000.000,179000.000
IncreaseDecreaseInInventories,-4322000.000,7842000.000,3514000.000,-3136000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-6000.000,-314000.000,-29000.000,50000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-606000.000,1855000.000,-96000.000,-1487000.000
IncreaseDecreaseInRestrictedCash,0.000,0.000,,
IncreaseDecreaseInRestructuringReserve,0.000,0.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,90000.000,0.000,0.000
InventoryWriteDown,65000.000,120000.000,-15000.000,102000.000
LeaseAndRentalExpense,,400000.000,500000.000,400000.000
LossOnContractTermination,,400000.000,200000.000,
NetCashProvidedByUsedInDiscontinuedOperations,0.000,1329000.000,-39000.000,0.000
NetCashProvidedByUsedInFinancingActivities,658000.000,-849000.000,-980000.000,-575000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,658000.000,-849000.000,-980000.000,-575000.000
NetCashProvidedByUsedInInvestingActivities,-1630000.000,21787000.000,2784000.000,-1764000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1630000.000,21787000.000,2784000.000,-1764000.000
NetCashProvidedByUsedInOperatingActivities,2560000.000,-1883000.000,-5975000.000,4002000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2560000.000,-1883000.000,-5975000.000,4002000.000
NetIncomeLoss,-1190000.000,13907000.000,-234000.000,-8272000.000
NonoperatingIncomeExpense,-11000.000,-122000.000,-24000.000,119000.000
OperatingExpenses,32545000.000,23153000.000,27260000.000,32647000.000
OperatingIncomeLoss,-1262000.000,-2088000.000,-143000.000,-8379000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-11000.000,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,17000.000,0.000,0.000
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,0.000,,,
PaymentsForRepurchaseOfCommonStock,356000.000,1204000.000,1297000.000,355000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,0.000,,,1421000.000
PaymentsToAcquireIntangibleAssets,20000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,2516000.000,113000.000,216000.000,343000.000
ProceedsFromDivestitureOfBusinesses,,17000000.000,3000000.000,0.000
ProceedsFromIssuanceOfCommonStock,1014000.000,355000.000,317000.000,30000.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,0.000,0.000,,
ProceedsFromSaleAndMaturityOfOtherInvestments,,6000000.000,0.000,0.000
ProceedsFromSaleOfIntangibleAssets,906000.000,0.000,0.000,
ProfitLoss,-1190000.000,,,
ProvisionForDoubtfulAccounts,27000.000,38000.000,70000.000,-5000.000
ProvisionForOtherLosses,301000.000,-129000.000,,
ResearchAndDevelopmentExpense,5542000.000,3968000.000,6076000.000,8611000.000
RestructuringCosts,0.000,,,
RevenueFromRelatedParties,0.000,,,
Revenues,119466000.000,,,
SalesRevenueGoodsNet,99057000.000,118913000.000,138262000.000,140705000.000
SalesRevenueNet,119466000.000,,,
SellingAndMarketingExpense,15420000.000,9184000.000,11888000.000,15733000.000
ShareBasedCompensation,3656000.000,3559000.000,2070000.000,1445000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,0.004,0.005,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,0.620,0.580,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,100000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,181071.000,92072.000,11725.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,21.250,25.070,15.220
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,5989.000,40293.000,90124.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,7.420,6.110,4.050
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,12.770,13.140,11.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,18.070,15.670,11.250
StockIssuedDuringPeriodSharesStockOptionsExercised,,27782.000,23505.000,725.000
StockIssuedDuringPeriodValueNewIssues,1014000.000,355000.000,317000.000,30000.000
StockRepurchasedDuringPeriodValue,,,754000.000,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,,0.000,161000.000,128000.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,-848000.000,-90000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,6319000.000,6556000.000,6620000.000,6697000.000
WeightedAverageNumberOfSharesOutstandingBasic,6319000.000,6466000.000,6620000.000,6697000.000
