,2016-12-31
AdjustmentsToAdditionalPaidInCapitalMarkToMarket,-907000.000
AllocatedShareBasedCompensationExpense,2300000.000
AmortizationOfFinancingCosts,6075000.000
AmortizationOfIntangibleAssets,55484000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,169403.000
BusinessAcquisitionsProFormaNetIncomeLoss,36015000.000
BusinessAcquisitionsProFormaRevenue,1076753000.000
BusinessCombinationAcquisitionRelatedCosts,66916000.000
CapitalLeasesIncomeStatementLeaseRevenue,15337000.000
CashAcquiredFromAcquisition,50349000.000
CommonStockDividendsPerShareCashPaid,1.350
ComprehensiveIncomeNetOfTax,16907000.000
CostOfGoodsSold,15800000.000
CostsAndExpenses,632686000.000
CurrentForeignTaxExpenseBenefit,761000.000
DebtInstrumentInterestRateDuringPeriod,0.037
DeferredForeignIncomeTaxExpenseBenefit,-809000.000
DeferredIncomeTaxExpenseBenefit,-809000.000
DefinedContributionPlanCostRecognized,700000.000
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,6000.000
DepreciationDepletionAndAmortization,392592000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-3438000.000
DirectOperatingCosts,84256000.000
EarningsPerShareBasic,-0.240
EarningsPerShareDiluted,-0.240
EffectiveIncomeTaxRateContinuingOperations,0.008
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,0.000
ForeignCurrencyTransactionGainLossBeforeTax,-400000.000
ForeignEarningsRepatriated,78000000.000
ForeignIncomeTaxExpenseBenefitContinuingOperations,-48000.000
GainLossOnDerivativeInstrumentsNetPretax,4405000.000
GainLossOnSaleOfLeasedAssetsNetOperatingLeases,-20347000.000
GeneralAndAdministrativeExpense,65618000.000
GrossProfit,618000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-5785000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5833000.000
IncomeTaxExaminationInterestExpense,121000.000
IncomeTaxExaminationPenaltiesExpense,-29000.000
IncomeTaxExpenseBenefit,-48000.000
IncomeTaxesPaidNet,309000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,10694000.000
IncreaseDecreaseInAccountsReceivable,-10111000.000
