,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccretionExpense,,,,,,,9339.000,
AccretionOfDiscount,,,47345.000,,56633.000,,,
AdjustmentOfWarrantsGrantedForServices,291710.000,,,,97645.000,,,
AmortizationOfFinancingCosts,,,,,56633.000,,,
CashPeriodIncreaseDecrease,324095.000,,,,196961.000,,,
CostOfGoodsSold,,7583.000,7598.000,,446.000,2202.000,1015.000,37219.000
CostOfRevenue,,11848.000,11346.000,,731.000,2934.000,1824.000,46078.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,,0.080,,,
Depreciation,1434.000,,,,2566.000,,,
EarningsPerShareBasicAndDiluted,-0.030,-0.040,-0.030,-0.050,-0.070,-0.060,-0.050,0.000
EffectOfExchangeRateOnCash,-7561.000,,,,0.000,,,
GainLossOnDispositionOfAssets1,,,-667.000,,,,,
GeneralAndAdministrativeExpense,1092142.000,1375222.000,907096.000,1494102.000,2705279.000,2088536.000,1846308.000,-144773.000
GrossProfit,,71118.000,64301.000,,4969.000,11680.000,14350.000,135600.000
IncomeTaxesPaid,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-37480.000,,,,130605.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,1700.000,,,
IncreaseDecreaseInDepositOtherAssets,400.000,,,,-3117.000,,,
IncreaseDecreaseInInterestPayableNet,0.000,,,,,,,
IncreaseDecreaseInInventories,6511.000,,,,10555.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,236447.000,,,
IncreaseDecreaseInPrepaidExpense,-33257.000,,,,,,,
IncreaseDecreaseInPrepaidExpensesOther,,,,,-52311.000,,,
IncreaseDecreaseInPrepaidRoyalties,33574.000,,,,17156.000,,,
IncreaseDecreaseInReceivables,-495.000,,,,,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,2746900.000,,,,,,,
InterestExpense,1282.000,1282.000,8525.000,9754.000,12738.000,12086.000,12308.000,11936.000
InterestExpenseRelatedParty,0.000,,,,,,,
InterestPaid,0.000,,,,11771.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,50000.000,,,,13219.000,,,
NetCashProvidedByUsedInFinancingActivities,1137113.000,,,,1440673.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1137113.000,,,,1440673.000,,,
NetCashProvidedByUsedInInvestingActivities,-2864.000,,,,-30328.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2864.000,,,,-30328.000,,,
NetCashProvidedByUsedInOperatingActivities,-802593.000,,,,-1213384.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-802593.000,,,,-1213384.000,,,
NetIncomeLoss,-1101524.000,-1310202.000,-900040.000,-1593776.000,-2875751.000,-2251625.000,-1986359.000,151291.000
NonoperatingIncomeExpense,-1282.000,-1282.000,-56537.000,-67036.000,-67657.000,-68389.000,-21206.000,-11871.000
OperatingExpenses,1100242.000,1380037.000,907804.000,1507360.000,2813063.000,2194916.000,1979503.000,-27562.000
OperatingIncomeLoss,-1100242.000,-1308920.000,-843503.000,-1526740.000,-2808094.000,-2183236.000,-1965153.000,163162.000
OperatingLeasesRentExpenseNet,,,,,18336.000,19097.000,19538.000,22284.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-7561.000,-379.000,0.000,9787.000,0.000,0.000,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-1109085.000,-1310581.000,-900040.000,-1583989.000,-2875751.000,-2251625.000,-1986359.000,151291.000
OtherNonoperatingIncome,,,,,1714.000,356.000,441.000,65.000
PaymentsOfStockIssuanceCosts,95500.000,,,,144000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,2864.000,,,,30328.000,,,
ProceedsFromIssuanceOfCommonStock,1278500.000,,,,1627500.000,,,
RepaymentsOfNotesPayable,34887.000,,,,42827.000,,,
RepaymentsOfRelatedPartyDebt,11000.000,,,,0.000,,,
ResearchAndDevelopmentExpense,8100.000,4816.000,708.000,13257.000,107784.000,106380.000,133195.000,117211.000
Revenues,,82965.000,75647.000,,5700.000,14614.000,16174.000,181678.000
RoyaltyExpense,,4265.000,3748.000,,285.000,732.000,809.000,8859.000
RoyaltyRevenue,467.000,,,,,,,
SalesRevenueGoodsNet,,82965.000,75647.000,,5700.000,14614.000,16174.000,181678.000
SalesRevenueNet,,82965.000,75647.000,,5700.000,14614.000,16174.000,181678.000
ShareBasedCompensation,,,,,1527110.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,1270000.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,1.250,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,,,,,1270000.000,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedWeightedAverageGrantDateFairValue,,,,,1.250,,,
StandardizedMeasureOfDiscountedFutureNetCashFlowRelatingToProvedOilAndGasReservesAccretionOfDiscount,,,,,,-56659.000,,
StockIssued1,87355.000,,,,174100.000,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,2746900.000,,3545600.000,,10945400.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,32539433.000,33529281.000,33893005.000,-66138693.000,37999113.000,38734410.000,38751597.000,-76911469.000
