,2013-06-30,2014-06-30
AmortizationOfIntangibleAssets,971000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,58900.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,2500000.000
CashAcquiredFromAcquisition,316000.000,316000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1797000.000,1429000.000
CommonStockDividendsPerShareDeclared,0.780,
CostOfGoodsSold,30916000.000,33126000.000
CurrentFederalTaxExpenseBenefit,3623000.000,5090000.000
CurrentStateAndLocalTaxExpenseBenefit,138000.000,522000.000
DeferredFederalIncomeTaxExpenseBenefit,-358000.000,-258000.000
DeferredIncomeTaxExpenseBenefit,-270000.000,-258000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,88000.000,0.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,213000.000,257000.000
Depreciation,699000.000,837000.000
DepreciationDepletionAndAmortization,1670000.000,1649000.000
Dividends,6725000.000,7460000.000
EarningsPerShareBasic,0.780,0.940
EarningsPerShareDiluted,0.780,0.940
EffectiveIncomeTaxRateContinuingOperations,0.340,0.400
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340
EffectiveIncomeTaxRateReconciliationDeductions,-0.040,-0.040
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,0.000,0.010
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.030
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0.000,0.000
FinitelivedIntangibleAssetsAcquired1,8787000.000,
GainLossOnCondemnation,,507000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10191000.000,13503000.000
IncomeTaxExpenseBenefit,3491000.000,5354000.000
IncomeTaxesPaid,4209000.000,6320000.000
IncreaseDecreaseInAccountsPayable,875000.000,-650000.000
IncreaseDecreaseInAccountsReceivable,3439000.000,-4740000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-341000.000,-72000.000
IncreaseDecreaseInAccruedLiabilities,507000.000,149000.000
IncreaseDecreaseInInventories,-571000.000,3675000.000
IncreaseDecreaseInOtherOperatingAssets,92000.000,379000.000
InterestAndOtherIncome,,717000.000
InterestIncomeOther,,210000.000
InvestmentIncomeInterest,150000.000,
NetCashProvidedByUsedInFinancingActivities,-6237000.000,-6968000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-6237000.000,-6968000.000
NetCashProvidedByUsedInInvestingActivities,-2977000.000,-956000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2977000.000,-956000.000
NetCashProvidedByUsedInOperatingActivities,7417000.000,9353000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,7417000.000,9353000.000
NetIncomeLoss,6700000.000,8149000.000
NetIncomeLossAvailableToCommonStockholdersBasic,6700000.000,8149000.000
NoncashOrPartNoncashAcquisitionAccountsReceivableAcquired1,1342000.000,1342000.000
OperatingCostsAndExpenses,,54012000.000
OperatingLeasesRentExpenseNet,776000.000,862000.000
PaymentsForRepurchaseOfCommonStock,0.000,0.000
PaymentsOfDividends,6550000.000,7283000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,27000.000,173000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,2185000.000,0.000
PaymentsToAcquireProductiveAssets,792000.000,1485000.000
PaymentsToAcquirePropertyPlantAndEquipment,761000.000,
ProceedsFromStockOptionsExercised,286000.000,142000.000
PropertyPlantAndEquipmentTransfersAndChanges,0.000,0.000
RepaymentsOfAssumedDebt,0.000,0.000
ResearchAndDevelopmentExpense,2893000.000,3999000.000
RestrictedStockExpense,492000.000,520000.000
Revenues,0.000,
SalesRevenueGoodsNet,57842000.000,67515000.000
SalesRevenueNet,0.000,
SellingGeneralAndAdministrativeExpense,13492000.000,15104000.000
ShareBasedCompensation,736000.000,712000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,13.710
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,544000.000,718000.000
StockIssuedDuringPeriodSharesRestrictedStockAwardGross,,33100.000
StockIssuedDuringPeriodSharesStockOptionsExercised,53438.000,28875.000
StockIssuedDuringPeriodValueRestrictedStockAwardForfeitures,0.000,0.000
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0.000,0.000
StockIssuedDuringPeriodValueShareBasedCompensation,736000.000,712000.000
StockIssuedDuringPeriodValueStockOptionsExercised,286000.000,142000.000
StockOptionPlanExpense,244000.000,192000.000
StockRepurchaseProgramAuthorizedAmount,10000000.000,
ValuationAllowancesAndReservesDeductions,534000.000,391000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,2788.000,12339.000
WeightedAverageNumberOfDilutedSharesOutstanding,8611482.000,8677306.000
WeightedAverageNumberOfSharesOutstandingBasic,8608694.000,8664967.000
