,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,8231000.000,8317000.000,9139000.000,10500000.000,10100000.000,10022000.000,10014000.000,9633000.000,10943000.000,10131000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,6564000.000,,,,7401000.000,,,,7878000.000,,,,7836000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1036000.000,1120000.000,1151000.000,1505000.000,1759000.000,1747000.000,1743000.000,837000.000,1059000.000,619000.000,889000.000,1093000.000,951000.000,1139000.000,1237000.000,897000.000,1032000.000,710000.000,992000.000,1111000.000,968000.000
AdditionalPaidInCapitalCommonStock,15852000.000,15861000.000,15870000.000,15879000.000,15897000.000,15906000.000,15917000.000,16168000.000,16226000.000,16226000.000,16233000.000,16247000.000,16295000.000,16339000.000,16339000.000,28875000.000,28936000.000,29234000.000,29383000.000,29448000.000,29471000.000
AdvancesFairValueDisclosure,,,,,,,,,,,,,,,,,,,12802000.000,12879000.000,12264000.000
Assets,660272000.000,661784000.000,673325000.000,668009000.000,675746000.000,691868000.000,674764000.000,669489000.000,667833000.000,661807000.000,657365000.000,669162000.000,669029000.000,679263000.000,710672000.000,683685000.000,688974000.000,700798000.000,705704000.000,706495000.000,708890000.000
AssetsFairValueDisclosureNonrecurring,,,,,,,,,,,,,,,,,,,20105000.000,19150000.000,18004000.000
AssetsFairValueDisclosureRecurring,,,,,141295000.000,173854000.000,124371000.000,105848000.000,90275000.000,90398000.000,95409000.000,109649000.000,100040000.000,90980000.000,113677000.000,119708000.000,100792000.000,86943000.000,82869000.000,103274000.000,84287000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,58650000.000,54605000.000,49432000.000,47486000.000,46797000.000,47992000.000,46241000.000,44936000.000,43884000.000,39950000.000
AvailableForSaleSecurities,46256000.000,44903000.000,,,45197000.000,42036000.000,46931000.000,49445000.000,61683000.000,62016000.000,65191000.000,60348000.000,56090000.000,51200000.000,49403000.000,48198000.000,49598000.000,47360000.000,46482000.000,45610000.000,41458000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,1693000.000,1469000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,,,,10000.000,4000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,42532000.000,39390000.000,44290000.000,48177000.000,60078000.000,61078000.000,63844000.000,58692000.000,54647000.000,49474000.000,47528000.000,46839000.000,48034000.000,46284000.000,44979000.000,43927000.000,39993000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,,,,,4000.000,4000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,,,,,,10000.000,4000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,2218000.000,2976000.000,4052000.000,21487000.000,23713000.000,33561000.000,21943000.000,16851000.000,14403000.000,7418000.000,4445000.000,10663000.000,2206000.000,11056000.000,1971000.000,1970000.000,977000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,,,,,6000.000,0.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,2218000.000,2976000.000,4052000.000,21487000.000,23222000.000,32528000.000,20412000.000,1339000.000,4194000.000,1469000.000,3227000.000,9448000.000,984000.000,9839000.000,991000.000,994000.000,0.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,0.000,0.000,0.000,0.000,491000.000,1033000.000,1531000.000,15512000.000,10209000.000,5949000.000,1218000.000,1215000.000,1222000.000,1217000.000,980000.000,976000.000,977000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,5797000.000,5795000.000,7770000.000,11557000.000,20521000.000,17205000.000,26906000.000,24250000.000,19174000.000,15631000.000,14156000.000,14599000.000,14536000.000,14626000.000,13162000.000,11520000.000,12461000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,6292000.000,6297000.000,8322000.000,11927000.000,21271000.000,17567000.000,27254000.000,24859000.000,19740000.000,16384000.000,14969000.000,15206000.000,15083000.000,15017000.000,13561000.000,12017000.000,12913000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,10599000.000,10622000.000,9697000.000,10221000.000,13036000.000,15734000.000,21336000.000,20176000.000,22941000.000,10093000.000,10092000.000,11094000.000,10914000.000,7926000.000,9381000.000,10332000.000,10236000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,10772000.000,10819000.000,9886000.000,10383000.000,13268000.000,16037000.000,22022000.000,20884000.000,23591000.000,10330000.000,10339000.000,11320000.000,11277000.000,8143000.000,9850000.000,10833000.000,10672000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,14636000.000,12580000.000,16464000.000,14780000.000,25529000.000,26152000.000,14163000.000,12944000.000,10278000.000,22714000.000,22242000.000,20106000.000,19572000.000,18737000.000,17425000.000,16965000.000,14256000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,15442000.000,13462000.000,17344000.000,14899000.000,26105000.000,26381000.000,14415000.000,13224000.000,10470000.000,23427000.000,23029000.000,20605000.000,20195000.000,19154000.000,18013000.000,17619000.000,14817000.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,39124000.000,44024000.000,48135000.000,60078000.000,61036000.000,63802000.000,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,0.000,0.000,950000.000,949000.000,950000.000,1945000.000,1397000.000,1280000.000,2212000.000,994000.000,996000.000,998000.000,2970000.000,4952000.000,4968000.000,5067000.000,2997000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,0.000,0.000,963000.000,959000.000,955000.000,1952000.000,1426000.000,1300000.000,2216000.000,1001000.000,1001000.000,1000000.000,2996000.000,4991000.000,4998000.000,5085000.000,3000000.000
AvailableForSaleSecuritiesDebtSecurities,,,,,,41581000.000,46431000.000,49367000.000,61683000.000,61937000.000,65117000.000,60267000.000,56017000.000,51142000.000,49338000.000,48131000.000,49551000.000,47305000.000,46422000.000,45554000.000,41402000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,42208000.000,44929000.000,45197000.000,42036000.000,46931000.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,102000.000,97000.000,48000.000,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,102000.000,97000.000,48000.000,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,102000.000,97000.000,48000.000,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,2766000.000,2743000.000,2689000.000,,,,,,,,,,,,,,
BankOwnedLifeInsurance,10193000.000,10291000.000,10385000.000,10480000.000,10670000.000,10765000.000,10858000.000,10948000.000,11039000.000,11129000.000,11216000.000,11304000.000,11393000.000,11483000.000,11571000.000,11660000.000,11751000.000,11843000.000,11936000.000,12024000.000,12118000.000
BuildingsAndImprovementsGross,,,,,,6160000.000,,,,6160000.000,,,,6307000.000,,,,7983000.000,,,
Capital,,,,,,78395000.000,,,,73015000.000,,,,73616000.000,,,,79978000.000,,,
CapitalRequiredForCapitalAdequacy,,,,,,44742000.000,,,,42084000.000,,,,43065000.000,,,,44471000.000,,,
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,,,,,,0.080,,,,0.080,,,,0.080,,,,0.080,,,
CapitalToRiskWeightedAssets,,,,,,0.140,,,,0.139,,,,0.137,,,,0.144,,,
CashAndCashEquivalentsAtCarryingValue,30834000.000,13754000.000,13311000.000,21230000.000,38021000.000,15099000.000,78856000.000,100149000.000,98886000.000,64896000.000,49513000.000,26219000.000,27910000.000,46174000.000,59124000.000,31588000.000,53960000.000,75792000.000,92720000.000,52221000.000,52465000.000
CashAndDueFromBanks,5053000.000,5579000.000,5664000.000,6100000.000,5947000.000,7913000.000,6613000.000,6904000.000,7824000.000,6037000.000,11465000.000,15143000.000,7484000.000,7942000.000,6670000.000,6245000.000,6763000.000,6559000.000,5466000.000,6869000.000,4807000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,500000.000,500000.000,,500000.000,500000.000,500000.000,,500000.000,500000.000,500000.000
CommonStockHeldInTrust,786000.000,828000.000,,,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1000.000,1.000
CommonStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
CommonStockSharesIssued,3387045.000,3387045.000,3387045.000,3387045.000,3387045.000,3387045.000,3388773.000,3419013.000,3428776.000,3428776.000,3429640.000,3431440.000,3434680.000,3434680.000,3434680.000,4986380.000,4992380.000,5021330.000,5037108.000,5043108.000,5045358.000
CommonStockSharesOutstanding,3387045.000,3387045.000,3387045.000,3387045.000,3387045.000,3387045.000,3388773.000,3419013.000,3428776.000,3428776.000,3429640.000,3431440.000,3434680.000,3434680.000,3434680.000,4986380.000,4992380.000,5021330.000,5037108.000,5043108.000,5045358.000
CommonStockValue,3387000.000,3387000.000,3387000.000,3387000.000,3387000.000,3387000.000,3389000.000,3419000.000,3429000.000,3429000.000,3430000.000,3432000.000,3435000.000,3435000.000,3435000.000,4986000.000,4992000.000,5021000.000,5037000.000,5043000.000,5045000.000
ConstructionInProgressGross,,,,,,,,,,481000.000,,,,987000.000,,,,0.000,,,
ConvertibleSubordinatedDebt,,,,,10310000.000,10310000.000,10310000.000,10310000.000,10310000.000,10310000.000,10310000.000,10310000.000,19610000.000,19610000.000,19610000.000,19610000.000,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,86000.000,,,,,,,,,,,,
DeferredCompensationLiabilityCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,5772000.000,,,
DeferredIncomeTaxLiabilities,,,,,,2028000.000,,,,1367000.000,,,,1682000.000,,,,1634000.000,,,
DeferredTaxAssetsGross,,,,,,7793000.000,,,,5925000.000,,,,6253000.000,,,,6096000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,5765000.000,,,,4558000.000,,,,4571000.000,,,,4462000.000,,,
DeferredTaxAssetsOther,,,,,,-18000.000,,,,38000.000,,,,49000.000,,,,68000.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,,,,,,,58000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,1758000.000,,,,2184000.000,,,,2516000.000,,,,2786000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,,,,,78000.000,,,,18000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,,,,,,1600000.000,,,,322000.000,,,,478000.000,,,,437000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,,,,,,3828000.000,,,,2858000.000,,,,2432000.000,,,,2151000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,,,,,,625000.000,,,,523000.000,,,,537000.000,,,,567000.000,,,
DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,,,,,,,,,,,,,,,,,,11000.000,,,
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,,,,,,307000.000,,,,334000.000,,,,333000.000,,,,316000.000,,,
DeferredTaxLiabilitiesPrepaidExpenses,,,,,,80000.000,,,,56000.000,,,,93000.000,,,,19000.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,741000.000,,,,658000.000,,,,669000.000,,,,789000.000,,,
DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,,,,,,900000.000,,,,319000.000,,,,587000.000,,,,366000.000,,,
DepositLiabilitiesReclassifiedAsLoansReceivable1,,,,,,,,,,,,,,28000.000,,,,11000.000,,,
Deposits,581832000.000,585184000.000,596639000.000,588500000.000,588672000.000,590925000.000,585954000.000,581404000.000,584494000.000,579097000.000,575850000.000,577313000.000,586940000.000,594898000.000,609417000.000,592719000.000,596489000.000,607307000.000,601073000.000,599148000.000,601483000.000
DepositsFairValueDisclosure,,,,,192752000.000,,,,,,,142745000.000,150596000.000,143881000.000,144346000.000,140158000.000,133765000.000,131889000.000,125520000.000,121425000.000,103257000.000
