,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,5000.000,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,-619000.000,,,,,,,,,,,,,,,,,,
AffiliateCosts,,,,,,,,,,,,,,,,1457000.000,1792000.000,,2247000.000,2248000.000,2251000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,-9000.000,,,,-247000.000,,
AmortizationOfFinancingCosts,,,,,,,112000.000,,,,68000.000,,,,490000.000,,,,573000.000,,
AmortizationOfIntangibleAssets,,,,,,,487000.000,,,,638000.000,,,,5770000.000,,,,9364000.000,,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,,,,,,,,,,-101000.000,,,,0.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,40202.000,,,,,,497221.000,,491404.000,490909.000,493778.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,4434000.000,0.000,,,0.000,0.000
AssetManagementCosts,,,,0.000,0.000,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,1100000.000,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,,21640000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,371000.000,16000.000,,7000.000,0.000,938000.000,33000.000,20000.000,1768000.000,3483000.000,6620000.000,580000.000,3399000.000,5585000.000,219000.000,63000.000,399000.000,2064000.000
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,,,,,26096000.000,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,,,,,,,,,,,,,,,,13802000.000,-4000.000,,-1784000.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,1826000.000,,,,-217000.000,,
CashPeriodIncreaseDecrease,,,2106000.000,,,,4166000.000,,,,118148000.000,,,,-27678000.000,,,,-136000.000,,
ComprehensiveIncomeNetOfTax,,,-106000.000,-665000.000,-431000.000,-1000000.000,-1052000.000,-1051000.000,-1847000.000,-852000.000,-644000.000,-3172000.000,-4518000.000,-4527000.000,-230000.000,5133000.000,-6374000.000,-5000.000,-3297000.000,-1262000.000,-2771000.000
DebtInstrumentUnusedBorrowingCapacityFee,,,,,,,,,,,,19000.000,100000.000,,,,,,,,
Depreciation,,,,,,,658000.000,,,,1000000.000,,,,3989000.000,,,,6666000.000,,
DepreciationAndAmortization,,,,178000.000,455000.000,,1145000.000,1090000.000,1067000.000,1900000.000,1644000.000,2797000.000,4251000.000,5388000.000,9779000.000,10679000.000,13581000.000,15716000.000,16092000.000,16259000.000,15137000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,,,,,,,,,,,,,,-2000.000,,,,-3000.000,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,,,,,-337000.000,,-45000.000,-259000.000,255000.000,-180000.000,-276000.000,134000.000,-266000.000,325000.000,-318000.000,-48000.000,215000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,,,,27000.000,115000.000,,419000.000,394000.000,576000.000,948000.000,941000.000,1335000.000,2216000.000,4352000.000,6718000.000,8004000.000,9004000.000,11006000.000,10357000.000,10308000.000,10552000.000
EarningsPerShareBasic,,,,,,,,,,,,,,,0.000,0.050,,,-0.030,-0.010,
EarningsPerShareBasicAndDiluted,,,,-2.210,-1.170,,-0.300,-0.510,-0.400,-0.250,-0.050,-0.100,-0.080,-0.030,,,-0.060,,,,-0.030
EarningsPerShareDiluted,,,,,,,,,,,,,,,0.000,0.050,,,-0.030,-0.010,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,,,-130000.000,0.000,,,0.000,0.000,,,,,,,,
GainLossOnSaleOfProperties,,,,,,,,,,,,-19000.000,0.000,,,0.000,0.000,,-4000.000,0.000,0.000
GeneralAndAdministrativeExpense,99000.000,89000.000,106000.000,112000.000,14000.000,13000.000,88000.000,82000.000,177000.000,110000.000,107000.000,546000.000,527000.000,1378000.000,2392000.000,1869000.000,1888000.000,2594000.000,2539000.000,1805000.000,2928000.000
IncomeTaxesPaid,,,,,,,,,,,28000.000,,,,0.000,,,,105000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,2000.000,,,,287000.000,,,,-868000.000,,,,2249000.000,,,,891000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,-19000.000,,,,25000.000,,,,988000.000,,,,3000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-8000.000,,,,31000.000,,,,202000.000,,,,2980000.000,,,,2459000.000,,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,,238000.000,,
IncreaseDecreaseInRestrictedCashAndInvestmentsForOperatingActivities,,,,,,,,,,,,,,,,,,,-319000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,,,14051.000,,,,0.000,
InsuranceRecoveries,,,,,,,,,,,,,,,,,,,,,193000.000
InterestExpense,,,,89000.000,349000.000,,790000.000,741000.000,446000.000,784000.000,686000.000,746000.000,1052000.000,1423000.000,1584000.000,1613000.000,2148000.000,3029000.000,3171000.000,3176000.000,3240000.000
InterestPaid,,,,,,,519000.000,,,,625000.000,,,,1105000.000,,,,2950000.000,,
LeaseAndRentalExpense,,,,,,,,,,,,,,,,,,,100000.000,200000.000,100000.000
NetCashProvidedByUsedInFinancingActivities,,,2197000.000,,,,3645000.000,,,,118282000.000,,,,-7624000.000,,,,-12305000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,2197000.000,,,,3645000.000,,,,118282000.000,,,,-7624000.000,,,,-12305000.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,-425000.000,,,,-30052000.000,,,,-1444000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,-425000.000,,,,-30052000.000,,,,-1444000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-91000.000,,,,521000.000,,,,291000.000,,,,9998000.000,,,,13613000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-91000.000,,,,521000.000,,,,291000.000,,,,9998000.000,,,,13613000.000,,
NetIncomeLoss,-99000.000,-89000.000,-106000.000,-665000.000,-431000.000,-1000000.000,-1052000.000,-1051000.000,-1510000.000,-1091000.000,-599000.000,-2913000.000,-4773000.000,-4347000.000,46000.000,4999000.000,-6108000.000,-330000.000,-2979000.000,-1214000.000,-2986000.000
NetIncomeLossAttributableToParentDiluted,,,,,,,,,,,,,,,,4898000.000,,,,-1214000.000,
NonoperatingIncomeExpense,,,,,,,,-871000.000,-446000.000,,,-745000.000,-1051000.000,,-1580000.000,-1609000.000,-2142000.000,-2001000.000,-3169000.000,-3172000.000,-3042000.000
OperatingExpenses,99000.000,89000.000,106000.000,688000.000,600000.000,1241000.000,1659000.000,1566000.000,2758000.000,2991000.000,2712000.000,6446000.000,10477000.000,17252000.000,19469000.000,16040000.000,31854000.000,31876000.000,33082000.000,31019000.000,32932000.000
OperatingIncomeLoss,,,,-576000.000,-82000.000,,-262000.000,-180000.000,-1064000.000,-307000.000,87000.000,-2168000.000,-3722000.000,-2975000.000,1626000.000,6608000.000,-3966000.000,1671000.000,190000.000,1958000.000,56000.000
OperatingLeasesIncomeStatementLeaseRevenue,,,,90000.000,409000.000,,1088000.000,1080000.000,1276000.000,1962000.000,2115000.000,3192000.000,5120000.000,11023000.000,16151000.000,17679000.000,21545000.000,25600000.000,25618000.000,25484000.000,25436000.000
OtherNonoperatingIncomeExpense,,,,,,,,,,,,20000.000,1000.000,,4000.000,4000.000,6000.000,7000.000,6000.000,4000.000,5000.000
PaymentsForAdvanceToAffiliate,,,,,,,,,,,1019000.000,,,,,,,,,,
PaymentsForCapitalImprovements,,,,,,,,,,,,,,,1856000.000,,,,1702000.000,,
PaymentsForDepositsOnRealEstateAcquisitions,,,,,,,,,,,425000.000,,,,2100000.000,,,,0.000,,
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,,,,,,327000.000,,,,5026000.000,,
PaymentsOfDividends,,,,,,,103000.000,,,,833000.000,,,,6303000.000,,,,7002000.000,,
PaymentsOfFinancingCosts,,,,,,,7000.000,,,,3000.000,,,,15000.000,,,,0.000,,
