,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-279352.000,,,,-180774.000
EarningsPerShareBasic,,,,0.010,,0.010
EarningsPerShareBasicAndDiluted,-0.000,-0.000,0.010,,,
EarningsPerShareDiluted,,,,0.000,,0.000
GeneralAndAdministrativeExpense,10889.000,277474.000,127551.000,137376.000,146166.000,331416.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-1878.000,,,,124843.000
IncreaseDecreaseInPrepaidExpense,,,,,,-25799.000
InvestmentIncomeInterest,1096.000,230730.000,268755.000,328313.000,423429.000,526144.000
NetCashProvidedByUsedInInvestingActivities,,-230730.000,,,,-526144.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-230730.000,,,,-526144.000
NetCashProvidedByUsedInOperatingActivities,,-48622.000,,,,345370.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-48622.000,,,,345370.000
NetIncomeLoss,-9793.000,-46744.000,141204.000,190937.000,277263.000,194728.000
OperatingIncomeLoss,-10889.000,-277474.000,-127551.000,-137376.000,-146166.000,-331416.000
PaymentsToAcquireRestrictedCertificatesOfDeposit,,500000000.000,,,,
PaymentsToAcquireTrustPreferredInvestments,,230730.000,,,,526144.000
Revenues,,0.000,0.000,0.000,0.000,0.000
SalesRevenueNet,,0.000,0.000,0.000,0.000,0.000
TemporaryEquityStockIssuedDuringPeriodValueNewIssues,,46750.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,62500000.000,,62500000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,14318384.000,14853644.000,14858112.000,,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,14848938.000,,14797111.000
