,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdditionsToNoncurrentAssets,,149424000.000,,
AllocatedShareBasedCompensationExpense,,2000000.000,1800000.000,2400000.000
AmortizationOfDeferredCharges,,,18000000.000,18400000.000
AssetImpairmentCharges,,,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,20300000.000,4700000.000,7100000.000,3700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-22617000.000,15550000.000,-16919000.000
CommonStockDividendsPerShareDeclared,0.120,0.120,0.120,0.120
ComprehensiveIncomeNetOfTax,-59596000.000,13657000.000,-33389000.000,-35267000.000
CostOfGoodsSold,975976000.000,731335000.000,298982000.000,300705000.000
CurrentFederalTaxExpenseBenefit,,10853000.000,-151000.000,-378000.000
CurrentIncomeTaxExpenseBenefit,,10458000.000,-133000.000,-366000.000
CurrentStateAndLocalTaxExpenseBenefit,,-395000.000,18000.000,12000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,100000.000,700000.000,200000.000
DeferredFederalIncomeTaxExpenseBenefit,,-13668000.000,4108000.000,-9514000.000
DeferredIncomeTaxExpenseBenefit,-23269000.000,-14123000.000,16926000.000,-9918000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-455000.000,12818000.000,-404000.000
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1,,9300000.000,1728000.000,819000.000
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents1,,833000.000,442000.000,66000.000
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation,,11098000.000,1961000.000,927000.000
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnServiceAndInterestCostComponents,,1030000.000,550000.000,77000.000
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,5500000.000,10800000.000
DepreciationDepletionAndAmortization,55815000.000,47642000.000,82048000.000,41252000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,-111719000.000,-2033000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,-42637000.000,-1055000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,211250000.000,428000.000
DividendsCommonStockCash,5950000.000,5960000.000,5982000.000,6206000.000
EarningsPerShareBasic,-0.440,,,
EarningsPerShareBasicAndDiluted,,0.010,-1.970,-0.370
EarningsPerShareDiluted,-0.440,,,
EffectOfLIFOInventoryLiquidationOnIncome,,300000.000,,
EffectiveIncomeTaxRateContinuingOperations,,0.488,-1.474,0.370
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-1.825,-0.005
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,-0.036,-0.006
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,0.018
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.012,-0.001,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.087,0.038,0.013
GainLossOnSaleOfBusiness,,12515000.000,,
GainLossOnSaleOfPropertyPlantEquipment,36202000.000,960000.000,-882000.000,214000.000
GainsLossesOnExtinguishmentOfDebt,-666000.000,,,-14350000.000
GrossProfit,58598000.000,90834000.000,49602000.000,51319000.000
ImpairmentOfLongLivedAssetsHeldForUse,58837000.000,2075000.000,64548000.000,211000.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,64500000.000,200000.000
IncomeLossFromContinuingOperations,,-3845000.000,-28183000.000,-17534000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-33538000.000,-7510000.000,-11390000.000,-27818000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.080,-0.570,-0.350
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,4521000.000,-69082000.000,-978000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,0.090,-1.400,-0.020
IncomeTaxExpenseBenefit,-11840000.000,-3665000.000,16793000.000,-10284000.000
IncomeTaxExpenseBenefitContinuingOperations,,-3665000.000,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,20787000.000,130000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,,415000.000,177000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-2628000.000,-3987000.000,-9737000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,-506000.000
IncomeTaxReconciliationOtherAdjustments,,93000.000,9000.000,-10000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-657000.000,-431000.000,-338000.000
IncomeTaxesPaid,1176000.000,3145000.000,224000.000,51000.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,-1558000.000,-11153000.000,-9469000.000,-24876000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,8196000.000,-9009000.000,806000.000,-544000.000
IncreaseDecreaseInInventories,-18965000.000,-18235000.000,2393000.000,-4043000.000
IncreaseDecreaseInOtherOperatingAssets,17608000.000,20568000.000,22793000.000,21536000.000
IncreaseDecreaseInReceivables,-6432000.000,-21726000.000,972000.000,-8115000.000
InterestExpense,6850000.000,3360000.000,8802000.000,10679000.000
InterestPaidNet,5677000.000,2012000.000,7606000.000,10675000.000
InventoryWriteDown,13093000.000,,6653000.000,
LongTermPurchaseCommitmentAmount,,14400000.000,10900000.000,1500000.000
NetCashProvidedByUsedInContinuingOperations,24658000.000,,,
NetCashProvidedByUsedInFinancingActivities,-6203000.000,62632000.000,-51639000.000,-1513000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-6203000.000,62632000.000,-51639000.000,-1513000.000
NetCashProvidedByUsedInInvestingActivities,-33623000.000,-121177000.000,68844000.000,-9338000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-33623000.000,-121177000.000,68844000.000,-9338000.000
NetCashProvidedByUsedInOperatingActivities,64484000.000,35928000.000,-1655000.000,-6068000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,64484000.000,35928000.000,-1655000.000,-6068000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-21698000.000,676000.000,-97265000.000,-18512000.000
NonoperatingIncomeExpense,66000.000,-12000.000,-4000.000,-27000.000
OperatingIncomeLoss,-26088000.000,-4138000.000,-2584000.000,-2762000.000
OperatingLeasesRentExpenseNet,,3997000.000,2921000.000,3418000.000
OtherAmortizationOfDeferredCharges,,19100000.000,20700000.000,18600000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,37898000.000,-12981000.000,-63876000.000,16755000.000
OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,25371000.000,7975000.000,38603000.000,-10052000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,12981000.000,63876000.000,-16755000.000
PaymentsOfDebtExtinguishmentCosts,708000.000,,0.000,13833000.000
PaymentsOfDividendsCommonStock,5905000.000,5918000.000,5929000.000,5982000.000
PaymentsToAcquireProductiveAssets,78063000.000,149424000.000,37466000.000,16449000.000
ProceedsFromDivestitureOfBusinesses,,20817000.000,105067000.000,
ProceedsFromLinesOfCredit,36250000.000,8500000.000,65000000.000,171500000.000
ProceedsFromNotesPayable,50000000.000,50000000.000,,
ProceedsFromRepaymentsOfCommercialPaper,-14590000.000,32050000.000,-40700000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,43830000.000,7194000.000,1243000.000,7111000.000
ProceedsFromStockOptionsExercised,,,490000.000,1450000.000
ProvisionForDoubtfulAccounts,-201000.000,-165000.000,-100000.000,-69000.000
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,63876000.000,-16755000.000
RepaymentsOfLinesOfCredit,36250000.000,3000000.000,70500000.000,150875000.000
RepaymentsOfNotesPayable,35000000.000,,,3773000.000
ResearchAndDevelopmentExpense,,3100000.000,1400000.000,700000.000
RestructuringCharges,6204000.000,,,
