,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedLiabilitiesCurrent,8291.000,11614.000,76331.000,24684.000,28709.000,19512.000,62367.000,48229.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,9.000,-22.000,-19.000,60.000,79.000,69.000,69.000,-66.000
AdditionalPaidInCapital,12162.000,12162.000,12162.000,12162.000,12162.000,64397.000,427835.000,613092.000
Assets,2749.000,2649.000,74639.000,5328.000,336.000,28091.000,117733.000,172365.000
AssetsCurrent,2749.000,2649.000,74639.000,5328.000,336.000,28091.000,117733.000,172365.000
CashAndCashEquivalentsAtCarryingValue,876.000,776.000,74639.000,5328.000,336.000,28091.000,27643.000,73908.000
CommercialPaper,,,,,3985.000,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,7500000.000,7500000.000,7500000.000,7500000.000,7500000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,90866665.000,92279327.000,93522660.000
CommonStockSharesOutstanding,6000000.000,6000000.000,6000000.000,6000000.000,6000000.000,90866665.000,92279327.000,93522660.000
CommonStockValue,6000.000,6000.000,6000.000,6000.000,6000.000,90866.000,92279.000,93522.000
ConvertibleDebt,,,,95000.000,95000.000,95000.000,95000.000,
ConvertibleLongTermNotesPayable,,,92569.000,92997.000,,,,
ConvertibleNotesPayableCurrent,,,,,93425.000,-95000.000,-95000.000,
DebtInstrumentInterestRateStatedPercentage,,,0.100,,0.100,0.100,,
DeferredTaxAssetsOperatingLossCarryforwards,,,42284.000,,,,115059.000,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,42284.000,,,,115059.000,
DerivativeFairValueOfDerivativeNet,,,,3436.000,15329.000,,,
DerivativeLiabilitiesCurrent,,,,,15329.000,,,
DerivativeLiabilitiesNoncurrent,,,2578.000,3436.000,,,,
DueFromRelatedPartiesCurrent,1563.000,1563.000,,,,,,
DueToOfficersOrStockholdersCurrent,3151.000,3151.000,4849.000,6819.000,6819.000,22152.000,4849.000,
DueToRelatedPartiesCurrent,,,980.000,980.000,980.000,980.000,980.000,2764.000
EquityMethodInvestmentOwnershipPercentage,,,0.100,,0.100,0.100,,
Liabilities,11442.000,14765.000,177307.000,128916.000,149247.000,42644.000,77345.000,50993.000
LiabilitiesAndStockholdersEquity,2749.000,2649.000,74639.000,5328.000,336.000,28091.000,117733.000,172365.000
LiabilitiesCurrent,11442.000,14765.000,82160.000,32483.000,149247.000,42644.000,77345.000,50993.000
OperatingLossCarryforwards,,,120811.000,,,,328740.000,
PrepaidExpenseCurrent,310.000,310.000,,,,,90090.000,98457.000
RetainedEarningsAccumulatedDeficit,-26864.000,-30256.000,-120811.000,-141810.000,-167152.000,-169885.000,-479795.000,-585176.000
SharePrice,,,0.046,0.046,1.500,,,
SharesIssued,,,,,,,133334.000,
StockholdersEquity,-8693.000,-12116.000,-102668.000,-123588.000,-148911.000,-14553.000,40388.000,121372.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-8693.000,-12116.000,-102668.000,-123588.000,-148911.000,-14553.000,40388.000,121372.000
