,2011-02-28,2011-05-31,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31
AccountsPayableCurrent,41220000.000,40430000.000,30541000.000,32428000.000,33916000.000,38648000.000,36795000.000,52079000.000,53167000.000,51767000.000,56194000.000,57001000.000,57420000.000,57372000.000,47111000.000,52245000.000,47763000.000,52116000.000,57713000.000,59180000.000,50244000.000,45399000.000
AccountsReceivableGrossCurrent,,,,330309000.000,,,,376463000.000,,,,470251000.000,,,,433586000.000,,,,368371000.000,,
AccountsReceivableNetCurrent,288155000.000,244239000.000,248864000.000,326009000.000,354259000.000,289055000.000,289548000.000,372117000.000,412974000.000,350088000.000,395584000.000,459263000.000,524010000.000,416771000.000,365591000.000,421374000.000,439180000.000,365265000.000,330673000.000,355913000.000,408844000.000,378026000.000
AccruedRoyaltiesCurrent,27768000.000,20161000.000,17334000.000,26178000.000,32183000.000,24149000.000,19101000.000,33637000.000,35432000.000,30514000.000,23261000.000,36289000.000,40639000.000,33652000.000,27729000.000,37346000.000,40498000.000,32327000.000,23984000.000,33306000.000,35582000.000,34810000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-109706000.000,,,,147283000.000,,,,207408000.000,,,,248580000.000,,,,297530000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-101216000.000,-95905000.000,-100694000.000,-49202000.000,-40415000.000,-59237000.000,-44071000.000,-46693000.000,-80665000.000,-79220000.000,-78610000.000,-56961000.000,-59224000.000,-58641000.000,-62807000.000,-106725000.000,-144608000.000,-155487000.000,-171848000.000,-191213000.000,-217314000.000,-182571000.000
AdditionalPaidInCapitalCommonStock,570363000.000,590627000.000,613836000.000,636440000.000,626482000.000,650915000.000,671378000.000,681409000.000,655296000.000,680715000.000,736890000.000,788670000.000,836364000.000,870215000.000,915562000.000,956381000.000,953489000.000,985796000.000,1014093000.000,1053141000.000,1071134000.000,1104593000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,4300000.000,,,,4346000.000,,,,10988000.000,,,,12212000.000,,,,12458000.000,,
Assets,2282339000.000,2378843000.000,2980082000.000,3073037000.000,3193277000.000,3198619000.000,3448172000.000,3549211000.000,3567949000.000,3572941000.000,5322368000.000,5359613000.000,5359920000.000,5248466000.000,5352792000.000,5348430000.000,5565700000.000,5692829000.000,5649599000.000,5601081000.000,6562438000.000,6616192000.000
AssetsCurrent,655218000.000,508827000.000,570855000.000,698078000.000,807176000.000,707938000.000,734092000.000,863883000.000,876072000.000,757150000.000,828214000.000,880840000.000,911573000.000,820875000.000,811747000.000,770587000.000,849910000.000,795669000.000,790248000.000,955342000.000,805778000.000,863359000.000
