,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2014-06-30,2014-12-31,2015-03-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,60883.000,66383.000,75382.000,75382.000,,,
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,,,,,,,,,,3344.000,29844.000,25000.000,25000.000,,,
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,,,,,,75883.000,75883.000,,,
AccountsPayableCurrent,2114.000,0.000,0.000,0.000,0.000,,,6605.000,2149.000,530.000,,,,,,,
AccountsPayableInterestBearingInterestRate,,,0.060,0.060,0.080,,,,,,,,,,,,
AccountsPayableOtherCurrent,,,,,,,,,,,,,,,99056.000,75382.000,37691.000
AccountsPayableRelatedPartiesCurrent,71887.000,81287.000,97287.000,100467.000,107467.000,110066.000,110065.000,1174.000,,,,,23488.000,24867.000,0.000,,
AccountsPayableTradeCurrent,,,,,,,,,,,,,,,27229.000,36603.000,49956.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,78843.000,86806.000,245745.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,4506.000,2203.000,4506.000
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,103654.000,107747.000,100045.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,17914.000,22061.000,25514.000
AdditionalPaidInCapital,109254.000,112317.000,114329.000,116148.000,118212.000,,,668072.000,600588.000,660367.000,702367.000,702227.000,702227.000,702227.000,4768596.000,5141920.000,5454336.000
AdditionalPaidInCapitalCommonStock,,,,,,116866.000,117579.000,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,0.000,0.000
Assets,2673.000,2986.000,1652.000,1580.000,2116.000,1728.000,2547.000,100.000,1787.000,1092.000,248.000,541.000,2564.000,2022.000,2100243.000,2362322.000,2511619.000
AssetsCurrent,2673.000,2986.000,1652.000,1580.000,2116.000,1728.000,2547.000,100.000,1787.000,1092.000,248.000,541.000,2564.000,2022.000,248391.000,535147.000,707001.000
Cash,,,,,,1728.000,2547.000,100.000,1787.000,,248.000,541.000,2564.000,2022.000,,,
CashAndCashEquivalentsAtCarryingValue,2673.000,2986.000,1652.000,1580.000,2116.000,,,,,1092.000,,,,,132803.000,414130.000,399768.000
CommonStockParOrStatedValuePerShare,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,,,
CommonStockSharesIssued,5749000.000,5749000.000,5749000.000,5749000.000,5749000.000,5749000.000,5749000.000,60080333.000,60080333.000,300949.000,300949.000,440949.000,440949.000,440949.000,,,
CommonStockSharesOutstanding,,,,,,5749000.000,5749000.000,60080733.000,60080733.000,300949.000,300949.000,440949.000,440949.000,440949.000,,,
CommonStockValue,5749.000,5749.000,5749.000,5749.000,5749.000,5749.000,5749.000,60080.000,60080.000,301.000,301.000,441.000,441.000,441.000,34863.000,35213.000,35488.000
ConvertibleLongTermNotesPayable,,,,,,,,,,,0.000,0.000,0.000,0.000,,,
