,2011-06-30,2011-09-30
AmortizationOfMortgageServicingRightsMSRs,38000.000,63000.000
BrokerageCommissionsRevenue,305000.000,312000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,0.000,0.000
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,0.000,0.000
EarningsPerShareBasic,-0.230,-1.170
EquipmentExpense,527000.000,515000.000
FederalDepositInsuranceCorporationPremiumExpense,787000.000,493000.000
FeesAndCommissionsDepositorAccounts,344000.000,334000.000
FeesAndCommissionsFiduciaryAndTrustActivities,613000.000,614000.000
FeesAndCommissionsOther,438000.000,298000.000
GainLossOnSaleOfSecuritiesNet,-56000.000,
GainsLossesOnSalesOfAssets,3000.000,
GainsLossesOnSalesOfOtherRealEstate,-270000.000,-3003000.000
IncomeLossFromContinuingOperations,-1998000.000,-10215000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1904000.000,-10216000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.230,-1.170
IncomeLossFromDiscontinuedOperationsNetOfTax,3000.000,
IncomeTaxExpenseBenefit,94000.000,-1000.000
InterestAndDividendIncomeOperating,9136000.000,8696000.000
InterestExpense,3918000.000,3767000.000
InterestExpenseDeposits,2939000.000,2770000.000
InterestExpenseLongTermDebt,964000.000,981000.000
InterestExpenseShortTermBorrowings,15000.000,16000.000
InterestIncomeDepositsWithFinancialInstitutions,42000.000,50000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,4042000.000,-1229000.000
InterestIncomeExpenseNet,5218000.000,4929000.000
InterestIncomeFederalFundsSold,9000.000,8000.000
InterestIncomeFederalHomeLoanBankAdvances,2000.000,1000.000
InterestIncomeSecuritiesTaxExempt,200000.000,199000.000
InterestIncomeSecuritiesTaxable,781000.000,623000.000
LaborAndRelatedExpense,3928000.000,3863000.000
NetIncomeLoss,-2009000.000,-10215000.000
NetIncomeLossAttributableToNoncontrollingInterest,14000.000,
NoninterestExpense,8332000.000,10925000.000
NoninterestIncome,2386000.000,1938000.000
NoninterestIncomeOtherOperatingIncome,411000.000,28000.000
OccupancyNet,575000.000,584000.000
OtherNoninterestExpense,1492000.000,1536000.000
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,,208000.000
ProfessionalFees,612000.000,542000.000
ProfitLoss,-1995000.000,-10215000.000
ProvisionForLoanAndLeaseLosses,1176000.000,6158000.000
ServicingFeesNet,121000.000,128000.000
SuppliesAndPostageExpense,103000.000,118000.000
WeightedAverageNumberOfSharesOutstandingBasic,8748330.000,8748330.000
