,2017-03-31
AdjustmentForAmortization,7207.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-53516.000
EarningsPerShareBasicAndDiluted,-0.020
IncomeTaxesPaidNet,0.000
IncreaseDecreaseInAccountsPayable,12347.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,4625.000
InterestExpense,-41.000
InterestPaid,0.000
LegalFees,16572.000
NetCashProvidedByUsedInFinancingActivities,-3903.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-3903.000
NetCashProvidedByUsedInOperatingActivities,-49613.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-49613.000
NetIncomeLoss,-92542.000
OperatingExpenses,92501.000
OperatingIncomeLoss,-92501.000
OtherIncome,-41.000
ProceedsFromIssuanceOrSaleOfEquity,0.000
ProceedsFromRelatedPartyDebt,0.000
SellingGeneralAndAdministrativeExpense,35417.000
ShareBasedCompensation,5000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4757500.000
