,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,928304.000,974545.000,900846.000,455058.000,564579.000,543760.000,1150245.000,1567443.000,1407864.000,1440599.000,1643475.000,1876453.000,1885977.000,2011697.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,928304.000,974545.000,900846.000,455058.000,564579.000,,,,,,,,,
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,177346.000,237059.000,186419.000,179571.000,251731.000,,,,,,,,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,260430.000,349997.000,562544.000,,,,,,
AccountsPayableCurrent,,,,,,8690.000,14058.000,,,,,,,,,,,683488.000,710251.000,798893.000,886672.000,862860.000,896734.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,,46989.000,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,,200000.000,200000.000,200000.000,200000.000,200000.000,
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,220422.000,694102.000,920557.000,,,,,,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,239015.000,273153.000,304835.000,47754.000,219912.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,25896.000,33270.000,41803.000,52529.000,72484.000,97615.000,121987.000,146299.000,170236.000,193052.000,215542.000,237878.000,258643.000,276827.000
AdditionalPaidInCapital,47600.000,47600.000,47600.000,47600.000,49600.000,49600.000,49600.000,49600.000,49600.000,2807185.000,3193482.000,4961382.000,6105646.000,6030259.000,6051613.000,6586454.000,6741841.000,8238199.000,9096769.000,9568870.000,9627985.000,9664168.000,9994963.000
Assets,23130.000,20683.000,18715.000,15583.000,0.000,4816.000,3211.000,200000.000,0.000,146223.000,401614.000,876292.000,3129154.000,2114432.000,1160238.000,567151.000,1109501.000,435764.000,370942.000,165791.000,117596.000,124233.000,75521.000
AssetsCurrent,,,,,,,,,,55970.000,306614.000,777085.000,3001704.000,1857260.000,932422.000,367932.000,938819.000,293244.000,251238.000,68577.000,42718.000,70120.000,39592.000
CapitalUnitsAuthorized,,,,,,,,,,250000000.000,260000000.000,260000000.000,260000000.000,260000000.000,260000000.000,260000000.000,260000000.000,16770000.000,,,,,
Cash,,,,,0.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,23130.000,20683.000,18715.000,15583.000,0.000,,,,,36331.000,264667.000,767581.000,2646388.000,1666914.000,823531.000,266871.000,861347.000,193014.000,180344.000,18019.000,6653.000,5047.000,2256.000
CashFDICInsuredAmount,,,,,,,,,,,,,,1380486.000,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,,0.150,,,,0.020,0.020,0.010
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,,,,,,,,,500000.000,500000.000,9212000.000
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,16159.000,,,,,,15792000.000,10212000.000,9212000.000,9212000.000,
CommonStockParOrStatedValuePerShare,,,,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,,,,,-380000.000,-851000.000,-380000.000,,-50000.000,-50000.000,-50000.000,-1082000.000,,,,,,
CommonStockSharesAuthorized,,,,65000000.000,65000000.000,65000000.000,65000000.000,65000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,,,,4900000.000,43500000.000,43500000.000,43500000.000,43500000.000,43500000.000,68797102.000,69804729.000,75117358.000,90171469.000,89896421.000,89896421.000,92896421.000,93196421.000,107215314.000,,122795314.000,123795314.000,127463171.000,135463171.000
CommonStockSharesOutstanding,,,,,,,,,43500000.000,68797102.000,69804729.000,75117358.000,90171469.000,89896421.000,89896421.000,92896421.000,93196421.000,107215314.000,117215314.000,122795314.000,123795314.000,127463171.000,135463171.000
CommonStockSharesSubscriptions,,,,,,,,200000.000,,,,,,,,,,,,,,,
CommonStockValue,4900.000,4900.000,4900.000,,,,,,2900.000,68797.000,69805.000,75118.000,90171.000,89896.000,89896.000,92896.000,93196.000,107215.000,117215.000,122795.000,123795.000,127463.000,135463.000
CommonStockValueOutstanding,,,,4900.000,2900.000,2900.000,2900.000,2900.000,,,,,,,,,,,,,,,
ConvertibleDebt,,,,,,,,,,213500.000,210000.000,210000.000,60000.000,10000.000,,,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,202609.000,204496.000,209900.000,60000.000,10000.000,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,,,,,,,,,0.040,0.040,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,10891.000,5504.000,100.000,0.000,0.000,0.000,0.000,0.000,,,,,,
DeferredTaxAssetsGross,,,,,,,,,,,,,,,,,,3717000.000,,,,4053000.000,
DeferredTaxAssetsNet,,,,,,,,,-63000.000,-1361200.000,,,,2411900.000,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,82353.000,93146.000,,63000.000,1201400.000,,,,2290800.000,,,,3300000.000,,,,3837000.000,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,,,,,,,,,,,,,8300000.000,,,,8800000.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,,,,,,,,,,,5100000.000,,,,8300000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,,,,,,,,,,,,,417000.000,,,,216000.000,
DeferredTaxAssetsValuationAllowance,,,,,,-82353.000,-93146.000,,161567.000,,,,,,,,,-3717000.000,,,,3626000.000,
DerivativeFairValueOfDerivativeLiability,,,,,,,,,,,,,,,,,,,,359970.000,394620.000,302754.000,
DerivativeLiabilities,,,,,,,,,,,,,,2970072.000,,,1838595.000,1210430.000,,,,,
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,3208473.000,2419087.000,1367030.000,2462299.000,1838595.000,1210430.000,1028483.000,353860.000,348005.000,280316.000,175577.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-29370.000,-31817.000,33785.000,36917.000,69138.000,82353.000,93146.000,101779.000,161567.000,,,,,,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,,,,,62908.000,106146.000,84342.000,62908.000,62908.000,139499.000,225692.000,180894.000,248381.000
EmployeeRelatedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,495428.000,443346.000,383370.000,221821.000,91673.000,,,,,,,,,
FinancialLiabilitiesFairValueDisclosure,,,,,,,,,,,,,-3208473.000,-2419087.000,-1367030.000,-2462299.000,-1838595.000,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,50700.000,54925.000,59150.000,63375.000,67600.000,71825.000,76050.000,80275.000,84500.000,,,,,
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,84500.000,84500.000,84500.000,84500.000,84500.000,84500.000,84500.000,84500.000,84500.000,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,33800.000,29575.000,25350.000,21125.000,16900.000,12675.000,8450.000,4225.000,,,,,,
InterestPayableCurrent,,,,,,725.000,1404.000,2119.000,,,,,,,,,,,,,,,
InterestPayableCurrentAndNoncurrent,,,,,,,,,3288.000,16515.000,20987.000,26222.000,5912.000,1263.000,,,,,,,,,
LeaseIncentiveReceivable,,,,,,,,,,2600.000,2600.000,2600.000,2600.000,2600.000,,,,,,,,,
Liabilities,,0.000,,,16638.000,34669.000,43857.000,49279.000,109067.000,1130913.000,1179041.000,1110746.000,3723531.000,3037654.000,1940115.000,3627207.000,3406038.000,,,,,,
LiabilitiesAndStockholdersEquity,23130.000,20683.000,18715.000,15583.000,0.000,4816.000,3211.000,200000.000,0.000,146223.000,401614.000,876292.000,3129154.000,2114432.000,1160238.000,567151.000,1109501.000,435764.000,370942.000,165791.000,117596.000,124233.000,75521.000
LiabilitiesCurrent,,,,,,,,,,1130913.000,1179041.000,1110746.000,3723531.000,3037654.000,1940115.000,3627207.000,3406038.000,2618294.000,2469082.000,1997335.000,2274458.000,2216293.000,2237274.000
NotesAndLoansPayableCurrent,,,,,16638.000,25254.000,28395.000,47160.000,,,,,,,,,,,,,,,
NotesPayable,,,,,,,,,58790.000,,,,,,,,,,,,,,
NotesPayableCurrent,,,,,,,,,,,,,,43988.000,29325.000,14663.000,,,,,50000.000,50000.000,50000.000
NotesReceivableGross,,,,,,,,200000.000,,,,,,,,,,,,,,,
OperatingLossCarryforwards,,,,,69138.000,-82353.000,-93146.000,101779.000,161567.000,2804000.000,,,,5347000.000,,,,,,,,,
