,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AmortizationOfDebtDiscountPremium,,,,,,,23439.000,,,,478983.000,,,,447318.000,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,23439.000,30898.000,131621.000,267936.000,478983.000,356894.000,465429.000,1560171.000,447318.000,186370.000,195124.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,287264485.000,,
CashPeriodIncreaseDecrease,,,,,,,-14558.000,,,,171462.000,,,,-168016.000,,
CostOfGoodsSold,9582.000,104060.000,22232.000,12461.000,6130.000,16392.000,16571.000,17021.000,299111.000,-273554.000,18686.000,11538.000,12703.000,88524.000,28138.000,22298.000,14028.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,71873.000,,,,,,,,,,
DebtInstrumentConvertibleInterestExpense,,,,,,,,2830798.000,,,,,,,,,
DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,,,,,,,,,,,,,,,44889.000,,
DepreciationAndAmortization,1838.000,1914.000,1061.000,1061.000,1073.000,6083.000,1899.000,1899.000,2711.000,2959.000,1899.000,654.000,3144.000,5972.000,11502.000,4290.000,10750.000
DepreciationDepletionAndAmortization,,,1061.000,,,,1899.000,,,,1899.000,,,,11502.000,,
DerivativeGainLossOnDerivativeNet,,,,,,,,1047628.000,796727.000,,64597.000,-46093.000,-9350.000,,621904.000,-230454.000,-1354113.000
DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalNetOfTax,,,,,,,,,,,,,,,,,-72857.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,,,,,-10768.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,,,,,,,-10768.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,17268.000
EarningsPerShareBasicAndDiluted,-0.030,-0.050,-0.030,-0.040,-0.060,0.010,-0.020,-0.100,-0.000,-2.530,-0.160,-0.420,-0.200,-22.130,-0.240,-0.060,-0.010
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,,,,,,,,,,,,,,,44889.000,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,-311275.000,-201113.000,-182108.000
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,,,,,,,,,,,,,,,-310018.000,,
GeneralAndAdministrativeExpense,272016.000,446041.000,391704.000,525875.000,822857.000,-788222.000,184132.000,269676.000,466498.000,228689.000,595417.000,536866.000,809641.000,869905.000,608820.000,494463.000,316337.000
GrossProfit,643.000,-83465.000,5695.000,-5360.000,-5196.000,43022.000,40567.000,46920.000,123716.000,-6607.000,123123.000,44474.000,70478.000,308202.000,161668.000,117719.000,77515.000
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,-2034907.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-385941.000,-614142.000,-450037.000,-586785.000,-864583.000,127074.000,-439572.000,-2130407.000,-76787.000,-1666865.000,-1429385.000,-1597437.000,-1661391.000,-2324509.000,-697643.000,-852638.000,-2034907.000
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,,,,,-47.450
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,,,-83625.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,-33000.000,,,,45375.000,,,,89023.000,,,,-25178.000,,
IncreaseDecreaseInAccountsReceivable,,,-8319.000,,,,-37952.000,,,,37491.000,,,,-87079.000,,
IncreaseDecreaseInAccruedSalaries,,,65769.000,,,,44000.000,,,,,,,,-10000.000,,
IncreaseDecreaseInBookOverdrafts,,,-4522.000,,,,,,,,,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,394.000,,,,2202.000,,,,22107.000,,,,-3750.000,,
IncreaseDecreaseInInterestPayableNet,,,54467.000,,,,35044.000,,,,48578.000,,,,84942.000,,
IncreaseDecreaseInInventories,,,19504.000,,,,-3585.000,,,,-15102.000,,,,11371.000,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,34000.000,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,-18074.000,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,-30660.000,,
