,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentForAmortization,,,12500.000,16073.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-19.000,26027.000,-26009.000,-51.000
CostsAndExpensesRelatedParty,,,74500.000,85040.000
Depreciation,0.000,0.000,,
DepreciationAndAmortization,0.000,0.000,,
EarningsPerShareBasic,0.000,,-0.070,-0.040
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,,
GeneralAndAdministrativeExpense,407020.000,218784.000,714540.000,390132.000
IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicShare,,-0.030,,
IncomeTaxExpenseBenefit,,,0.000,0.000
IncomeTaxesPaidNet,0.000,0.000,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,33550.000,84786.000,283059.000,37275.000
IncreaseDecreaseInAccountsPayableRelatedParties,71325.000,-22181.000,98473.000,145291.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,89900.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,-20000.000,
IncreaseDecreaseInOtherAccruedLiabilities,-2900.000,-29947.000,,
IncreaseDecreaseInOtherLoans,,0.000,,
IncreaseDecreaseInPrepaidExpense,1173.000,0.000,-2927.000,
InterestExpense,-75041.000,-70958.000,42324.000,42335.000
InterestExpenseRelatedParty,,,18474.000,37701.000
InterestPaid,0.000,0.000,,0.000
IssuanceOfStockAndWarrantsForServicesOrClaims,224579.000,81155.000,,102095.000
NetCashProvidedByUsedInFinancingActivities,154315.000,221956.000,173338.000,164523.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,154315.000,221956.000,173338.000,164523.000
NetCashProvidedByUsedInInvestingActivities,0.000,0.000,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,0.000,,0.000
NetCashProvidedByUsedInOperatingActivities,-154334.000,-195929.000,-199347.000,-164574.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-154334.000,-195929.000,-199347.000,-164574.000
NetIncomeLoss,-482061.000,,-849838.000,-555208.000
NoninterestExpenseDirectorsFees,,,158541.000,
NonoperatingIncomeExpense,-75041.000,-70958.000,,
OperatingExpenses,407020.000,218784.000,849838.000,555208.000
OperatingIncomeLoss,-407020.000,-218784.000,,
PaymentsToAcquireInvestments,0.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,0.000,,,
ProceedsFromIssuanceOfCommonStock,100000.000,250000.000,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,0.000,0.000,,
ProceedsFromRepaymentsOfBankOverdrafts,0.000,,,
ProceedsFromRepaymentsOfLinesOfCredit,54315.000,-37266.000,173338.000,164523.000
ProceedsFromRepaymentsOfShortTermDebt,0.000,,,
ProfitLoss,-482061.000,-289742.000,,
ProvisionForDoubtfulAccounts,0.000,0.000,,
Revenues,0.000,0.000,0.000,
SalesRevenueNet,0.000,0.000,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,0.003
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageExpectedDividend,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,,,4.300
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,160000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,,,250000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,1000000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,0.350
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,,0.800,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,0.250,
StockIssued1,,,6500.000,
StockOptionPlanExpense,,,233532.000,
WeightedAverageNumberOfSharesIssuedBasic,10444071.000,,,
WeightedAverageNumberOfSharesOutstandingBasic,,10910908.000,12464909.000,12976579.000
