,2012-09-30,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentForAmortization,2500000.000,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,3700000.000,800000.000
AmortizationOfFinancingCosts,800000.000,9100000.000,7300000.000,,
AmortizationOfFinancingCostsAndDiscounts,,,,8900000.000,6900000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,0.000,,,
AssetImpairmentCharges,,,48800000.000,,
AssetRetirementObligationAccretionExpense,,800000.000,-1100000.000,1500000.000,1600000.000
AssetRetirementObligationLiabilitiesIncurred,,0.000,4600000.000,1100000.000,1000000.000
AssetRetirementObligationPeriodIncreaseDecrease,,0.000,1200000.000,0.000,-1200000.000
AssetRetirementObligationRevisionOfEstimate,,300000.000,0.000,0.000,
BusinessAcquisitionProFormaEarningsPerShareBasic,,-0.610,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,-0.610,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,-21000000.000,,,
BusinessAcquisitionsProFormaRevenue,,2083300000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,-31400000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,8600000.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,29600000.000,-30700000.000,-40600000.000,-14100000.000,10500000.000
CapitalLeasesIncomeStatementAmortizationExpense,,3600000.000,2900000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,2600000.000,1900000.000,-8300000.000,1100000.000
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,,31400000.000,227600000.000
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge,100000.000,,,,
ChemicalsRevenue,52000000.000,,,,
ComprehensiveIncomeNetOfTax,65800000.000,,,-1669600000.000,-215500000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,-636800000.000,24200000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,-2306400000.000,-191300000.000
ConcentrationRiskPercentage1,,,0.100,0.100,0.100
CostOfChemicals,30300000.000,8700000.000,,,
CostOfGoodsAndServicesSold,,295700000.000,1937500000.000,,
CostOfGoodsSold,,,,1808900000.000,1869600000.000
CostOfRevenue,,295700000.000,1937500000.000,1883500000.000,1925100000.000
CostOfServices,,,,74600000.000,55500000.000
CostsAndExpenses,122300000.000,275700000.000,446100000.000,,
DeferredIncomeTaxExpenseBenefit,,,600000.000,-3600000.000,-3100000.000
DefinedBenefitPlanContributionsByEmployer,,,,4000000.000,3800000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,,,0.900,0.900
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,0.100,0.060,0.060
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,0.100,,
Depletion,200000.000,400000.000,700000.000,700000.000,700000.000
Depreciation,47800000.000,87100000.000,148300000.000,,
