,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,12632000.000,13930000.000,18979000.000,13027000.000,14531000.000,17430000.000,17477000.000,15286000.000,17967000.000,18921000.000,21810000.000,14471000.000,18494000.000,24857000.000,27026000.000,15782000.000,19820000.000,24950000.000,25306000.000,17958000.000,20017000.000,23760000.000,30211000.000,25992000.000,28159000.000
AccountsReceivableNetCurrent,67885000.000,91067000.000,90931000.000,60748000.000,69089000.000,91494000.000,102006000.000,70916000.000,73157000.000,103767000.000,109868000.000,76106000.000,84019000.000,114998000.000,119330000.000,85980000.000,91366000.000,119207000.000,134384000.000,93399000.000,106152000.000,136137000.000,152084000.000,118272000.000,133725000.000
AccruedIncomeTaxesCurrent,,,,,2878000.000,2539000.000,790000.000,0.000,0.000,0.000,120000.000,0.000,0.000,0.000,368000.000,0.000,0.000,0.000,0.000,,,,,,
AccruedLiabilitiesCurrent,,,11412000.000,,,,15300000.000,,,,14901000.000,,,,19092000.000,,,,25271000.000,,,,25776000.000,,
AccruedProfessionalFeesCurrent,,,17920000.000,,,,18012000.000,,,,16012000.000,,,,2795000.000,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,174692000.000,,,,187007000.000,,,,208794000.000,,,,224706000.000,,,,243741000.000,,,,256895000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-80000.000,-11000.000,0.000,0.000,-64000.000,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,635610000.000,636700000.000,637547000.000,638406000.000,638824000.000,639474000.000,640047000.000,718622000.000,719462000.000,720161000.000,720828000.000,721711000.000,722414000.000,722872000.000,723648000.000,724367000.000,725615000.000,726636000.000,728667000.000,729919000.000,730349000.000,731630000.000,733117000.000,739156000.000,739905000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,2938000.000,,,,2423000.000,,,,2777000.000,,,,3538000.000,,,,3810000.000,,,,4163000.000,,
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,,9000000.000,,,,9000000.000,,,,,,,,,,
AssetRetirementObligation,,,,,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,
Assets,766815000.000,769283000.000,728237000.000,678455000.000,659923000.000,645818000.000,680937000.000,716730000.000,696437000.000,692611000.000,724009000.000,863490000.000,855198000.000,868240000.000,903427000.000,874308000.000,803236000.000,846460000.000,979019000.000,957688000.000,970654000.000,1012816000.000,1238443000.000,1220195000.000,1229637000.000
AssetsCurrent,173443000.000,185917000.000,191806000.000,155137000.000,163188000.000,171648000.000,214696000.000,215995000.000,208658000.000,211776000.000,243883000.000,320775000.000,315764000.000,310344000.000,344117000.000,316999000.000,258018000.000,306048000.000,367644000.000,278441000.000,244315000.000,303108000.000,304754000.000,284325000.000,294607000.000
AssetsHeldForSaleCurrent,,,6777000.000,6307000.000,4776000.000,6835000.000,5864000.000,4289000.000,0.000,0.000,0.000,,,,,,,,,,,,,,
