,2017-03-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,154921.000
CashAndCashEquivalentsPeriodIncreaseDecrease,348000.000
Depreciation,161000.000
EarningsPerShareBasicAndDiluted,-0.180
GeneralAndAdministrativeExpense,985000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,275000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-7000.000
IncreaseDecreaseInSecurityDeposits,2000.000
NetCashProvidedByUsedInFinancingActivities,-276000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-276000.000
NetCashProvidedByUsedInOperatingActivities,624000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,624000.000
NetIncomeLoss,-591000.000
OperatingExpenses,1916000.000
OperatingLeasesIncomeStatementLeaseRevenue,1290000.000
OtherRealEstateRevenue,35000.000
PaymentsOfStockIssuanceCosts,276000.000
RealEstateRevenueNet,1325000.000
ShareBasedCompensation,770000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,109056.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,18.680
StockIssuedDuringPeriodValueShareBasedCompensationGross,770000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,3350000.000
