,2014-08-02,2014-11-01,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AmortizationOfDebtDiscountPremium,,,-33000.000,,,,-62000.000,,,,-126000.000
AmortizationOfFinancingCosts,,,2277000.000,,,,1974000.000,,,,1274000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,-290000.000,-150000.000,-237000.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,4000000.000,,200000.000,400000.000,900000.000,-700000.000,1900000.000,1400000.000,2700000.000,-3700000.000,4900000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,-100950000.000
ComprehensiveIncomeNetOfTax,-46000000.000,61000000.000,71054000.000,28488000.000,76885000.000,176234000.000,84974000.000,30858000.000,72809000.000,197350000.000,66936000.000
CostOfMerchandiseSalesBuyingAndOccupancyCosts,591000000.000,678000000.000,635803000.000,610949000.000,702825000.000,994854000.000,694129000.000,669656000.000,760598000.000,1045093000.000,690929000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,259000.000
DepreciationDepletionAndAmortization,26000000.000,29000000.000,27945000.000,28004000.000,29433000.000,29374000.000,29470000.000,28998000.000,28211000.000,29122000.000,28551000.000
EarningsPerShareBasic,-0.260,0.310,0.320,0.170,0.370,0.890,0.340,0.170,0.370,0.960,0.380
EarningsPerShareDiluted,-0.260,0.310,0.320,0.170,0.370,0.860,0.340,0.170,0.370,0.940,0.380
EffectiveIncomeTaxRateContinuingOperations,0.377,0.360,0.370,,,,,,0.290,,0.337
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,10199000.000,,,,4599000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,10199000.000,,,,4599000.000,,,,
GainLossOnDispositionOfAssets,,,,,,,-32000.000,,,,17000.000
GainsLossesOnExtinguishmentOfDebt,-68000000.000,,,-6072000.000,,,,-405000.000,-6887000.000,,
GrossProfit,357000000.000,452000000.000,441797000.000,373321000.000,465598000.000,687635000.000,464751000.000,390697000.000,466608000.000,705760000.000,467634000.000
