,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,11400.000
AccruedLiabilitiesCurrent,1798.000,7214.000,5761.000,2250.000,2381.000,22284.000,11139.000,10254.000,154107.000
AdditionalPaidInCapital,231224.000,328524.000,1233927.000,1479941.000,1488078.000,1786478.000,1678839.000,1678839.000,1678839.000
Assets,325893.000,545062.000,874665.000,892891.000,170506.000,4584.000,2552.000,3504.000,177.000
AssetsCurrent,30893.000,30197.000,251381.000,132006.000,120506.000,4584.000,2552.000,3504.000,177.000
AssetsNoncurrent,,514865.000,515645.000,,50000.000,0.000,,,
Cash,,,,13461.000,8270.000,265.000,142.000,3004.000,
CashAndCashEquivalentsAtCarryingValue,30694.000,29998.000,69323.000,13461.000,8270.000,265.000,142.000,3004.000,177.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,
CommonStockSharesIssued,147350000.000,147565000.000,147665000.000,148665000.000,148665000.000,148625000.000,148625000.000,148625000.000,
CommonStockSharesOutstanding,147200000.000,147565000.000,147665000.000,148665000.000,148665000.000,148625000.000,148625000.000,148625000.000,
CommonStockValue,14735.000,14757.000,14767.000,14867.000,14867.000,14863.000,14863.000,14863.000,14863.000
ConvertibleDebtCurrent,,,,257881.000,493425.000,710000.000,710000.000,710000.000,710000.000
DeferredCompensationEquity,,,,,,107639.000,,,
DeferredCompensationLiabilityCurrent,22500.000,34900.000,65500.000,125500.000,155500.000,185500.000,185500.000,185500.000,185500.000
DeferredTaxAssetsNet,,,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,893411.000,1248153.000,1158975.000,1167181.000,1174066.000,3474924.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,1181475.000
DepositsAssetsCurrent,0.000,0.000,50000.000,500.000,500.000,500.000,500.000,500.000,
DerivativeLiabilitiesCurrent,,,,916335.000,912386.000,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,-718988.000,-1539117.000,2627680.000,3671038.000,3408749.000,3432885.000,3453135.000,3474924.000
DueToRelatedPartiesCurrent,,,,,,,,,664000.000
InterestPayableCurrent,4994.000,13155.000,28327.000,68297.000,85407.000,102347.000,119475.000,136791.000,55924.000
Liabilities,569792.000,920769.000,1165088.000,2035763.000,2348599.000,1719631.000,1741735.000,1762937.000,1781399.000
LiabilitiesAndStockholdersEquity,325893.000,545062.000,874665.000,892891.000,170506.000,4584.000,2552.000,3504.000,177.000
LiabilitiesCurrent,,,,,,,,1762937.000,1781399.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,,,1000000.000
LinesOfCreditCurrent,505000.000,830000.000,1030000.000,630000.000,664000.000,0.000,,,
MineralRights,295000.000,514865.000,515645.000,760885.000,50000.000,0.000,,,
NotesAndLoansPayable,,,,,,,,,35500.000
NotesPayable,,,,,,,,,35500.000
NotesPayableCurrent,,,,,,35500.000,35500.000,35500.000,
NotesPayableRelatedPartiesClassifiedCurrent,35500.000,35500.000,35500.000,35500.000,35500.000,0.000,16121.000,20892.000,20892.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,20892.000
OperatingLossCarryforwards,,,,,,3408749.000,,,
OperatingLossCarryforwardsValuationAllowance,,,,893411.000,1248153.000,1158975.000,1167181.000,1174066.000,-1181475.000
OtherPrepaidExpenseCurrent,,,,107639.000,107639.000,,,,
PrepaidAdvertising,,,,,1218.000,,,,
PrepaidExpenseCurrent,199.000,199.000,132058.000,118045.000,111736.000,3819.000,1910.000,,
PrepaidExpenseNoncurrent,,,107639.000,,,,,,
PrepaidInsurance,,,,,2680.000,3819.000,1910.000,,
PrepaidRent,,,,,199.000,,,,
PropertyPlantAndEquipmentNet,295000.000,,,,,,,,
RetainedEarningsAccumulatedDeficit,-489858.000,,,,,,,,
SecurityDeposit,,,,500.000,500.000,500.000,500.000,500.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,1305000.000,1340000.000,1375000.000,1375000.000,1375000.000,1375000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,0.800,0.740,0.760,0.760,0.760,0.760
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,1305000.000,1340000.000,1375000.000,1375000.000,1375000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,0.800,0.740,0.760,0.760,0.760,0.760
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,,,,0.000,0.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,0.000,0.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,,,,,1375000.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,,,,1375000.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,,,,1375000.000
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,,,,,0.760
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,,,,,,0.760
StockholdersEquity,-243899.000,-375707.000,-290423.000,-1142872.000,-2178093.000,,,,-1781222.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-243899.000,-375707.000,-290423.000,-1142872.000,-2178093.000,-1715047.000,-1739183.000,-1759433.000,-1781222.000
TreasuryStockValue,,,,10000.000,10000.000,,,,
