,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,16446.000,16839.000,18180.000,33873.000,42010.000
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,7571.000,15236.000,46883.000,78529.000,102759.000,127463.000,160179.000,192895.000,213611.000,246327.000,279043.000
AccountsPayableCurrent,7040.000,11254.000,2721.000,8764.000,13844.000,1382.000,17300.000,,,,,
AdditionalPaidInCapitalCommonStock,30600.000,32459.000,82359.000,82359.000,107309.000,107309.000,107309.000,107309.000,-31570.000,-31570.000,-31570.000,-31570.000
Assets,10000.000,50000.000,58753.000,56389.000,76624.000,119728.000,142920.000,131311.000,101817.000,221019.000,220990.000,214204.000
AssetsCurrent,10000.000,,8753.000,6389.000,26624.000,19728.000,42920.000,31311.000,1817.000,61019.000,60990.000,54204.000
Cash,,,8753.000,6389.000,26624.000,19728.000,42920.000,31311.000,1817.000,61019.000,60990.000,54204.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,3400000.000,3411000.000,3511000.000,3511000.000,3561000.000,3561000.000,3561000.000,3561000.000,142440000.000,142440000.000,142440000.000,142440000.000
CommonStockSharesOutstanding,3400000.000,3411000.000,3511000.000,3511000.000,3561000.000,3561000.000,3561000.000,3561000.000,142440000.000,142440000.000,142440000.000,142440000.000
CommonStockValue,3400.000,3411.000,3511.000,3511.000,3561.000,3561.000,3561.000,3561.000,142440.000,142440.000,142440.000,142440.000
ConvertibleNotesPayableCurrent,,,,,,,,,,21370.000,50488.000,76747.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,109000.000,,,,199000.000,
DeferredTaxAssetsValuationAllowance,,,,,,,-109000.000,,,,-199000.000,
DerivativeLiabilitiesCurrent,,,,,,,,,,152564.000,157101.000,174938.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,73609.000,89124.000,129503.000,169557.000,211048.000,254712.000,322142.000,365613.000,428216.000,505005.000,587098.000,678833.000
DueToOfficersOrStockholdersCurrent,42569.000,,,,,,,,,,,
DueToRelatedPartiesCurrent,,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000,1860.000
Liabilities,49609.000,103254.000,102386.000,140076.000,176802.000,263570.000,354192.000,386054.000,419163.000,615154.000,697218.000,782167.000
LiabilitiesAndStockholdersEquity,10000.000,50000.000,58753.000,56389.000,76624.000,119728.000,142920.000,131311.000,101817.000,221019.000,220990.000,214204.000
LiabilitiesCurrent,49609.000,103254.000,102386.000,140076.000,176802.000,263570.000,354192.000,386054.000,419163.000,615154.000,697218.000,782167.000
MineralPropertiesNet,,50000.000,50000.000,50000.000,50000.000,100000.000,100000.000,100000.000,100000.000,160000.000,160000.000,160000.000
NotesPayableCurrent,,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000,82569.000
OperatingLossCarryforwards,,,,,,,322000.000,,,,587000.000,
OtherPrepaidExpenseCurrent,10000.000,,,,,,,,,,,
StockholdersEquity,-39609.000,-53254.000,-43633.000,-83687.000,-100178.000,-143842.000,-211272.000,-254743.000,-317346.000,-394135.000,-476228.000,-567963.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-39609.000,-53254.000,-43633.000,-83687.000,-100178.000,-143842.000,-211272.000,-254743.000,-317346.000,-394135.000,-476228.000,-567963.000
