,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,2820000.000,3021000.000,5235000.000,3328000.000,3612000.000,3739000.000,3750000.000,4480000.000,3650000.000,3861000.000,3674000.000,4431000.000,3859000.000,4225000.000,4041000.000,4230000.000,4536000.000
AccruedInvestmentIncomeReceivable,1616000.000,1544000.000,1499000.000,1600000.000,962000.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,10056000.000,,,,10718000.000,,,,11412000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,4000.000,,,,-2000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,459000.000,,,,-126000.000,,,,-48000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-111000.000,-102000.000,-94000.000,-131000.000,-220000.000,-272000.000,-222000.000,-173000.000,-123000.000,-73000.000,-61000.000,-51000.000,-39000.000,-27000.000,-21000.000,-16000.000,-10000.000
AdditionalPaidInCapital,57342000.000,57319000.000,57292000.000,57267000.000,57209000.000,57178000.000,57148000.000,57123000.000,57101000.000,57083000.000,57065000.000,57047000.000,57027000.000,57007000.000,56987000.000,56971000.000,56955000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,2608000.000,4297000.000,3353000.000,4627000.000,4014000.000,3516000.000,4108000.000,2590000.000,3881000.000,3987000.000,4471000.000,3201000.000,3397000.000,3338000.000,4260000.000,3968000.000,3709000.000
AdvancesFromFederalHomeLoanBanks,,,,,,15000000.000,,,,21000000.000,,,,30000000.000,32380000.000,31670000.000,39486000.000
Assets,444193000.000,463610000.000,489289000.000,506519000.000,447674000.000,444224000.000,428558000.000,428864000.000,433119000.000,458225000.000,464087000.000,475404000.000,502062000.000,515425000.000,537517000.000,537313000.000,556949000.000
AssetsFairValueDisclosureRecurring,,,,,,129000.000,126000.000,123000.000,116000.000,113000.000,107000.000,90000.000,42000.000,40000.000,38000.000,37000.000,36000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,39000.000,,,
AvailableForSaleSecurities,156000.000,152000.000,149000.000,144000.000,132000.000,129000.000,126000.000,123000.000,116000.000,113000.000,107000.000,90000.000,42000.000,40000.000,38000.000,37000.000,36000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,1000.000,2000.000,1000.000,0.000,0.000,0.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000
AvailableForSaleSecuritiesAmortizedCost,,,,,128000.000,125000.000,122000.000,119000.000,112000.000,110000.000,103000.000,89000.000,40000.000,39000.000,38000.000,37000.000,36000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,,,,,,24000.000,,,,6000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,,,,,,24000.000,,,,6000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,,125000.000,,,,86000.000,,,,33000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,,129000.000,,,,89000.000,,,,34000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,,,,,110000.000,,,,,,,
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,113000.000,,,,40000.000,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,,129000.000,126000.000,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,,,,,2000.000,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,4000.000,4000.000,4000.000,,,,,,,,,,
BadDebtReserveForTaxPurposesOfQualifiedLender,,,,,,,,,,4100000.000,,,,4100000.000,,,
BankOwnedLifeInsurance,16438000.000,16587000.000,16736000.000,16878000.000,19684000.000,19852000.000,20009000.000,20171000.000,20332000.000,20490000.000,20643000.000,20799000.000,20955000.000,21113000.000,21266000.000,21421000.000,21579000.000
Capital,,,,,,81560000.000,,,,83496000.000,,,,87572000.000,,,
CapitalRequiredForCapitalAdequacy,,,,,,25709000.000,,,,27638000.000,,,,30694000.000,,,
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,,,,,,0.080,,,,0.080,,,,0.080,,,
CapitalRequiredToBeWellCapitalized,,,,,,32137000.000,,,,34547000.000,,,,38368000.000,,,
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,,,,,,0.100,,,,0.100,,,,0.100,,,
CapitalToRiskWeightedAssets,,,,,,0.254,,,,0.242,,,,0.228,,,
CashAndCashEquivalentsAtCarryingValue,20584000.000,,,,,,,,,31531000.000,25316000.000,37647000.000,33260000.000,34010000.000,47627000.000,31747000.000,37601000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,,,24981000.000,39126000.000,30601000.000,31531000.000,25316000.000,37647000.000,33260000.000,34010000.000,47627000.000,31747000.000,37601000.000
CashAndDueFromBanks,1459000.000,2584000.000,2517000.000,3497000.000,6310000.000,2821000.000,2360000.000,4281000.000,2530000.000,3794000.000,2774000.000,4805000.000,2732000.000,3676000.000,3065000.000,6535000.000,3805000.000
CashCashEquivalentsAndFederalFundsSold,20584000.000,52064000.000,82583000.000,99000000.000,49301000.000,49242000.000,24981000.000,39126000.000,30601000.000,,,,,,,,
CertificatesOfDepositAtCarryingValue,,,,,648000.000,399000.000,150000.000,150000.000,1146000.000,2142000.000,2142000.000,2142000.000,1146000.000,150000.000,150000.000,150000.000,150000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000
CommonStockSharesIssued,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000,13225000.000
CommonStockSharesOutstanding,12797437.000,12644752.000,12644752.000,12644752.000,12644752.000,12644752.000,12644752.000,12644752.000,12644752.000,12566952.000,12452552.000,12376202.000,12376202.000,12331202.000,12239302.000,12228802.000,12228802.000
CommonStockValue,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000,132000.000
DeferredIncomeTaxLiabilities,,,,,,86000.000,,,,1000.000,,,,20000.000,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,15000.000,,,,0.000,,,
DeferredTaxAssetsGross,,,,,,4209000.000,,,,3781000.000,,,,3697000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,4123000.000,,,,3780000.000,,,,3677000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,354000.000,,,,320000.000,,,,220000.000,,,
DeferredTaxAssetsOther,,,,,,67000.000,,,,54000.000,,,,59000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,172000.000,,,,95000.000,,,,137000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,,1354000.000,,,,1387000.000,,,,1540000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,,,,,,185000.000,,,,52000.000,,,,21000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,,,,,,,,,,116000.000,,,,135000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,,,,,,2077000.000,,,,1742000.000,,,,1585000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,,,,,,84000.000,,,,,,,,20000.000,,,
DeferredTaxLiabilitiesInvestments,,,,,,,,,,1000.000,,,,0.000,,,
DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,,,,,,2000.000,,,,,,,,,,,
DefinedBenefitPlanAccumulatedBenefitObligation,,,,,,1137000.000,,,,983000.000,,,,1037000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeLossAfterTax,,,,,,-274000.000,,,,,,,,,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,,,0.046,,,,0.044,,,,0.041,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,,,,0.020,,,,0.020,,,,0.020,,,
DefinedBenefitPlanBenefitObligation,,,,,,1202000.000,,,,1041000.000,,,,1095000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,686000.000,,,,575000.000,,,,585000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,77000.000,,,,62000.000,,,,90000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,122000.000,,,,94000.000,,,,90000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,122000.000,,,,94000.000,,,,90000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,122000.000,,,,94000.000,,,,90000.000,,,
