,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableTrade,,,,0.000,,,,,
AccountsPayableTradeCurrent,0.000,0.000,0.000,,180.000,0.000,0.000,0.000,0.000
AdditionalPaidInCapital,26107.000,27300.000,30729.000,32681.000,39207.000,42278.000,46252.000,48391.000,51536.000
Assets,0.000,0.000,0.000,0.000,9500.000,9500.000,9500.000,9500.000,9500.000
Cash,0.000,0.000,0.000,0.000,9500.000,9500.000,9500.000,9500.000,9500.000
CashAndCashEquivalentsAtCarryingValue,0.000,0.000,0.000,0.000,9500.000,9500.000,9500.000,9500.000,9500.000
CommitmentsAndContingencies,0.000,,0.000,,,,,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,530612.000,530612.000,530612.000,530612.000,10030612.000,10030612.000,10030612.000,10030612.000,10030612.000
CommonStockSharesOutstanding,530612.000,530612.000,530612.000,530612.000,10030612.000,10030612.000,10030612.000,10030612.000,10030612.000
CommonStockValue,531.000,531.000,531.000,531.000,10031.000,10031.000,10031.000,10031.000,10031.000
DeferredTaxAssetsNet,,,,,0.000,0.000,0.000,0.000,0.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,-33212.000,,,,,
Liabilities,0.000,0.000,0.000,0.000,180.000,0.000,0.000,0.000,0.000
LiabilitiesAndStockholdersEquity,0.000,0.000,0.000,0.000,9500.000,9500.000,9500.000,9500.000,9500.000
OperatingLossCarryforwards,,,,,13600.000,14600.000,16000.000,16600.000,17700.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RetainedEarningsAccumulatedDeficit,-26638.000,-27831.000,-31260.000,,-39918.000,-42809.000,-46783.000,-48922.000,-52067.000
StockholdersEquity,0.000,0.000,0.000,0.000,9320.000,9500.000,9500.000,9500.000,9500.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0.000,0.000,0.000,0.000,9320.000,9500.000,9500.000,9500.000,9500.000
ValuationAllowanceAmount,,,,,-13600.000,-14600.000,-16000.000,-16600.000,-17700.000
