,2012-06-30,2012-09-30
Assets,0.000,0.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000
CommonStockSharesIssued,31390000.000,31390000.000
CommonStockSharesOutstanding,31390000.000,31390000.000
CommonStockValue,3139.000,3139.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3139.000,3139.000
LiabilitiesAndStockholdersEquity,0.000,0.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
