,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AmortizationOfDebtDiscountPremium,,,,,,,,,,734000.000,,,,3672000.000
AmortizationOfIntangibleAssets,,9129000.000,,,,9416000.000,,,,9429000.000,,,,9445000.000
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,,16184000.000,,20087000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,322562000.000,,336928000.000
BusinessCombinationConsiderationTransferred1,,,,,,,,,,1200000.000,,,,12500000.000
CapitalLeaseObligationsIncurred,,2434000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-263000.000,,,,,,,,1274000.000,,,,-190964000.000
CashDividendsPaidToParentCompany,,,,,,,,,,0.000,,,,
ComprehensiveIncomeNetOfTax,,,,-2757000.000,,,,,,-4224000.000,-11167000.000,485000.000,-5616000.000,-3351000.000
CostOfServicesExcludingDepreciationDepletionAndAmortization,209492000.000,213747000.000,218263000.000,221423000.000,226763000.000,234787000.000,232053000.000,234626000.000,233677000.000,241852000.000,242483000.000,250552000.000,248156000.000,257558000.000
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,,,,0.010,,,,
DeferredIncomeTaxExpenseBenefit,,-2534000.000,,,,-2130000.000,,,,-1238000.000,,,,-1244000.000
Depreciation,,,,,,,,,,,,,,7831000.000
DepreciationDepletionAndAmortization,16800000.000,14901000.000,15363000.000,15393000.000,16174000.000,15610000.000,15637000.000,16826000.000,16073000.000,16065000.000,16605000.000,18317000.000,16501000.000,17210000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,-4242000.000,-119000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,1036000.000,145000.000,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.592,,0.296,0.385,0.407,-0.710,0.262,0.334,0.900,-1.150,0.427
GainLossOnSaleOfPropertyPlantEquipment,,22000.000,,,,-152000.000,,,,-18000.000,,,,-65000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,-14699000.000,,,-14343000.000
GeneralAndAdministrativeExpense,36586000.000,33290000.000,35917000.000,35837000.000,35800000.000,36766000.000,37209000.000,37014000.000,35051000.000,36481000.000,35660000.000,36671000.000,35492000.000,40308000.000
