,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,410.000,,,,-735.000,,,,-2060.000
CostOfRevenue,,,800.000,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,0.010,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.150,,,,,,,,0.150
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,,0.150,,,,
GrossProfit,,,240.000,,,,2000.000,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,75000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,4120.000,,,,,,,,
IncomeTaxExpenseBenefit,0.000,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,-618.000,,,,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,618.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2407.000,,,,-90.000,,,,
IncreaseDecreaseInAccountsReceivable,-500.000,,,,2000.000,,,,-2000.000
IncreaseDecreaseInCustomerAdvances,,,,,-500.000,,,,
IncreaseDecreaseInDueToRelatedParties,6437.000,,,,12540.000,,,,
LegalFees,,1500.000,1500.000,,-2000.000,,,,4000.000
NetCashProvidedByUsedInFinancingActivities,0.000,,,,,,,,-500.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,,,,,,,-500.000
NetCashProvidedByUsedInInvestingActivities,0.000,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,410.000,,,,-735.000,,,,-1560.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,410.000,,,,-735.000,,,,-1560.000
NetIncomeLoss,-4120.000,-6476.000,-5966.000,72416.000,-10685.000,,,,-7388.000
OperatingExpenses,4120.000,6476.000,6206.000,-35948.000,-12685.000,-1974.000,2779.000,56002.000,7388.000
OperatingIncomeLoss,,,,,-10685.000,3026.000,-779.000,-24684.000,
OtherGeneralExpense,0.000,,,,,,,,
OtherSellingGeneralAndAdministrativeExpense,120.000,180.000,90.000,-869.000,-130.000,195.000,90.000,693.000,60.000
PaymentsToSuppliers,,,,,,,,,-3328.000
ProceedsFromRepaymentsOfShortTermDebt,,,,,,,,,-500.000
ProfessionalFees,4000.000,2000.000,2000.000,-18000.000,-8000.000,2000.000,2000.000,24000.000,2500.000
Revenues,0.000,,1040.000,,2000.000,5000.000,,,
SalesRevenueGoodsNet,,,,,,,2000.000,,
SalesRevenueNet,0.000,,1040.000,,2000.000,5000.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5000000.000,5000000.000,5000000.000,-10000000.000,5000000.000,5000000.000,5000000.000,-8871421.000,8110000.000
