,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdvertisingExpense,2181740.000,2525678.000,1624715.000,947859.000,796001.000,802410.000,807778.000,-479014.000,183893.000
AllocatedShareBasedCompensationExpense,,,,0.000,,,,,
AmortizationOfAcquiredIntangibleAssets,,,,68875.000,69361.000,,,,
AmortizationOfIntangibleAssets,,,,,,70198.000,70076.000,,71217.000
AssetImpairmentCharges,,,,2900192.000,3240731.000,238848.000,-686940.000,-4325266.000,1259178.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-963183.000,,297791.000,,,,966276.000
ComprehensiveIncomeNetOfTax,1482810.000,-4187603.000,-1653373.000,-3612728.000,-4685593.000,-1057515.000,-212134.000,5562318.000,-1608624.000
ConcentrationRiskPercentage1,,,,,,,,,0.230
CostOfGoodsAndServicesSold,3404481.000,3705012.000,3131612.000,981490.000,503446.000,622289.000,528211.000,780989.000,980506.000
CostOfRevenue,,,,217442.000,121231.000,123949.000,104162.000,148764.000,209510.000
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,0.020
Depreciation,,,,22902.000,22845.000,22904.000,22500.000,23032.000,22866.000
DepreciationDepletionAndAmortization,,,92406.000,,92206.000,,,,94083.000
EarningsPerShareBasic,0.090,,-0.040,-0.080,,,,,
EarningsPerShareBasicAndDiluted,,-0.350,,,-0.110,-0.020,-0.010,0.130,-0.030
EarningsPerShareDiluted,0.000,,-0.040,-0.080,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,15284.000,,6333.000,,,,-7823.000
EntityWideRevenueMajorCustomerPercentage,,,,0.100,0.100,,,,
GrossProfit,3234312.000,2800076.000,1702076.000,978954.000,379037.000,312952.000,257764.000,341613.000,600665.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,482207.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1116195.000,-4509657.000,-1786426.000,-3580461.000,-4743966.000,-1179214.000,-269562.000,5436613.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,4685593.000,-1179214.000,269592.000,-4532100.000,-1526999.000
IncomeTaxExpenseBenefit,9705.000,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,285574.000,,64374.000,,,,
IncreaseDecreaseInAccountsReceivable,,,-1607393.000,,-292064.000,,,,4186957.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,-117691.000
IncreaseDecreaseInDeferredCharges,,,,,-604272.000,-337.000,-238.000,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,1097500.000,241250.000,,,,,,,
IncreaseDecreaseInInventories,,,-243511.000,,349889.000,,,,-425.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,-80746.000,,19576.000,,,,9639.000
IncreaseDecreaseInOtherReceivables,,,-20020.000,,55700.000,,,,900.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,-56985.000,2111.000,-107228.000,-78308.000,66746.000
IncreaseDecreaseInPrepaidExpense,,,1616186.000,,866891.000,,,,-550316.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,,,-243906.000,,33849.000,,,,27903.000
InterestAndFeeIncomeLoansAndLeases,,,,,,,,,22231.000
InterestExpense,12342.000,,,,,,,,
InterestIncomeExpenseNonoperatingNet,,,44.000,,,-8.000,-3.000,,117691.000
InvestmentIncomeInterest,7846.000,6177.000,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,-56985.000,,,,-2824591.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,-56985.000,,,,-2824591.000
NetCashProvidedByUsedInOperatingActivities,,,-978467.000,,291458.000,,,,3798690.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-978467.000,,291458.000,,,,3798690.000
NetIncomeLoss,1106490.000,-4509657.000,-1786426.000,-3580461.000,-4743966.000,-1179214.000,-269562.000,5436613.000,-1526999.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,-3580461.000,,,,,
NonoperatingIncomeExpense,1079009.000,247277.000,-58.000,-32.000,,-8.000,-3.000,,117691.000
OperatingIncomeLoss,37186.000,-4756934.000,-1786368.000,-3580429.000,-4743966.000,-1179206.000,-269559.000,5356890.000,-1644690.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,322054.000,133053.000,-32267.000,58373.000,121699.000,57428.000,125705.000,-81625.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,133053.000,,58373.000,,,,-81625.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,376320.000,,,,,,,,
OtherNonoperatingExpense,13995.000,150.000,,,,,,,
OtherNonoperatingIncome,,,-102.000,-32.000,,,,,
ProfitLoss,,,,-3580461.000,,,,,
ProvisionForDoubtfulAccounts,,,993744.000,,3240731.000,,,,1259178.000
ProvisionForLoanAndLeaseLosses,,,,,,,,,-4903804.000
RepaymentsOfSubordinatedShortTermDebt,,,,,,,,,-2079213.000
Revenues,6638793.000,6505088.000,4833688.000,1960444.000,882483.000,935241.000,785975.000,1122602.000,1581171.000
SalesRevenueGoodsGross,,,,2177886.000,1003714.000,1059190.000,890137.000,1271366.000,1790681.000
SalesRevenueNet,6638793.000,6505088.000,4833688.000,1960444.000,882483.000,935241.000,785975.000,1122602.000,1581171.000
SellingGeneralAndAdministrativeExpense,1015386.000,5031332.000,1863729.000,711332.000,481999.000,452674.000,299019.000,258557.000,386823.000
ShareBasedCompensation,,,15625.000,,,,,,
ShippingHandlingAndTransportationCosts,,,,0.000,,,,,
StockGrantedDuringPeriodValueSharebasedCompensationGross,,,15625.000,,,,,,
ValuationAllowanceForImpairmentOfRecognizedServicingAssetsAggregateWriteDowns,,,,,604272.000,-2111.000,107228.000,,-66746.000
WeightedAverageNumberOfDilutedSharesOutstanding,12730171.000,,,44556104.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,44556104.000,44556104.000,44556104.000,44556104.000,44556104.000,-89112208.000,44556104.000
WeightedAverageNumberOfSharesOutstandingBasic,12730171.000,,,,,,,,
