,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1751000.000,2912000.000,1095000.000,1824000.000,1967000.000,4847000.000,1738000.000,1926000.000,2153000.000,1741000.000,1770000.000,2573000.000,2488000.000,1293000.000,8716000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3719000.000,,,,4039000.000,,,,3466000.000,,,,3701000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1292000.000,-1641000.000,-1265000.000,-649000.000,-953000.000,-468000.000,101000.000,-655000.000,18000.000,-764000.000,783000.000,932000.000,798000.000,-997000.000,-1320000.000
AdditionalPaidInCapitalCommonStock,55289000.000,94219000.000,94271000.000,94319000.000,94397000.000,94456000.000,94663000.000,95130000.000,95286000.000,95586000.000,95213000.000,95433000.000,95713000.000,96022000.000,117467000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,1480000.000,2467000.000,1460000.000,2369000.000,1240000.000,2306000.000,1625000.000,2802000.000,1670000.000,2554000.000,1777000.000,2769000.000,1748000.000,2513000.000,2789000.000
AdvancesFromFederalHomeLoanBanks,340000.000,340000.000,340000.000,340000.000,340000.000,340000.000,130000.000,,,31889000.000,37059000.000,50227000.000,30638000.000,,
Assets,607897000.000,525187000.000,515389000.000,511945000.000,525483000.000,527082000.000,518271000.000,503763000.000,487189000.000,522777000.000,537544000.000,556290000.000,559480000.000,590114000.000,844228000.000
AssetsFairValueDisclosureRecurring,,,,,,,,,,,,,,,190690000.000
AvailableForSaleSecurities,41781000.000,42634000.000,47371000.000,56527000.000,57817000.000,61459000.000,71072000.000,76992000.000,77483000.000,118275000.000,143235000.000,138683000.000,138694000.000,132636000.000,190108000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,528000.000,305000.000,1344000.000,1851000.000,1593000.000,285000.000,283000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,501000.000,1463000.000,157000.000,81000.000,121000.000,2268000.000,2811000.000
AvailableForSaleSecuritiesAmortizedCost,43744000.000,45120000.000,49296000.000,57509000.000,59262000.000,62168000.000,70919000.000,77984000.000,77456000.000,119433000.000,142048000.000,136913000.000,137222000.000,134619000.000,192636000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,495000.000,106000.000,78000.000,,179000.000,168000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,1463000.000,157000.000,81000.000,,2268000.000,2811000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,35583000.000,34061000.000,36990000.000,41745000.000,47583000.000,48191000.000,35553000.000,56521000.000,50091000.000,95418000.000,29682000.000,12648000.000,27171000.000,118973000.000,137117000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,968000.000,51000.000,3000.000,,2089000.000,2643000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,35123000.000,31011000.000,33849000.000,9155000.000,16437000.000,18573000.000,15824000.000,33511000.000,27083000.000,75850000.000,13236000.000,1113000.000,20453000.000,111529000.000,129866000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,460000.000,3050000.000,3141000.000,32590000.000,31146000.000,29618000.000,19729000.000,23010000.000,23008000.000,19568000.000,16446000.000,11535000.000,6718000.000,7444000.000,7251000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,1999000.000,1999000.000,1999000.000,3998000.000,3998000.000,4051000.000,1999000.000,,10133000.000,19401000.000,21377000.000,22361000.000,22350000.000,33042000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,1823000.000,1879000.000,1922000.000,3786000.000,3877000.000,3999000.000,1947000.000,,10069000.000,19644000.000,21977000.000,22985000.000,22016000.000,32702000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,,,,,,,,1056000.000,2060000.000,2057000.000,4051000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,,,,,1077000.000,2081000.000,2023000.000,4054000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,16987000.000,16987000.000,16988000.000,14989000.000,14989000.000,66868000.000,16989000.000,18988000.000,18988000.000,18988000.000,23985000.000,21978000.000,21979000.000,20988000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,14943000.000,15393000.000,15904000.000,14058000.000,14457000.000,67073000.000,16370000.000,18712000.000,18549000.000,18974000.000,24048000.000,22011000.000,21435000.000,20494000.000
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,,16766000.000,17272000.000,17826000.000,17844000.000,18334000.000,71072000.000,18317000.000,18712000.000,28618000.000,38618000.000,47102000.000,47077000.000,45474000.000,57250000.000
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,,18986000.000,18986000.000,18987000.000,18987000.000,18987000.000,70919000.000,18988000.000,18988000.000,29121000.000,38389000.000,46418000.000,46399000.000,46386000.000,58081000.000
BankOwnedLifeInsurance,7119000.000,7167000.000,7214000.000,12288000.000,12377000.000,12467000.000,12554000.000,12638000.000,12722000.000,12806000.000,12890000.000,12973000.000,13055000.000,23221000.000,27709000.000
CashAndCashEquivalentsAtCarryingValue,158984000.000,56406000.000,51352000.000,29681000.000,45382000.000,33197000.000,27422000.000,20305000.000,11272000.000,5751000.000,7330000.000,38572000.000,12440000.000,8065000.000,13058000.000
CashAndDueFromBanks,2670000.000,2292000.000,2761000.000,2093000.000,2025000.000,2248000.000,1815000.000,1974000.000,2150000.000,1949000.000,2030000.000,2180000.000,1965000.000,1580000.000,2587000.000
CashPassThroughReserveFederalHomeLoanBank,,,,,,,,,,,,,31700000.000,,
CertificatesOfDepositAtCarryingValue,,,,,,,,,,,,,1853000.000,1853000.000,1853000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000
CommonStockSharesIssued,12563750.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,9544809.000,10819006.000
CommonStockSharesOutstanding,10023495.000,9544809.000,9544809.000,9544809.000,9544809.000,9366909.000,9235195.000,8849938.000,8449625.000,8397625.000,8060799.000,8060799.000,8045544.000,8045544.000,9007996.000
CommonStockValue,126000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,95000.000,108000.000
DeferredTaxAssetsCapitalLossCarryforwards,1423000.000,753000.000,660000.000,321000.000,1211000.000,1204000.000,606000.000,548000.000,534000.000,506000.000,506000.000,506000.000,378000.000,378000.000,378000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,2042000.000
DeferredTaxAssetsGross,5066000.000,4460000.000,4051000.000,3427000.000,3597000.000,3373000.000,2624000.000,2850000.000,2599000.000,2994000.000,2551000.000,2696000.000,2460000.000,3156000.000,5670000.000
DeferredTaxAssetsLiabilitiesNet,1306000.000,1457000.000,1129000.000,902000.000,1131000.000,933000.000,786000.000,1169000.000,975000.000,1307000.000,451000.000,476000.000,569000.000,1595000.000,4204000.000
DeferredTaxAssetsNet,2526000.000,2773000.000,2454000.000,2168000.000,2386000.000,2163000.000,2018000.000,2302000.000,2065000.000,2488000.000,2045000.000,2190000.000,2082000.000,2778000.000,5292000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,86000.000,89000.000,93000.000,96000.000,108000.000,111000.000,111000.000,118000.000,119000.000,62000.000,37000.000,19000.000,13000.000,12000.000,12000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,455000.000,504000.000,358000.000,369000.000,382000.000,404000.000,406000.000,477000.000,530000.000,643000.000,579000.000,499000.000,434000.000,415000.000,382000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,136000.000,135000.000,135000.000,132000.000,137000.000,135000.000,135000.000,132000.000,126000.000,106000.000,104000.000,106000.000,96000.000,95000.000,93000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,1117000.000,934000.000,937000.000,938000.000,,6000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,1037000.000,1043000.000,1054000.000,1040000.000,1123000.000,1148000.000,1205000.000,1124000.000,1185000.000,1178000.000,1210000.000,1276000.000,1289000.000,1334000.000,1593000.000
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,666000.000,846000.000,652000.000,334000.000,491000.000,241000.000,,337000.000,,387000.000,,,69000.000,674000.000,860000.000
DeferredTaxAssetsValuationAllowance,2540000.000,1687000.000,1597000.000,1259000.000,1211000.000,1210000.000,606000.000,548000.000,534000.000,506000.000,506000.000,506000.000,378000.000,378000.000,378000.000
DeferredTaxLiabilities,1220000.000,1316000.000,1325000.000,1266000.000,1255000.000,1230000.000,1232000.000,1133000.000,1090000.000,1181000.000,1594000.000,1714000.000,1513000.000,1183000.000,1088000.000
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,759000.000,838000.000,847000.000,819000.000,833000.000,785000.000,761000.000,746000.000,715000.000,697000.000,657000.000,607000.000,578000.000,514000.000,455000.000
