,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccountsPayableCurrent,94881.000,105875.000,23415.000,63485.000,39774.000,75560.000,51225.000,116765.000,282969.000,334441.000,362595.000,637945.000,765065.000,1095070.000,1279105.000,3438926.000,,
AccountsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,1461949.000,1471832.000,2319737.000
AccountsPayableRelatedPartiesCurrent,,,,,,,395001.000,430085.000,459187.000,636613.000,720273.000,,,,,,,
AccountsPayableTradeCurrent,,,,,,,,,,,,,256620.000,647622.000,,,,
AccountsReceivableNetCurrent,,,,,,,,345450.000,56601.000,56667.000,42082.000,1483362.000,1451684.000,1633796.000,505353.000,,,
AccruedInsuranceCurrent,,,,,,,,,,,,,,,434933.000,949596.000,611565.000,958323.000
AccruedLiabilitiesCurrent,20588.000,18622.000,35710.000,64222.000,39910.000,17709.000,60565.000,210449.000,788201.000,855773.000,599355.000,1163748.000,1198024.000,1184571.000,1786456.000,3438926.000,2992031.000,4681176.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,,107901.000,70384.000,,46712.000,,,405000.000
AccruedSalariesCurrent,104995.000,198779.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,208823.000,252599.000,324826.000,415431.000,302865.000,330739.000,360507.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,33167.000,-9272.000,-89910.000,-1774509.000,-2688357.000,29876.000,948124.000,700728.000,495250.000,-499383.000,-1126501.000,-1631466.000,-1555384.000
AcquiredIndefiniteLivedIntangibleAssetAmount,10000.000,10000.000,10000.000,10000.000,10000.000,,,,,,,,,,,,,
AdditionalPaidInCapital,6098727.000,6754813.000,6680238.000,7843315.000,8128125.000,13088652.000,13703153.000,14570736.000,17695791.000,20718999.000,22073606.000,34194073.000,34372306.000,34919419.000,35982933.000,38011322.000,42305035.000,44136141.000
AdvancesOnInventoryPurchases,,,,,,,,,,,,181789.000,169550.000,147578.000,217900.000,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,27512.000,32012.000,23310.000,69310.000,,,
Assets,5328108.000,8967354.000,8156911.000,8791811.000,9260879.000,13443803.000,13154489.000,24912601.000,25579223.000,25260956.000,25277861.000,49166437.000,46094733.000,44073570.000,39790001.000,39201036.000,39248263.000,29046299.000
AssetsCurrent,283000.000,761456.000,416512.000,436091.000,525170.000,563227.000,420068.000,1546935.000,2003779.000,2472062.000,1789495.000,10753094.000,7778821.000,6230182.000,6995397.000,15715791.000,17156333.000,7304957.000
AssetsNoncurrent,,,,,,,12734421.000,23035870.000,23179302.000,22379454.000,23069764.000,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,8940776.000,9073332.000,0.000
BankOverdrafts,,,,,,,,,,,,10973.000,16981.000,82994.000,40220.000,,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,,,,9750000.000,,,9750000.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,,,,,,,,,,,37287.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,,,,,,,,,250000.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,,,,,,,107467.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,,,,,,,,,,,57400.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsOtherThanGoodwill,,,,,,,,,,,29115.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,,,,,,,,,,355636.000,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeIncludingSubsequentAcquisitionPercentage,,,,,,,,,,,,,,,0.773,,,
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,115440.000,,,
CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,,,,,,,,,,,,,,,0.000,,,
Cash,,,,,,,,,,,,1913087.000,473548.000,,,755667.000,2762317.000,2359995.000
CashAndCashEquivalentsAtCarryingValue,233068.000,728614.000,367661.000,391672.000,410498.000,432305.000,314309.000,380716.000,981866.000,862397.000,438367.000,5034883.000,1985441.000,852656.000,1293461.000,1182704.000,3170455.000,2359995.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,0.750,,0.750
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,804467.000,904467.000,100000.000,100000.000,100000.000,2107196.000,2114123.000,2144123.000,2144123.000,2144123.000,2144123.000,2144123.000
ClassOfWarrantOrRightOutstanding,,,,,2034468.000,2287393.000,2449893.000,3147393.000,3002926.000,4069425.000,4657496.000,7421028.000,7603528.000,8688528.000,8728526.000,10259569.000,16408101.000,14472471.000
ClassOfWarrantOrRightUnissued,,,,,2234468.000,,,,,,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,5016558.000,5814058.000,5619592.000,6352757.000,6874160.000,9421028.000,11103528.000,15748528.000,19028526.000,19028526.000,19028526.000,19028526.000
CommonStockOtherSharesOutstanding,,,,,,,,,,,,8323280.000,9565665.000,9565696.000,9565696.000,9565696.000,9565696.000,9565696.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,0.001,0.001,,,,
