,2011-09-30,2012-03-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,32011.000,101128.000,480259.000,753991.000,807355.000,919247.000
AccountsPayableRelatedPartiesCurrent,430799.000,699784.000,,,,
AccountsReceivableGrossCurrent,,3800.000,,,,
AccountsReceivableNet,,,63217.000,252076.000,251210.000,172279.000
AccountsReceivableRelatedParties,,,1052.000,,,
AccountsReceivableRelatedPartiesCurrent,,,1052.000,,,
AccruedLiabilitiesCurrent,,,,,,993672.000
AccruedSalariesCurrentAndNoncurrent,,,,1358308.000,1178293.000,919133.000
AdditionalPaidInCapital,-120170.000,814319.000,7132800.000,11783604.000,13083431.000,12875909.000
AllowanceForDoubtfulAccountsReceivable,,,,,893.000,893.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,0.000,0.000
Assets,3001.000,111743.000,1174206.000,1631640.000,1496077.000,1375441.000
AssetsCurrent,3001.000,98117.000,379632.000,654629.000,544446.000,468798.000
Cash,,,,216617.000,96962.000,14419.000
CashAndCashEquivalentsAtCarryingValue,3001.000,80652.000,145778.000,216617.000,96962.000,14419.000
CommitmentsAndContingencies,,,,,,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,190000000.000,190000000.000,490000000.000,8000000.000,800000000.000,6000000000.000
CommonStockSharesIssued,100000000.000,101154926.000,262734973.000,344727085.000,425918387.000,1107817477.000
CommonStockSharesOutstanding,,101154926.000,262734973.000,344727085.000,425918387.000,1107817477.000
CommonStockValue,100000.000,101155.000,262735.000,344727.000,425918.000,1107818.000
ConvertibleLongTermNotesPayable,,,,251406.000,563500.000,636697.000
ConvertibleNotesPayableCurrent,73500.000,,1391303.000,1834837.000,2138796.000,2091152.000
DebtCurrent,,,407625.000,,,
DeferredFinanceCostsCurrentNet,,,,39993.000,34830.000,25956.000
DeferredIncomeTaxesAndOtherAssetsCurrent,,,,,1112.000,1112.000
DeferredRentCreditCurrent,,,,,4352.000,6681.000
DeferredRevenue,,,,,88789.000,111562.000
DeferredTaxAssetsGross,,,,688816.000,219.000,219.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,10213000.000,,
DeferredTaxAssetsValuationAllowance,,,,-10213000.000,-1112.000,-1112.000
DeferredTaxLiabilitiesDerivatives,,,,,,285879.000
DepositAssets,,4405.000,,,,
DerivativeLiabilities,,,404335.000,,-2419660.000,-2082712.000
DerivativeLiabilitiesCurrent,7546.000,,465880.000,1682387.000,1921990.000,1792524.000
DerivativeLiabilitiesNoncurrent,,,,,497670.000,290188.000
DueToRelatedPartiesCurrent,50240.000,,,4948.000,3284.000,31610.000
EmployeeRelatedLiabilitiesCurrent,,,1320918.000,1432847.000,1252832.000,21745.000
EscrowDeposit,,,160000.000,140000.000,140000.000,140000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisWithUnobservableInputs,,,-245008.000,,,
IntangibleAssetsNetIncludingGoodwill,,,324011.000,302417.000,280823.000,259230.000
InterestPayableCurrent,8582.000,,,,,
InventoryGross,,13665.000,5752.000,5752.000,3315.000,3315.000
Investments,,,285573.000,285573.000,285573.000,285573.000
Liabilities,,,3950728.000,6233720.000,7539016.000,7140118.000
LiabilitiesAndStockholdersEquity,3001.000,111743.000,1174206.000,1631640.000,1496077.000,1375441.000
LiabilitiesCurrent,602678.000,987912.000,3950728.000,5915022.000,6441591.000,6195721.000
LongTermDebt,,,166925.000,,,
LongTermNotesPayable,,,,65269.000,36255.000,17512.000
MachineryAndEquipmentGross,,,165518.000,,,
NotesAndLoansPayableCurrent,,175000.000,,,,
NotesPayableCurrent,,,280368.000,185027.000,205228.000,208563.000
OtherAssets,,4405.000,,,,
OtherAssetsCurrent,,,3833.000,191.000,18129.000,112829.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,500000.000
PreferredStockSharesIssued,,0.000,195000.000,195000.000,195000.000,487500.000
PreferredStockSharesOutstanding,,0.000,195000.000,195000.000,195000.000,487500.000
PreferredStockValue,,,195.000,195.000,487.000,487.000
PropertyPlantAndEquipmentNet,,9221.000,181720.000,280559.000,277349.000,254103.000
PropertyPlantAndEquipmentOtherNet,,,,280559.000,277349.000,254103.000
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,,,-4724.000,-16917.000,-34929.000,-53002.000
RestrictedCashAndCashEquivalents,,,,140000.000,140000.000,140000.000
RetainedEarningsAccumulatedDeficit,-579507.000,-1791643.000,-10172254.000,-16730612.000,-19552781.000,-19748897.000
SecurityDeposit,,,3270.000,108462.000,107886.000,107737.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,20461538.000,20461538.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0.055,0.055
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,20461538.000,20461538.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,20461538.000,20461538.000
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,0.055,0.055
StockholdersEquity,-599677.000,-876169.000,-2776522.000,-4602080.000,-6042939.000,-5764677.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,-2776522.000,-4602080.000,-6042939.000,-5764677.000
