,2014-12-31
AmortizationOfDebtDiscountPremium,-15000000.000
AmortizationOfFinancingCosts,12448533.000
AssetImpairmentCharges,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,8123591.000
CasinoExpenses,15038980.000
CasinoRevenue,12961636.000
DepreciationAndAmortization,14069269.000
FoodAndBeverageCostOfSales,32378014.000
FoodAndBeverageRevenue,23901969.000
GainLossOnDispositionOfAssets,-13333.000
GainsLossesOnExtinguishmentOfDebt,-21875324.000
GeneralAndAdministrativeExpense,29026451.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,13507075.000
IncreaseDecreaseInAccountsReceivable,5021831.000
IncreaseDecreaseInDueToRelatedParties,11953986.000
IncreaseDecreaseInInventories,4130931.000
IncreaseDecreaseInOtherNoncurrentLiabilities,1287003.000
IncreaseDecreaseInOtherOperatingAssets,8305530.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4835979.000
IncreaseDecreaseInRestrictedCashAndInvestments,-273723057.000
InterestCostsCapitalized,6300419.000
InterestExpense,29030163.000
InterestPaidCapitalized,16235414.000
InvestmentIncomeInterest,86838.000
ManagementFeeExpense,1535161.000
MultiemployerPlansPlanContributions,279222.000
NetCashProvidedByUsedInFinancingActivities,89203995.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,89203995.000
NetCashProvidedByUsedInInvestingActivities,27902921.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,27902921.000
NetCashProvidedByUsedInOperatingActivities,-108983325.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-108983325.000
NetIncomeLoss,-147362967.000
NonoperatingIncomeExpense,-50818649.000
OccupancyCosts,8351883.000
OccupancyRevenue,17995415.000
OperatingExpenses,147099140.000
OperatingIncomeLoss,-96544318.000
PaymentsForConstructionInProcess,242468502.000
PaymentsOfCapitalDistribution,5000000.000
PaymentsOfFinancingCosts,10712706.000
PaymentsToAcquirePropertyPlantAndEquipment,3380820.000
PreOpeningCosts,43253089.000
ProceedsFromConstructionLoansPayable,202500000.000
ProceedsFromContributedCapital,5000000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,29186.000
PromotionalAllowances,6168474.000
ProvisionForDoubtfulAccounts,519390.000
RepaymentsOfNotesPayable,2083299.000
RepaymentsOfOtherDebt,100500000.000
Revenues,50554822.000
SalesRevenueNet,50554822.000
SalesRevenueServicesGross,56723296.000
