,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfDebtDiscountPremium,,6054000.000,115000.000,,-118000.000,,,,-41000.000,,,,-5330000.000,,,,41000.000,,,,674000.000,,,,,
AssetImpairmentCharges,,,,,,,,,,1000000.000,,,1200000.000,300000.000,,,8200000.000,,,,6518000.000,2403000.000,2392000.000,4222000.000,164742000.000,3178000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,50801000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,231001000.000,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,726000.000,,,,,,,,,,,,,,,,,,,,,,,,85280000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,3767000.000,,,,-186941000.000,,,,-356465000.000,,,,-17637000.000,,,,-8415000.000,,,,10446000.000,,,,-235615000.000,
CostsAndExpenses,97897000.000,118723000.000,130391000.000,141582000.000,154401000.000,158082000.000,169778000.000,219177000.000,165711000.000,184999000.000,187813000.000,193330000.000,188550000.000,227819000.000,222154000.000,241489000.000,283396000.000,286523000.000,291703000.000,790487000.000,245920000.000,272691000.000,312088000.000,345709000.000,522516000.000,379143000.000
DebtInstrumentIncreaseAccruedInterest,,,,,9700000.000,,,,,,,,,,,,,,,,,,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,,,1266000.000,1426000.000,1107000.000,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-58000.000,,,,477000.000,,,,1124000.000,,,,290000.000,,,,3758000.000,,,,1852000.000,,,,3128000.000,
DeferredOtherTaxExpenseBenefit,,,,,-106504000.000,,,,-46530000.000,,,,-38160000.000,,,,-41844000.000,,,,-135400000.000,,,,,
DepreciationAndAmortization,19558000.000,21711000.000,22650000.000,24535000.000,26586000.000,27156000.000,27528000.000,35991000.000,32440000.000,36496000.000,37615000.000,39365000.000,40612000.000,43746000.000,45651000.000,53147000.000,70292000.000,,,,,,,,,
DepreciationDepletionAndAmortization,19558000.000,,,,26586000.000,,,,32440000.000,,,,40612000.000,,,,70292000.000,65961000.000,65688000.000,42222000.000,65095000.000,67305000.000,67246000.000,73287000.000,69702000.000,74031000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,,77244000.000,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,,,,,,,,,,83986000.000,,98749000.000,105655000.000,111609000.000,,133203000.000,139736000.000,146160000.000,,158905000.000,162827000.000,166742000.000,,188753000.000,207491000.000
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,,,,,,,,,0.580,,0.625,0.650,0.675,,0.725,0.750,0.775,,0.815,0.830,0.845,,0.875,0.890
DistributionMadeToMemberOrLimitedPartnerCashDistributionsDeclared,,36063000.000,40323000.000,,46053000.000,52425000.000,56346000.000,,70143000.000,79315000.000,,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,,0.405,0.420,,0.460,0.480,0.500,,0.540,0.560,,,,,,,,,,,,,,,,
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,,,10269000.000,,,,18706000.000,,,,19855000.000,,,,19114000.000,
FairValueOfAssetsAcquired,,,,,,,,,,,,,,,,,,,,,,,,,548628000.000,
GainLossOnPriceRiskDerivativesNet,,-8355000.000,-7439000.000,,-6988000.000,4079000.000,9315000.000,7809000.000,6831000.000,13750000.000,10562000.000,7021000.000,5769000.000,18038000.000,6383000.000,24678000.000,21235000.000,18921000.000,15522000.000,10614000.000,8240000.000,8769000.000,7410000.000,4038000.000,-529000.000,986000.000
GainOnBusinessInterruptionInsuranceRecovery,,,,,,,,,,,,,,,,,,,,,,2603000.000,13667000.000,,5767000.000,24115000.000
GeneralAndAdministrativeExpense,6698000.000,7082000.000,7643000.000,13965000.000,9924000.000,9755000.000,14554000.000,62833000.000,7664000.000,7288000.000,7276000.000,7523000.000,8415000.000,8000000.000,7889000.000,9938000.000,10512000.000,8667000.000,9318000.000,9611000.000,11277000.000,10883000.000,11382000.000,12049000.000,12659000.000,10585000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,36871000.000,40774000.000,,52943000.000,40657000.000,43012000.000,-13478000.000,57124000.000,62197000.000,81834000.000,87427000.000,90899000.000,98708000.000,106818000.000,96160000.000,91254000.000,111522000.000,165155000.000,-427988000.000,125716000.000,167651000.000,170898000.000,146401000.000,107543000.000,176340000.000
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,9251000.000,13008000.000,19063000.000,16514000.000,18220000.000,18941000.000,21976000.000,12114000.000,16814000.000,19693000.000,20294000.000,21916000.000,19461000.000,21728000.000
IncomeTaxExpenseBenefit,32000.000,94000.000,92000.000,1943000.000,537000.000,90000.000,72000.000,559000.000,4236000.000,137000.000,58000.000,-1801000.000,-228000.000,226000.000,278000.000,1751000.000,4460000.000,-1816000.000,1661000.000,-925000.000,6633000.000,326000.000,472000.000,941000.000,3552000.000,843000.000
IncomeTaxesPaid,,,,,72000.000,,,,,,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,-138000.000,,,,67000.000,,,,189000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,,,,,,,,,17978000.000,,,,-29940000.000,
IncreaseDecreaseInAccountsReceivable,8251000.000,,,,-4709000.000,,,,-21661000.000,,,,10982000.000,,,,17672000.000,,,,-12558000.000,,,,1513000.000,
IncreaseDecreaseInAccruedLiabilities,5887000.000,,,,9245000.000,,,,21287000.000,,,,-1727000.000,,,,10451000.000,,,,,,,,,
IncreaseDecreaseInDeferredCharges,,,,,17752000.000,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,,,,,,,,,,,,,,,-3048000.000,,,,15000.000,
IncreaseDecreaseInOtherOperatingLiabilities,-10000.000,,,,1143000.000,,,,-809000.000,,,,1878000.000,,,,-1220000.000,,,,,,,,,
IncreaseDecreaseInOutstandingChecksFinancingActivities,,,,,,,,,-2808000.000,,,,1928000.000,,,,-2468000.000,,,,-994000.000,,,,1024000.000,
InterestCostsCapitalizedAdjustment,,,,,,,,,,,,,3440000.000,2007000.000,1900000.000,,,,,,,,,,,
InterestExpense,6111000.000,6697000.000,8931000.000,9820000.000,9581000.000,9560000.000,10977000.000,11942000.000,11811000.000,12654000.000,13018000.000,14314000.000,13961000.000,20864000.000,20878000.000,21063000.000,22960000.000,27604000.000,31773000.000,31535000.000,32036000.000,12883000.000,30768000.000,39234000.000,35504000.000,35746000.000
InterestExpenseDebt,,,,,,,,,,,,,16135000.000,21445000.000,21671000.000,,,,,,,,,,,
InterestIncomeRelatedParty,,,,,,,,,,,4225000.000,,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000
InterestPaid,5009000.000,,,,1986000.000,,,,,,,,,,,,,,,,,,,,,
InterestPaidNet,,,,,,,,,11244000.000,,,,14106000.000,,,,17594000.000,,,,18223000.000,,,,28656000.000,
InventoryWriteDown,,,,,,,,,,,,,,,,,,,,,,,,,45000.000,
LeaseAndRentalExpense,,,600000.000,,700000.000,800000.000,800000.000,700000.000,700000.000,700000.000,600000.000,800000.000,800000.000,700000.000,700000.000,1300000.000,4200000.000,4500000.000,4900000.000,5300000.000,8900000.000,8400000.000,8900000.000,9700000.000,7900000.000,11500000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,,0.020,,,,,,,,0.020,,,,,,,,,,,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,4364000.000,,,,5145000.000,,,,2650000.000,,,,4124000.000,,,,3150000.000,,,,3838000.000,,,,3370000.000,
MinorityInterestIncreaseFromStockIssuance,960000.000,,,,9849000.000,,,,1097000.000,,,,,,,,,,,,,,,,,
NaturalGasMidstreamCosts,46820000.000,62317000.000,68675000.000,69490000.000,83156000.000,82456000.000,89107000.000,81360000.000,83083000.000,93460000.000,93516000.000,94226000.000,91950000.000,118085000.000,108393000.000,119528000.000,137920000.000,146293000.000,127721000.000,116501000.000,76467000.000,104849000.000,145643000.000,167235000.000,189359000.000,203277000.000
NetCashProvidedByUsedInFinancingActivities,266168000.000,,,,242796000.000,,,,285468000.000,,,,435014000.000,,,,39509000.000,,,,616761000.000,,,,-175797000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,266168000.000,,,,242796000.000,,,,285468000.000,,,,435014000.000,,,,39509000.000,,,,616761000.000,,,,-175797000.000,
NetCashProvidedByUsedInInvestingActivities,-317465000.000,,,,-524303000.000,,,,-771888000.000,,,,-576697000.000,,,,-203960000.000,,,,-842818000.000,,,,-252434000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-317465000.000,,,,-524303000.000,,,,-771888000.000,,,,-576697000.000,,,,-203960000.000,,,,-842818000.000,,,,-252434000.000,
NetCashProvidedByUsedInOperatingActivities,55064000.000,,,,94566000.000,,,,129955000.000,,,,124046000.000,,,,156036000.000,,,,236503000.000,,,,192616000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,55064000.000,,,,94566000.000,,,,129955000.000,,,,124046000.000,,,,156036000.000,,,,236503000.000,,,,192616000.000,
NetIncomeLoss,34984000.000,33939000.000,36809000.000,37208000.000,48163000.000,36277000.000,39517000.000,-16971000.000,50657000.000,60200000.000,78400000.000,85879000.000,87435000.000,95032000.000,102677000.000,91389000.000,83568000.000,110522000.000,161306000.000,-428934000.000,116060000.000,164521000.000,167746000.000,143004000.000,101889000.000,173451000.000
NetIncomeLossAllocatedToGeneralPartners,1448000.000,1842000.000,2394000.000,2915000.000,4339000.000,6127000.000,8042000.000,9581000.000,12886000.000,16154000.000,18693000.000,21900000.000,24834000.000,28047000.000,31058000.000,37041000.000,41993000.000,45915000.000,50213000.000,42875000.000,55400000.000,58381000.000,60551000.000,62229000.000,68162000.000,76365000.000
NetIncomeLossAllocatedToLimitedPartners,33536000.000,32097000.000,34415000.000,31512000.000,43824000.000,30150000.000,31475000.000,-26552000.000,,,59707000.000,,63557000.000,66985000.000,71619000.000,54348000.000,39833000.000,64607000.000,111093000.000,-471809000.000,,,,,,
NetIncomeLossAttributableToNoncontrollingInterest,2954000.000,2838000.000,3873000.000,4438000.000,4243000.000,4290000.000,3423000.000,2934000.000,2231000.000,1860000.000,3376000.000,3349000.000,3692000.000,3450000.000,3863000.000,3020000.000,3226000.000,2816000.000,2188000.000,1871000.000,3023000.000,2804000.000,2680000.000,2456000.000,2102000.000,2046000.000
NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,,,,,,,,,,,,,,,,,0.260,0.440,0.770,-3.420,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,0.310,0.550,0.540,,0.010,0.490
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,,,,,,0.260,0.440,0.770,-3.420,,,,,,
OperatingCostsAndExpenses,20862000.000,23639000.000,27012000.000,30241000.000,29898000.000,33882000.000,33261000.000,34303000.000,36739000.000,41669000.000,42757000.000,47492000.000,40532000.000,50875000.000,53657000.000,54241000.000,56149000.000,56827000.000,80633000.000,103165000.000,76213000.000,75173000.000,74755000.000,81869000.000,73760000.000,76148000.000
OperatingIncomeLoss,38096000.000,43025000.000,45472000.000,48894000.000,57841000.000,47259000.000,49242000.000,-6340000.000,64036000.000,70127000.000,90188000.000,97291000.000,100158000.000,115133000.000,123374000.000,112922000.000,109918000.000,134830000.000,192618000.000,-399832000.000,153403000.000,176362000.000,197288000.000,181155000.000,138392000.000,207608000.000
OtherNonoperatingIncomeExpense,1760000.000,-3682000.000,8000.000,290000.000,458000.000,-1267000.000,522000.000,579000.000,674000.000,499000.000,439000.000,225000.000,477000.000,214000.000,97000.000,76000.000,71000.000,71000.000,85000.000,-846000.000,124000.000,-53000.000,153000.000,255000.000,430000.000,253000.000
OtherOperatingActivitiesCashFlowStatement,,,,,15574000.000,,,,560000.000,,,,680000.000,,,,2112000.000,,,,5467000.000,,,,1101000.000,
PartnersCapitalAccountAcquisitions,,,,,-458764000.000,,,,-465500000.000,,,,-356250000.000,,,,-174276000.000,,,,-712500000.000,,,,0.000,
PartnersCapitalAccountContributions,,,,,-3000000.000,,,,,,,,,,,,30096000.000,,,,,,,,,
PartnersCapitalAccountDistributions,30564000.000,,,,43027000.000,,,,65657000.000,,,,92609000.000,,,,126044000.000,,,,152588000.000,,,,185565000.000,
PartnersCapitalAccountExchangesAndConversions,,,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,
PartnersCapitalAccountPrivatePlacementOfUnits,,,,,,,,,,,,,,,,,,,,,440000000.000,,,,,
PartnersCapitalAccountReturnOfCapital,,,,,,,,,,,,,,,,,348000.000,,,,,,,,,
PartnersCapitalAccountSaleOfUnits,132796000.000,,,,,,,,500000.000,,,,18528000.000,,,,31044000.000,,,,25000000.000,,,,,
PartnersCapitalAccountUnitsConverted,,,,,,,,,,,,,,,,,,,,,,,,,0.000,
PartnersCapitalAccountUnitsSoldInPrivatePlacement,,,,,,,,,,,,,,,,,45711.000,,,,323584.000,,,,178977.000,
PartnersCapitalAccountUnitsUnitbasedCompensation,,,,,,,,,,,,,1280.000,,,,2014.000,,,,,,,,,
PartnersCapitalOther,63000.000,,,,2777000.000,,,,69000.000,,,,-95000.000,,,,-160000.000,,,,408000.000,,,,-99000.000,
PaymentsForCapitalImprovements,13923000.000,,,,61071000.000,,,,166463000.000,,,,189327000.000,,,,200940000.000,,,,136987000.000,,,,125944000.000,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,,,857000.000,,,,,,,,,,,,,
PaymentsOfDistributionsToAffiliates,,,,,,,,,29960000.000,,,,,,,,,,,,,,,,,
PaymentsOfDividends,30564000.000,,,,43027000.000,,,,65657000.000,,,,92609000.000,,,,126044000.000,,,,152588000.000,,,,185565000.000,
PaymentsOfDividendsMinorityInterest,4364000.000,,,,5145000.000,,,,,,,,,,,,,,,,,,,,,
PaymentsOfStockIssuanceCosts,5400000.000,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessesAndInterestInAffiliates,93000.000,,,,,,,,4835000.000,,,,27605000.000,,,,4878000.000,,,,-474000.000,,,,0.000,
PaymentsToMinorityShareholders,,,,,,,,,2650000.000,,,,4124000.000,,,,3150000.000,,,,3838000.000,,,,3370000.000,
ProceedsFromContributionsFromAffiliates,960000.000,,,,9849000.000,,,,1097000.000,,,,0.000,,,,,,,,,,,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,,,,,,,,,,,,2044000.000,,,,2964000.000,,,,4784000.000,,,,3453000.000,
ProceedsFromIncomeTaxRefunds,,,,,,,,,,,,,340000.000,,,,,,,,,,,,,
ProceedsFromInsuranceSettlementInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,24000000.000,
ProceedsFromInterestReceived,4225000.000,,,,4225000.000,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,132796000.000,,,,,,,,500000.000,,,,18289000.000,,,,31075000.000,,,,25000000.000,,,,-158000.000,
ProceedsFromIssuanceOfLongTermDebt,,,,,319000000.000,,,,384946000.000,,,,917742000.000,,,,140000000.000,,,,330000000.000,,,,-11000.000,
ProceedsFromPartnershipContribution,,,,,2119000.000,,,,,,,,23788000.000,,,,30096000.000,,,,,,,,,
ProceedsFromUnsecuredLinesOfCredit,556340000.000,,,,,,,,,,,,,,,,,,,,,,,,,
ProfitLoss,37938000.000,36777000.000,40682000.000,41646000.000,52406000.000,40567000.000,42940000.000,-14037000.000,52888000.000,62060000.000,81776000.000,89228000.000,91127000.000,98482000.000,106540000.000,94409000.000,86794000.000,113338000.000,163494000.000,-427063000.000,119083000.000,167325000.000,170426000.000,145460000.000,103991000.000,175497000.000
RepaymentsOfLinesOfCredit,139000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,,,40000000.000,,,,,,,,430000000.000,,,,30000000.000,,,,0.000,,,,,
RepaymentsOfOtherDebt,250000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,135993000.000,161748000.000,175863000.000,190476000.000,212242000.000,205341000.000,219020000.000,212837000.000,229747000.000,255126000.000,278001000.000,290621000.000,279457000.000,329944000.000,326465000.000,337897000.000,375094000.000,402412000.000,385101000.000,398765000.000,383141000.000,428664000.000,481645000.000,510820000.000,516193000.000,525450000.000
SalesRevenueNet,135993000.000,161748000.000,175863000.000,190476000.000,212242000.000,205341000.000,219020000.000,212837000.000,229747000.000,255126000.000,278001000.000,290621000.000,279457000.000,329944000.000,326465000.000,337897000.000,375094000.000,402412000.000,385101000.000,398765000.000,383141000.000,428664000.000,481645000.000,510820000.000,516193000.000,525450000.000
ShareBasedCompensation,,,,,,,,,804000.000,,,,1150000.000,,,,1035000.000,,,,1231000.000,,,,1209000.000,
TaxesExcludingIncomeAndExciseTaxes,3959000.000,3974000.000,4411000.000,3351000.000,4837000.000,4833000.000,5328000.000,4690000.000,5785000.000,6086000.000,6649000.000,4724000.000,7041000.000,7113000.000,6564000.000,4635000.000,8523000.000,8775000.000,8343000.000,4892000.000,10350000.000,12078000.000,10670000.000,7047000.000,12294000.000,11924000.000
TransferOfOtherRealEstate,,,,,19197000.000,,,,6000.000,,,,43000.000,,,,,,,,,,,,,
WeightedAverageLimitedPartnershipUnitsOutstandingDiluted,,,,,,,,,,,,,,,,,138674000.000,139504000.000,139736000.000,-278455000.000,,,,,,
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,,,,,,,,,104815000.000,,,,,,,,,,,,,,,,,
