,2013-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,5000000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,-191000000.000
AvailableForSaleSecuritiesGrossRealizedGains,40000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,66000000.000
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,-106000000.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,-26000000.000
BenefitsLossesAndExpenses,2066000000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,1000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,166000000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,32000000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,1000000.000
ComprehensiveIncomeNetOfTax,-275000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,11000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-264000000.000
DeferredIncomeTaxExpenseBenefit,-182000000.000
DeferredPolicyAcquisitionCostsPeriodIncreaseDecrease,-105000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-19000000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,1000000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,78000000.000
EarningsPerShareBasic,0.210
EarningsPerShareDiluted,0.210
EffectOfExchangeRateOnCashAndCashEquivalents,-48000000.000
FairValueAssetsMeasuredOnRecurringBasisGainLossIncludedInInvestmentIncome,9000000.000
FairValueLiabilitiesMeasuredOnRecurringBasisGainLossIncludedInInvestmentIncome,0.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,0.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,-9000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,-37000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues,1000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,181000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,159000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,135000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,153000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,98000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,-83000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInOtherComprehensiveIncome,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,13000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases,1000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySales,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,0.000
FeesAndCommissions,289000000.000
GainLossOnInvestments,-61000000.000
GainLossOnSaleOfOtherInvestments,-1000000.000
IncomeLossFromContinuingOperations,123000000.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,38000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,237000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,161000000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.250
IncomeLossFromContinuingOperationsPerDilutedShare,0.250
IncomeLossFromDiscontinuedOperationsNetOfTax,-20000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-20000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.040
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.040
IncomeTaxExpenseBenefit,76000000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,202000000.000
IncreaseDecreaseInInsuranceLiabilities,541000000.000
IncreaseDecreaseInOtherOperatingAssets,42000000.000
IncreaseDecreaseInOtherOperatingLiabilities,-474000000.000
InterestCreditedToPolicyholdersAccountBalances,184000000.000
InterestExpense,126000000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,13000000.000
NetCashProvidedByUsedInFinancingActivities,-299000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-299000000.000
NetCashProvidedByUsedInInvestingActivities,453000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,453000000.000
NetCashProvidedByUsedInOperatingActivities,60000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,60000000.000
NetIncomeLoss,103000000.000
NetIncomeLossAttributableToNoncontrollingInterest,38000000.000
NetInvestmentIncome,814000000.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,10000000.000
OperatingIncomeLoss,151000000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,4000000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToNoncontrollingInterest,0.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,-110000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-104000000.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,52000000.000
OtherComprehensiveIncomeLossNetOfTax,-405000000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,27000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,26000000.000
