,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31
AdministrativeFeesExpense,109.000,86.000,14594.000,10090.000,88.000
CashPeriodIncreaseDecrease,-6628.000,17715.000,,,-6088.000
Depreciation,29.000,44.000,44.000,44.000,44.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,0.000,-0.000,-0.010,-0.000
IncreaseDecreaseInAccountsPayable,11866.000,17764.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,4564.000
InterestExpense,,,-100.000,,-300.000
NetCashProvidedByUsedInFinancingActivities,,20000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,20000.000,,,
NetCashProvidedByUsedInInvestingActivities,-819.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-819.000,,,,
NetCashProvidedByUsedInOperatingActivities,-5809.000,-2285.000,,,-6088.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5809.000,-2285.000,,,-6088.000
NetIncomeLoss,-17704.000,-20093.000,-28649.000,-37686.000,-10696.000
OperatingExpenses,17704.000,20093.000,28369.000,37586.000,10396.000
OperatingIncomeLoss,-17704.000,-20093.000,-28369.000,-37586.000,-10396.000
PaymentsToAcquireAssetsInvestingActivities,-528.000,,,,
PaymentsToAcquireOtherProductiveAssets,-291.000,,,,
ProceedsFromIssuanceOfCommonStock,,20000.000,,,
ProfessionalFees,17566.000,19639.000,13731.000,27161.000,10264.000
ResearchAndDevelopmentExpense,,324.000,,,
SubsidiaryOfLimitedLiabilityCompanyOrLimitedPartnershipOwnershipInterest,1.000,,,,1.000
WeightedAverageNumberOfDilutedSharesOutstanding,16000000.000,17369565.000,18000000.000,-34081924.000,18000000.000
