,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,599536000.000,463651000.000,585720000.000,518366000.000,583626000.000,551731000.000,632000000.000,564000000.000,624000000.000,541000000.000,582000000.000,514000000.000,651000000.000,536000000.000,595000000.000,573000000.000,691000000.000,568000000.000,637000000.000,549000000.000,721000000.000,573000000.000,565000000.000,484000000.000,675000000.000,520000000.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.000
AccountsReceivableRelatedParties,,,,,,,,,,,,,,,,,,,,,,,,,,140000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,178941000.000,,,,235000000.000,,,,282000000.000,,,,359000000.000,,,,425000000.000,,,,460000000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,193000.000,212000.000,153000.000,182000.000,199000.000,215000.000,18000000.000,31000000.000,35000000.000,32000000.000,,,-6000000.000,-15000000.000,-18000000.000,-27000000.000,-26000000.000,-26000000.000,-25000000.000,-24000000.000,-24000000.000,-23000000.000,-22000000.000,-27000000.000,-26000000.000,-25000000.000
AdditionalPaidInCapital,1563070000.000,1574641000.000,1583327000.000,1586041000.000,1588478000.000,1602161000.000,1587000000.000,1581000000.000,1579000000.000,1586000000.000,1592000000.000,1593000000.000,1604000000.000,1610000000.000,1618000000.000,1623000000.000,1630000000.000,1638000000.000,1649000000.000,1642000000.000,1656000000.000,1654000000.000,1670000000.000,1689000000.000,1696000000.000,1699000000.000
Assets,15757196000.000,15690604000.000,17125762000.000,20080452000.000,21078639000.000,18913885000.000,19513000000.000,21018000000.000,20520000000.000,21183000000.000,21836000000.000,22236000000.000,23087000000.000,23579000000.000,23831000000.000,23815000000.000,24096000000.000,25159000000.000,26375000000.000,25766000000.000,27154000000.000,27107000000.000,28818000000.000,28834000000.000,29165000000.000,30110000000.000
AvailableForSaleSecurities,,,,,,,,,,,,,,,,,,,,,,,757000000.000,747000000.000,747000000.000,747000000.000
AvailableForSaleSecuritiesEquitySecurities,,,,,,,70000000.000,91000000.000,97000000.000,93000000.000,13000000.000,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,,,,,,,,198000000.000,,,,264000000.000,,,,268000000.000,,,,269000000.000,,,
