,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,155.000,197.000,,,,,,,,
AccountsPayableCurrent,54105.000,56639.000,23841.000,94551.000,196810.000,164127.000,189470.000,51258.000,26322.000,27988.000,26501.000,33279.000,34402.000,48444.000,45540.000
AccountsPayableRelatedPartiesNoncurrent,,,,,,,,197.000,197.000,197.000,197.000,197.000,197.000,197.000,197.000
AccountsReceivableNet,,,,,,105.000,41.000,,,,,,,,
AccountsReceivableNetCurrent,,,,,3931.000,,,66.000,87.000,1993.000,183.000,305.000,130.000,566.000,2077.000
AccruedIncomeTaxesCurrent,,,,,,,,41471.000,52585.000,118112.000,138761.000,154623.000,201856.000,235766.000,289966.000
AccruedLiabilities,,,,,4731.000,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,8566.000,10924.000,57721.000,8347.000,7062.000,4895.000,77152.000,8747.000,17034.000,4777.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,-946.000,-946.000,-1545.000,-1969.000,-2394.000,-4797.000,-10484.000,-16171.000,-21857.000,-27544.000
AdditionalPaidInCapital,61627.000,73346.000,132746.000,132746.000,,134460.000,-60583.000,-52333.000,-52333.000,-52333.000,-52333.000,-52333.000,-52333.000,-52333.000,-52333.000
Assets,36290.000,36272.000,48930.000,7604.000,218091.000,296298.000,392411.000,372446.000,340034.000,477322.000,579250.000,636768.000,677164.000,772576.000,956858.000
AssetsCurrent,36290.000,36272.000,48930.000,4604.000,164422.000,242888.000,339260.000,301147.000,269159.000,406872.000,372755.000,413334.000,458310.000,562728.000,753803.000
AssetsNoncurrent,,,,,,3410.000,3151.000,,,,,,,,
CapitalizedComputerSoftwareNet,,,,,,,110800.000,,,,,,,,
Cash,181.000,163.000,12821.000,229.000,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,65039.000,163839.000,156191.000,222836.000,182939.000,230315.000,263283.000,283174.000,281774.000,359849.000,493980.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,10000000.000,100000000.000,10000000.000,6666660000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000,6666600000.000
CommonStockSharesIssued,26376.000,144751.000,744751.000,744751.000,198620014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000,199160014.000
