,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccruedInvestmentIncomeReceivable,,,,102000000.000,,,,93000.000,,,,93000.000,,
AccruedLiabilitiesAndOtherLiabilities,,,,6293000.000,5213000.000,5048000.000,5969000.000,7293000.000,3712000.000,4355000.000,4466000.000,4479000.000,4268000.000,3720000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,6177000.000,,,,6540000.000,,,,7814000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-30000.000,-125000.000,-41000.000,-169000.000,-40000.000,-34000.000,-162000.000,-491000.000,-436000.000,-631000.000,-509000.000,-224000.000,-257000.000,-138000.000
AdditionalPaidInCapital,100762000.000,100138000.000,95028000.000,92197000.000,89418000.000,85970000.000,82155000.000,79800000.000,77694000.000,74126000.000,69230000.000,67690000.000,67833000.000,67996000.000
AdvancesFromFederalHomeLoanBanks,,,,,,,,,60000000.000,85000000.000,85000000.000,85000000.000,65000000.000,65000000.000
AllowanceForCreditLossesChangeInMethodOfCalculatingImpairment,,,,1600000.000,1600000.000,1200000.000,,,,,,,,
AllowanceForLoanAndLeaseLossesRealEstate,,,,2800000.000,899000.000,903000.000,697000.000,32000.000,9000.000,,,,,
Assets,914674000.000,932612000.000,944965000.000,923330000.000,915413000.000,889444000.000,882330000.000,867377000.000,834605000.000,854931000.000,861168000.000,879188000.000,863351000.000,863207000.000
AvailableForSaleSecurities,36513000.000,62961000.000,57986000.000,53397000.000,48562000.000,64054000.000,58217000.000,52180000.000,48128000.000,45251000.000,43355000.000,56883000.000,54029000.000,51579000.000
AvailableForSaleSecuritiesAmortizedCost,,,,53256000.000,48202000.000,63683000.000,58064000.000,52774000.000,48628000.000,46081000.000,43979000.000,57101000.000,54302000.000,51650000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,6775000.000,5654000.000,26581000.000,27984000.000,25890000.000,28426000.000,26540000.000,30638000.000,25829000.000,25326000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,1354000.000,,23581000.000,25476000.000,23824000.000,26563000.000,8141000.000,12636000.000,9210000.000,9252000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,5421000.000,5654000.000,3000000.000,2508000.000,2066000.000,1863000.000,18399000.000,18002000.000,16619000.000,16074000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,53397000.000,48562000.000,64054000.000,58217000.000,52180000.000,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,122000.000,79000.000,53000.000,141000.000,719000.000,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,61000.000,53000.000,35000.000,39000.000,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,79000.000,53000.000,141000.000,719000.000,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,18000.000,,106000.000,680000.000,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,263000.000,439000.000,424000.000,294000.000,125000.000,,,,,,
BankOwnedLifeInsurance,12977000.000,13100000.000,13217000.000,13334000.000,13450000.000,13565000.000,13676000.000,13784000.000,13893000.000,14003000.000,14113000.000,14220000.000,14325000.000,14432000.000
BuildingsAndImprovementsGross,,,,1218000.000,,,,1218000.000,,,,1218000.000,,
Capital,,,,131832000.000,,,,137788000.000,,,,128372000.000,,
CapitalRequiredForCapitalAdequacy,,,,49993000.000,,,,46222000.000,,,,47417000.000,,
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,,,,0.080,,,,0.080,,,,0.080,,
CapitalRequiredToBeWellCapitalized,,,,62491000.000,,,,57777000.000,,,,59271000.000,,
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,,,,0.100,,,,0.100,,,,0.100,,
CapitalToRiskWeightedAssets,,,,0.211,,,,0.238,,,,0.217,,
CashAndCashEquivalentsAtCarryingValue,110662000.000,131221000.000,138752000.000,66018000.000,79571000.000,68394000.000,72691000.000,85674000.000,34982000.000,57645000.000,57245000.000,69253000.000,79101000.000,94671000.000
