,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,16730000.000,30548000.000,31024000.000,28233000.000,30880000.000,35226000.000,34192000.000,41540000.000,42310000.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,82230000.000,92708000.000,80893000.000,95924000.000,69064000.000,63963000.000,84053000.000,86129000.000,72821000.000
AccumulatedAmortizationDeferredFinanceCosts,2510000.000,3303000.000,4090000.000,4899000.000,781000.000,1172000.000,1564000.000,145000.000,579000.000
AccumulatedDistributionsInExcessOfNetIncome,29563000.000,38014000.000,44142000.000,52732000.000,61754000.000,73883000.000,85378000.000,97793000.000,111653000.000
AdditionalPaidInCapital,474185000.000,664751000.000,668246000.000,670275000.000,671650000.000,928313000.000,930128000.000,931783000.000,933399000.000
AllowanceForDoubtfulAccountsReceivable,,,,5100000.000,,,,4200000.000,
Assets,1185990000.000,1652028000.000,1705491000.000,1757509000.000,1799408000.000,1946685000.000,1986587000.000,2086470000.000,2130582000.000
BelowMarketLeaseAccumulatedAmortization,,,,,,,,,197000.000
BelowMarketLeaseGross,,,,,,,,,809000.000
BelowMarketLeaseNet,,,,,,,,,612000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedBuildings,,,,,,78370000.000,80390000.000,80975000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,,479000.000,479000.000,574000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,922000.000,922000.000,922000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssetsCurrent,,,,,,4084000.000,4391000.000,4414000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesCurrent,,,,,,6045000.000,6045000.000,6045000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,36368000.000,34281000.000,34521000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,,,,,,7439000.000,7440000.000,7602000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,,1102000.000,1343000.000,1343000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,,,,,,303000.000,303000.000,309000.000,
CapitalLeaseObligations,13509000.000,56211000.000,53023000.000,49761000.000,46666000.000,43440000.000,41825000.000,38708000.000,
CapitalLeaseObligationsNoncurrent,,32300000.000,29600000.000,26900000.000,24400000.000,21700000.000,20600000.000,18100000.000,15400000.000
CapitalLeasesFutureMinimumPaymentsDue,,56211000.000,53023000.000,49761000.000,46666000.000,43440000.000,41825000.000,38708000.000,35459000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,6450000.000,3262000.000,12558000.000,9463000.000,6237000.000,3117000.000,12944000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,2461000.000,2461000.000,2190000.000,2190000.000,2190000.000,2190000.000,2388000.000,2388000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,8804000.000,8804000.000,2461000.000,2461000.000,2461000.000,2844000.000,2190000.000,2190000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,12388000.000,12388000.000,8804000.000,8804000.000,8804000.000,9370000.000,2844000.000,2844000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,12558000.000,12558000.000,12388000.000,12388000.000,12388000.000,12944000.000,9370000.000,9370000.000
CapitalLeasesFutureMinimumPaymentsDueThereafter,,13550000.000,13550000.000,11360000.000,11360000.000,11360000.000,11360000.000,8972000.000,8972000.000
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,9695000.000
CashAndCashEquivalentsAtCarryingValue,5748000.000,10744000.000,10730000.000,8804000.000,9744000.000,12776000.000,11769000.000,9580000.000,18257000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,450133000.000,450133000.000,450133000.000,450133000.000,450133000.000,450133000.000,450133000.000,450133000.000,450133000.000
