,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,386279.000,456202.000,286778.000,430132.000,416531.000,1275184.000,1165633.000,534779.000,779891.000,505726.000,551963.000,262148.000,213620.000,272079.000,187258.000,267377.000,245677.000,257530.000
AccountsPayableRelatedPartiesCurrent,,,,,150174.000,87000.000,87000.000,0.000,,,,,,,,,,
AccountsReceivableNetCurrent,16256.000,13000.000,13991.000,120650.000,569297.000,1295051.000,645119.000,695744.000,261676.000,23918.000,17582.000,49014.000,22741.000,19282.000,26288.000,20499.000,44645.000,57599.000
AccruedSalariesCurrent,,,,,,,,,,,,,,,,,72917.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,18435.000,,,,21631.000,,,,24827.000,,,,25478.000,,,,25478.000,25925.000
AdditionalPaidInCapital,2517329.000,4491413.000,9131629.000,9586103.000,13231212.000,14274875.000,15823868.000,20400247.000,23516463.000,24759845.000,27800133.000,27515795.000,27393238.000,27609016.000,33754111.000,33997819.000,34124181.000,34455786.000
AllowanceForDoubtfulAccountsReceivable,102000.000,,,,0.000,,,,19675.000,,,,0.000,,,,0.000,
Assets,253971.000,4211581.000,4216066.000,4161157.000,6276871.000,6455186.000,8892890.000,14010028.000,7072537.000,4691573.000,4910169.000,3788371.000,5346370.000,4633673.000,5568579.000,4781130.000,4488600.000,3781147.000
AssetsCurrent,246928.000,143545.000,262797.000,294210.000,2498551.000,1920787.000,4291583.000,8112423.000,3274065.000,997394.000,1349934.000,298011.000,1804986.000,1194760.000,2264596.000,1626440.000,1474823.000,856152.000
BillingsInExcessOfCostCurrent,,,,,,,,,123908.000,32500.000,32500.000,66896.000,0.000,,,,,
Cash,11147.000,93420.000,193681.000,73435.000,1847004.000,492718.000,514165.000,2151849.000,1672901.000,760277.000,1145482.000,51910.000,1687257.000,1080490.000,2144220.000,1494513.000,1409418.000,783664.000
