,2012-03-31,2012-06-30,2013-03-31,2013-06-30
CashPeriodIncreaseDecrease,0.000,,0.000,
ConversionOfStockAmountConverted1,0.000,,0.000,
CostOfGoodsSold,0.000,,0.000,0.000
CurrentFederalTaxExpenseBenefit,,,,0.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000
GeneralAndAdministrativeExpense,5000.000,8891.000,1000.000,6407.000
GrossProfit,0.000,,0.000,0.000
IncomeTaxesPaidNet,0.000,,0.000,
IncreaseDecreaseInAccountsPayable,5000.000,,1000.000,
InterestExpense,,,,0.000
InterestPaidNet,0.000,,0.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,0.000,,0.000,
NetCashProvidedByUsedInFinancingActivities,,,0.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,0.000,
NetCashProvidedByUsedInOperatingActivities,,,0.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,0.000,
NetIncomeLoss,-5000.000,-8891.000,-1000.000,-6407.000
OperatingExpenses,5000.000,8891.000,1000.000,6407.000
OperatingIncomeLoss,-5000.000,-8891.000,-1000.000,-6407.000
OriginationOfNotesReceivableFromRelatedParties,0.000,,0.000,
OtherExtraordinaryGainLoss,,,,0.000
OtherNonoperatingIncomeExpense,,,,0.000
ProfitLoss,-5000.000,,-1000.000,
RepaymentOfNotesReceivableFromRelatedParties,0.000,,0.000,
SalesRevenueGoodsNet,0.000,0.000,0.000,0.000
WeightedAverageNumberOfSharesOutstandingBasic,161668115.000,161668115.000,161668115.000,161668115.000
