,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
Assets,56828816.000,65422179.000,57971592.000,52646464.000,50025279.000,43184888.000,35278824.000,33987669.000,29478517.000,25401242.000,21737588.000
CapitalUnitsOutstanding,,,,,,42870175.000,38616741.000,35035807.000,33298422.000,29873142.000,22892859.000
CashAndCashEquivalentsAtCarryingValue,462165.000,376433.000,227590.000,447093.000,359504.000,543620.000,509723.000,400087.000,402102.000,350526.000,342856.000
FairValueAssetsLevel1ToLevel2TransfersAmount,,,,,,,,,,,0.000
FairValueAssetsLevel2ToLevel1TransfersAmount,,,,,,,,,,,0.000
FairValueLiabilitiesLevel1ToLevel2TransfersAmount,,,,,,,,,,,0.000
FairValueLiabilitiesLevel2ToLevel1TransfersAmount,,,,,,,,,,,0.000
InvestmentOwnedPercentOfNetAssets,,,,,-0.013,0.004,0.013,0.017,0.008,-0.016,0.048
InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,,,,,,,,,,,884014.000
Liabilities,3187654.000,8199149.000,3904627.000,2168652.000,3887684.000,5380718.000,1853473.000,2585560.000,2397381.000,2767949.000,3344732.000
LiabilitiesAndStockholdersEquity,56828816.000,65422179.000,57971592.000,52646464.000,50025279.000,43184888.000,35278824.000,33987669.000,29478517.000,25401242.000,21737588.000
MembersCapital,,,,,,,,,,,18392856.000
MembersEquity,,,,,,,,,,,18392856.000
OtherAssets,66304.000,65046.000,65000.000,65021.000,263528.000,65101.000,65058.000,65073.000,65000.000,65007.000,65023.000
OtherLiabilities,192857.000,236672.000,187073.000,250451.000,352638.000,398587.000,334759.000,379120.000,421826.000,438079.000,242857.000
PartnersCapital,53641162.000,57223030.000,54066965.000,50477812.000,46137595.000,37804170.000,33425351.000,31402109.000,27081136.000,22633293.000,
PartnersCapitalAccountUnits,56369816.000,,,,,,,,,,
PayablesToBrokerDealersAndClearingOrganizations,20069.000,13153.000,2950.000,3110.000,9351.000,12325.000,6819.000,22059.000,10622.000,29224.000,29935.000
RestrictedCashAndCashEquivalents,3015251.000,3280713.000,3907106.000,3661235.000,4616528.000,3729558.000,4091120.000,3510142.000,1542753.000,2984853.000,2943232.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,53641162.000,57223030.000,54066965.000,50477812.000,46137595.000,37804170.000,33425351.000,31402109.000,27081136.000,22633293.000,18392856.000
