,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,2400000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,5100000.000,4800000.000,,5200000.000,5000000.000,5100000.000,5100000.000,4100000.000,4200000.000,4100000.000,3600000.000,3700000.000,3300000.000,4200000.000,8400000.000,7900000.000,11900000.000,12200000.000,11700000.000,21800000.000,7400000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,400000.000,400000.000,500000.000,-900000.000,700000.000,0.000,0.000,-700000.000,200000.000,0.000,0.000,-200000.000,200000.000,2000.000,200000.000,-400000.000,200000.000,6000.000,200000.000,-206000.000,200000.000,100000.000
AssetImpairmentCharges,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,17500000.000,,,,-7200000.000,,,,12800000.000,,,,-21500000.000,,,,-164900000.000,,,,-171900000.000,,,,8500000.000,
CommonStockDividendsPerShareCashPaid,0.400,0.430,0.450,0.450,0.450,0.470,0.470,0.500,0.500,0.500,0.500,0.500,0.520,0.520,0.540,0.540,0.540,0.560,0.560,0.560,0.560,0.580,0.580,0.580,0.580,0.600
CommonStockDividendsPerShareDeclared,0.430,0.450,0.450,0.450,0.470,0.470,0.500,0.500,0.500,0.500,0.500,0.520,0.520,0.540,0.540,0.540,0.560,0.560,0.560,0.560,0.580,0.580,0.580,0.580,0.600,0.600
ComprehensiveIncomeNetOfTax,,181500000.000,78200000.000,,129000000.000,79300000.000,164000000.000,112600000.000,89200000.000,121300000.000,164700000.000,151600000.000,129000000.000,82400000.000,17000000.000,-14100000.000,-73600000.000,157900000.000,26400000.000,190400000.000,192400000.000,122200000.000,134400000.000,-38900000.000,225100000.000,211800000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,900000.000,800000.000,,1000000.000,-500000.000,800000.000,-4000000.000,1600000.000,1000000.000,1000000.000,900000.000,400000.000,400000.000,400000.000,-400000.000,0.000,100000.000,-100000.000,100000.000,300000.000,9500000.000,1000000.000,-24700000.000,4000000.000,-600000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,182400000.000,79000000.000,,130000000.000,78800000.000,164800000.000,114000000.000,90800000.000,122300000.000,165700000.000,152500000.000,129400000.000,82800000.000,17400000.000,-14500000.000,-73600000.000,158000000.000,26300000.000,190500000.000,192700000.000,131700000.000,135400000.000,-63600000.000,229100000.000,211200000.000
CostOfGoodsSold,1642600000.000,1639900000.000,1606400000.000,1615600000.000,1737800000.000,1666700000.000,1559500000.000,1656500000.000,1720700000.000,1767000000.000,1714100000.000,1897000000.000,1850500000.000,1918800000.000,1781600000.000,1885800000.000,1750800000.000,1831500000.000,1744400000.000,1998800000.000,1929000000.000,2052000000.000,1966000000.000,2069600000.000,2065600000.000,2009400000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,300000.000,,2300000.000,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,-1200000.000,-1200000.000,,-2200000.000,-2200000.000,-2300000.000,,-3000000.000,-3100000.000,-3100000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,-200000.000,-200000.000,,-200000.000,-200000.000,-300000.000,,-200000.000,-200000.000,-200000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,3600000.000,3600000.000,,3500000.000,3500000.000,3500000.000,,3900000.000,3900000.000,3900000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanInterestCost,,4300000.000,4300000.000,,4700000.000,4700000.000,4700000.000,,5000000.000,4900000.000,4900000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,6300000.000,6300000.000,,8100000.000,8000000.000,8100000.000,,9600000.000,9500000.000,9500000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanServiceCost,,4600000.000,4600000.000,,4900000.000,4800000.000,4900000.000,,5700000.000,5600000.000,5600000.000,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,65400000.000,,,,66700000.000,,,,69600000.000,,,,73800000.000,,,,73700000.000,75800000.000,80100000.000,89500000.000,85100000.000,96700000.000,97600000.000,103600000.000,114800000.000,99600000.000
DistributedEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
DividendsCommonStockCash,,40700000.000,40200000.000,,44700000.000,45000000.000,47700000.000,47800000.000,47800000.000,47900000.000,48000000.000,48700000.000,48700000.000,49500000.000,48600000.000,46900000.000,49400000.000,49100000.000,49300000.000,49400000.000,51100000.000,51200000.000,51200000.000,52900000.000,53000000.000,52600000.000
EarningsPerShareBasic,2.040,1.620,1.550,1.780,1.120,1.350,1.230,1.470,1.290,1.450,1.290,1.060,1.390,0.890,1.160,1.640,0.400,1.550,1.120,2.110,1.510,1.680,1.560,1.680,1.630,1.480
EarningsPerShareDiluted,1.930,1.540,1.480,1.700,1.070,1.330,1.230,1.450,1.290,1.440,1.290,1.050,1.380,0.890,1.160,1.630,0.400,1.550,1.120,2.100,1.510,1.680,1.560,1.670,1.620,1.470
EffectOfExchangeRateOnCashAndCashEquivalents,-27000000.000,,,,-6100000.000,,,,1100000.000,,,,600000.000,,,,-32000000.000,,,,10900000.000,,,,25500000.000,
EffectiveIncomeTaxRateContinuingOperations,,,,,0.281,,,,0.265,,,,0.289,,,,0.446,0.297,0.347,-0.767,0.299,0.259,0.268,-0.525,0.269,0.326
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,0.073,0.011,,0.008,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,0.041,,0.004,,,,,,,,,-0.043,-0.004,,0.017,0.012,0.011,-0.040,0.003,0.078
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,,,,,,,,,,,,,,,,,0.101,,,,,,,,,
EffectiveIncomeTaxRateReconciliationTaxSettlements,,,,,,,,,,,,,,,,,0.036,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,3700000.000,5600000.000,4200000.000,5100000.000,4600000.000,,,,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,-6300000.000,100000.000,,,,,,,,,,,,,,,,,,,,,,,
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,,,,,,,,,168400000.000,,,,16900000.000,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,7800000.000,
GoodwillTranslationAdjustments,,,,,,,,,,,,,,,,,-10400000.000,,,,4000000.000,,,,,
GrossProfit,466000000.000,421600000.000,411200000.000,429100000.000,441100000.000,422100000.000,387600000.000,395400000.000,414300000.000,430500000.000,404900000.000,454900000.000,445300000.000,464200000.000,426400000.000,467900000.000,423300000.000,460000000.000,440100000.000,520700000.000,501000000.000,526500000.000,495300000.000,534200000.000,542500000.000,535500000.000
