,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,1229000.000,,,,842000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,-51845000.000,-2374000.000,,,0.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,800000.000,800000.000,800000.000,,400000.000,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,30000.000,,,,,,,,116000.000,,,,157000.000,,,,174000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,394730.000,,,920118.000,1555332.000,,1750735.000,761401.000,769778.000,-2713900.000,303008.000,117807.000,347699.000,-395259.000,272336.000
BasicEarningsPerShareProForma,0.070,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,467000.000,,,,1052000.000,,,,2867000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,12776000.000,,,,2526000.000,,,,3200000.000,,,,6075000.000,,,,7522000.000
ComprehensiveIncomeNetOfTax,,,,,,,,,,,4491000.000,3754000.000,,6760000.000,6840000.000,4581000.000,247000.000,8014000.000
CostOfGoodsAndServicesSold,12196858.000,16462000.000,17257000.000,16986000.000,18050000.000,19446000.000,20163000.000,19348000.000,19343000.000,21992000.000,24413000.000,21691000.000,21281000.000,25009000.000,25571000.000,23400000.000,23281000.000,27390000.000
CurrentIncomeTaxExpenseBenefit,500000.000,,,,,,,,,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,110002000.000,,,,,,,,,,,,,,,,
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,2619996.000,,,,,,,,,,,,,,,,
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,0.022,,,,,,,,,,,,
DeferredCompensationArrangementWithIndividualCompensationExpense,2623739.000,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,-281000.000,,,,,,,,-1001000.000,,,,283000.000,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,,,,,1223000.000
DepreciationAndAmortization,,3044000.000,,,,4459000.000,,,,5649000.000,,,,5571000.000,,,,6336000.000
DilutedEarningsPerShareProForma,0.070,,,,,,,,,,,,,,,,,
DilutiveSecurities,1056.000,,,,,,,,,,,,,,,,,
DividendsCommonStock,,,,,,,,,,,,,,,,,,2581000.000
EarningsPerShareBasic,0.270,-1.000,0.070,0.080,,0.070,0.080,0.030,0.030,0.070,0.090,0.070,0.080,0.130,0.130,0.090,0.010,0.160
EarningsPerShareBasicAndDiluted,,-1.000,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,0.270,-1.000,0.070,0.080,,0.070,0.070,0.030,0.040,0.070,0.090,0.070,0.080,0.130,0.130,0.090,0.010,0.150
