,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,,,,,,356400.000,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,360000.000,350000.000,350000.000,340000.000,300000.000
AmortizationOfFinancingCosts,,,,,,,,,355000.000,,,,345000.000
AmortizationOfIntangibleAssets,,,,,,,,,1751000.000,1750000.000,1750000.000,1753000.000,1634000.000
BusinessCombinationConsiderationTransferred1,,,,,,,,,71400000.000,,,,
CashAcquiredFromAcquisition,,,,,,,,,2184000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,2641000.000,,,,-3839000.000
CashPeriodIncreaseDecrease,65503.000,-233840.000,,,,-174262.000,,,,,,,
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,250000.000,250000.000,,,,250000.000,,,,,,,
ContractRevenueCost,,,,,,,,,27461000.000,27675000.000,29994000.000,26133000.000,23715000.000
ContractsRevenue,,,,,,,,,40606000.000,40918000.000,43346000.000,39185000.000,35778000.000
CurrentStateAndLocalTaxExpenseBenefit,,91000.000,,,,,,,,,,,
DebtIssuanceCosts,,,,,,,,,6360000.000,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,,,6400000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,-680000.000,,,,-1943000.000
DepreciationDepletionAndAmortization,,,,,,,,,140000.000,140000.000,140000.000,180000.000,100000.000
EarningsPerShareBasicAndDiluted,-0.001,-0.360,-0.040,-0.110,-0.110,-0.100,-0.690,-0.460,-0.090,-0.100,-0.090,-2.700,-0.200
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.000,,,0.306,0.389,0.520,-1.140,0.358
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,0.350,,,,,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,-0.389,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,0.039,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,80000.000,100000.000,,200000.000
GeneralAndAdministrativeExpense,1989.000,1198348.000,164707.000,364069.000,418375.000,357442.000,2441769.000,1736996.000,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,0.000,,
GrossProfit,,,,,,,,,13145000.000,13243000.000,13352000.000,13052000.000,12063000.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,,,0.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,-2441405.000,-1736996.000,-2118000.000,-2156000.000,-3065000.000,-44762000.000,-5257000.000
IncomeTaxExpenseBenefit,,,,,,,0.000,0.000,-649000.000,-839000.000,-1603000.000,-811000.000,-1882000.000
IncomeTaxesPaid,,,,,,,,,597000.000,,,,19000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,101530.000,,,,,,,
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,,,,,,,,,0.000,,,,
IncreaseDecreaseInContractReceivablesNet,,,,,,,,,-6747000.000,,,,-726000.000
IncreaseDecreaseInDeferredCharges,,,,,,,,,-128000.000,,,,43000.000
IncreaseDecreaseInDeferredCompensation,,,,,,,,,401000.000,,,,19000.000
IncreaseDecreaseInDueToAffiliates,,,,,,95254.000,,,,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,,,,,-752000.000,,,,-158000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,,,-1560000.000,,,,-92000.000
IncreaseDecreaseInOtherCurrentLiabilities,,,,,,,,,157000.000,,,,170000.000
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,,,-9000.000,,,,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,1712000.000,,,,518000.000
IncreaseDecreaseInPrepaidInsurance,,-16382.000,,,,13604.000,,,,,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,,,,121819.000,,,,,,,
