,2011-09-30,2011-12-31,2012-03-31,2012-06-30
AccountsPayable,,,,5471.000
AccountsPayableAndAccruedLiabilities,,,,44809.000
AccountsPayableCurrent,16253.000,16253.000,16253.000,
AdditionalPaidInCapital,1433337.000,1433337.000,1433337.000,1482837.000
AssetsCurrent,,,,32464.000
Cash,,,,22464.000
CashAndCashEquivalentsAtCarryingValue,,,,22464.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,52785000.000,52785000.000,52785000.000,53285000.000
CommonStockSharesOutstanding,,,,53285000.000
CommonStockValue,52785.000,52785.000,52785.000,53285.000
DeferredFinanceCostsCurrentNet,,,,9030.000
DeferredTaxAssetsNet,,,,101250.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,101250.000
DeferredTaxAssetsValuationAllowance,,,,-101250.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-1621404.000,-1621404.000,-1621404.000,-1667496.000
IncomeTaxesReceivable,,,,-25630.000
Liabilities,135282.000,135282.000,135282.000,163838.000
LiabilitiesAndStockholdersEquity,,,,32464.000
LoansPayable,119029.000,119029.000,119029.000,119029.000
NoninterestBearingDepositLiabilities,,,,119029.000
OperatingLossCarryforwards,,,,297700.000
PrepaidExpense,,,,10000.000
StockholdersEquity,-135282.000,-135282.000,-135282.000,-131374.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,-131374.000
ValuationAllowanceAmount,,,,16600.000
