,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,5541.000
AdditionalPaidInCapital,15867.000,15867.000
AssetsCurrent,1859.000,
CashAndCashEquivalentsAtCarryingValue,1859.000,
CommonStockSharesAuthorized,100000000.000,100000000.000
CommonStockSharesIssued,13333333.000,13333333.000
CommonStockSharesOutstanding,13333333.000,13333333.000
CommonStockValue,133.000,133.000
Liabilities,,5541.000
LiabilitiesAndStockholdersEquity,1859.000,
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,100000000.000,100000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
RetainedEarningsAccumulatedDeficit,-14141.000,-21541.000
StockholdersEquity,1859.000,-5541.000
