,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,0.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,20000000.000,2000000.000,,,9000000.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-224000000.000,1078000000.000,,,-29000000.000
AdvertisingExpense,206000000.000,88000000.000,,13000000.000,9000000.000
AmortizationOfIntangibleAssets,41000000.000,27000000.000,,,18000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,53.600,47900000.000,,,
AssetImpairmentCharges,,,,,25000000.000
AssetRetirementObligationAccretionExpense,4000000.000,3000000.000,,,2000000.000
AssetRetirementObligationLiabilitiesIncurred,15000000.000,6000000.000,,,2000000.000
AssetRetirementObligationLiabilitiesSettled,-9000000.000,-1000000.000,,,7000000.000
AssetRetirementObligationRevisionOfEstimate,,4000000.000,,,-1000000.000
BankruptcyClaimsAmountOfClaimsFiled,,2800000000.000,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,5000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-763000000.000,274000000.000,,,-113000000.000
CashDivestedFromDeconsolidation,,,,,3000000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,27000000.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-10000000.000,39000000.000,,,
ComprehensiveIncomeNetOfTax,,,,,-156000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1295000000.000,-1329000000.000,,,
ContractualInterestExpenseOnPrepetitionLiabilitiesNotRecognizedInStatementOfOperations,,45000000.000,,,
CostMethodInvestmentsRealizedGainLoss,0.000,,,,
CostOfGoodsAndServicesSold,5135000000.000,3523000000.000,,,1160000000.000
CostOfGoodsSold,4534000000.000,2954000000.000,,,974000000.000
CostOfGoodsSoldDepreciation,32000000.000,,,,
CostOfServices,601000000.000,569000000.000,,,186000000.000
CurrentFederalTaxExpenseBenefit,-378000000.000,-393000000.000,,,1000000.000
CurrentForeignTaxExpenseBenefit,55000000.000,58000000.000,,,14000000.000
CurrentStateAndLocalTaxExpenseBenefit,-22000000.000,,,,
DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet1,,238000000.000,,,
DebtorReorganizationItemsLegalAndAdvisoryProfessionalFees,,178000000.000,,,1000000.000
DebtorReorganizationItemsProvisionForExpectedAllowedClaims,,856000000.000,,,
DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,,47000000.000,,,
DeconsolidationGainOrLossAmount,,,,,-15000000.000
DeferredFederalIncomeTaxExpenseBenefit,241000000.000,13000000.000,,,6000000.000
DeferredForeignIncomeTaxExpenseBenefit,106000000.000,65000000.000,,,11000000.000
DeferredIncomeTaxExpenseBenefit,12000000.000,-20000000.000,,,15000000.000
DeferredRevenueAdditions,428000000.000,384000000.000,,,165000000.000
DeferredRevenueRevenueRecognized,438000000.000,-397000000.000,,,
DeferredRevenueRevenueRecognized1,,,,,168000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,7000000.000,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,-26000000.000,,,
DefinedBenefitPlanAmortizationOfNetGainsLosses,,284000000.000,,,
DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,,3000000.000,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,-83000000.000,,,
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,,787000000.000,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,,0.043,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,,0.031,,,
DefinedBenefitPlanContributionsByEmployer,,0.500,,,
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1,,-7000000.000,-5000000.000,5000000.000,
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation,,8000000.000,6000000.000,7000000.000,
DefinedBenefitPlanHealthCareCostTrendRateAssumedForNextFiscalYear,,0.071,,,
DefinedBenefitPlanInterestCost,,44000000.000,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,-249000000.000,,,
DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments,-3000000.000,9000000.000,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements,1000000.000,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,228000000.000,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1,,-510000000.000,,,
DefinedBenefitPlanServiceCost,,1000000.000,,,
DefinedBenefitPlanSpecialTerminationBenefits,,99000000.000,,8000000.000,3000000.000
DefinedBenefitPlanUltimateHealthCareCostTrendRate,,0.050,,,
Depreciation,253000000.000,218000000.000,,,84000000.000
DepreciationDepletionAndAmortization,294000000.000,242000000.000,,,105000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-6000000.000,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,6000000.000,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,-2000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,,-0.710
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,-0.710
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-4000000.000,-3000000.000,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,71000000.000,,,
DividendsPreferredStockCash,,,,,2000000.000
EarningsPerShareBasic,,,,,0.280
EarningsPerShareBasicAndDiluted,-2.840,-5.070,,,
EarningsPerShareDiluted,0.120,,,,0.280
EffectOfExchangeRateOnCashAndCashEquivalents,14000000.000,3000000.000,,,-7000000.000
ExtendedProductWarrantyAccrualPayments,305000000.000,280000000.000,,158000000.000,
ExtraordinaryItemNetOfTax,0.000,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,41000000.000,,,,
FiniteLivedIntangibleAssetsAverageUsefulLife,9.000,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,87000000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,-16000000.000,
ForeignCurrencyTransactionGainLossRealized,,,,3000000.000,-5000000.000
FutureAmortizationExpenseAfterYearFive,15000000.000,,,,
FutureAmortizationExpenseYearFive,10000000.000,,,,
FutureAmortizationExpenseYearFour,10000000.000,,,,
FutureAmortizationExpenseYearOne,27000000.000,,,,
FutureAmortizationExpenseYearThree,11000000.000,,,,
FutureAmortizationExpenseYearTwo,14000000.000,,,,
GainLossOnDispositionOfAssets,80000000.000,18000000.000,,,9000000.000
GainLossOnDispositionOfIntangibleAssets,62000000.000,,,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,,-21000000.000
GainLossOnSaleOfInvestments,,23000000.000,,,
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,58000000.000,,,
GainLossRelatedToLitigationSettlement,-14000000.000,-16000000.000,,,16000000.000
GainsLossesOnExtinguishmentOfDebt,0.000,-7000000.000,,,-4000000.000
GainsLossesOnSalesOfAssets,,62000000.000,,,
GainsLossesOnSalesOfInvestmentRealEstate,,,,,9000000.000
GoodwillImpairmentLoss,8000000.000,,,,0.000
GoodwillTranslationAdjustments,1000000.000,,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,-10000000.000,,,,
GrossProfit,887000000.000,591000000.000,,,383000000.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,4000000.000,-35000000.000,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,1000000.000,26000000.000,,,
IncomeLossFromContinuingOperations,32000000.000,-1303000000.000,,,45000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-760000000.000,-1760000000.000,,,-39000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,2000000.000,200000000.000,,,117000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-573000000.000,,,78000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-767000000.000,-1303000000.000,,,46000000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-4.790,,,
